year,week,loc,state,country,loc_type,number,event
1924,1,CINCINNATI,OH,US,CITY,6,CASES
1924,2,CINCINNATI,OH,US,CITY,3,CASES
1924,3,CINCINNATI,OH,US,CITY,0,CASES
1924,4,CINCINNATI,OH,US,CITY,6,CASES
1924,5,CINCINNATI,OH,US,CITY,3,CASES
1924,6,CINCINNATI,OH,US,CITY,10,CASES
1924,7,CINCINNATI,OH,US,CITY,9,CASES
1924,8,CINCINNATI,OH,US,CITY,6,CASES
1924,9,CINCINNATI,OH,US,CITY,10,CASES
1924,10,CINCINNATI,OH,US,CITY,12,CASES
1924,11,CINCINNATI,OH,US,CITY,0,CASES
1924,12,CINCINNATI,OH,US,CITY,25,CASES
1924,13,CINCINNATI,OH,US,CITY,20,CASES
1924,14,CINCINNATI,OH,US,CITY,21,CASES
1924,15,CINCINNATI,OH,US,CITY,15,CASES
1924,16,CINCINNATI,OH,US,CITY,15,CASES
1924,17,CINCINNATI,OH,US,CITY,25,CASES
1924,18,CINCINNATI,OH,US,CITY,12,CASES
1924,19,CINCINNATI,OH,US,CITY,15,CASES
1924,20,CINCINNATI,OH,US,CITY,12,CASES
1924,21,CINCINNATI,OH,US,CITY,18,CASES
1924,22,CINCINNATI,OH,US,CITY,16,CASES
1924,23,CINCINNATI,OH,US,CITY,12,CASES
1924,24,CINCINNATI,OH,US,CITY,10,CASES
1924,25,CINCINNATI,OH,US,CITY,15,CASES
1924,26,CINCINNATI,OH,US,CITY,10,CASES
1924,27,CINCINNATI,OH,US,CITY,7,CASES
1924,28,CINCINNATI,OH,US,CITY,3,CASES
1924,29,CINCINNATI,OH,US,CITY,0,CASES
1924,30,CINCINNATI,OH,US,CITY,2,CASES
1924,31,CINCINNATI,OH,US,CITY,0,CASES
1924,32,CINCINNATI,OH,US,CITY,2,CASES
1924,33,CINCINNATI,OH,US,CITY,2,CASES
1924,34,CINCINNATI,OH,US,CITY,1,CASES
1924,35,CINCINNATI,OH,US,CITY,0,CASES
1924,36,CINCINNATI,OH,US,CITY,0,CASES
1924,38,CINCINNATI,OH,US,CITY,0,CASES
1924,39,CINCINNATI,OH,US,CITY,0,CASES
1924,40,CINCINNATI,OH,US,CITY,0,CASES
1924,41,CINCINNATI,OH,US,CITY,1,CASES
1924,42,CINCINNATI,OH,US,CITY,1,CASES
1924,43,CINCINNATI,OH,US,CITY,1,CASES
1924,44,CINCINNATI,OH,US,CITY,2,CASES
1924,45,CINCINNATI,OH,US,CITY,0,CASES
1924,46,CINCINNATI,OH,US,CITY,2,CASES
1924,47,CINCINNATI,OH,US,CITY,0,CASES
1924,48,CINCINNATI,OH,US,CITY,0,CASES
1924,49,CINCINNATI,OH,US,CITY,2,CASES
1924,50,CINCINNATI,OH,US,CITY,0,CASES
1924,51,CINCINNATI,OH,US,CITY,0,CASES
1924,52,CINCINNATI,OH,US,CITY,1,CASES
1924,53,CINCINNATI,OH,US,CITY,0,CASES
1925,1,CINCINNATI,OH,US,CITY,2,CASES
1925,2,CINCINNATI,OH,US,CITY,5,CASES
1925,3,CINCINNATI,OH,US,CITY,7,CASES
1925,4,CINCINNATI,OH,US,CITY,5,CASES
1925,5,CINCINNATI,OH,US,CITY,6,CASES
1925,6,CINCINNATI,OH,US,CITY,5,CASES
1925,7,CINCINNATI,OH,US,CITY,8,CASES
1925,8,CINCINNATI,OH,US,CITY,10,CASES
1925,9,CINCINNATI,OH,US,CITY,10,CASES
1925,10,CINCINNATI,OH,US,CITY,10,CASES
1925,11,CINCINNATI,OH,US,CITY,10,CASES
1925,12,CINCINNATI,OH,US,CITY,7,CASES
1925,13,CINCINNATI,OH,US,CITY,4,CASES
1925,14,CINCINNATI,OH,US,CITY,4,CASES
1925,15,CINCINNATI,OH,US,CITY,4,CASES
1925,16,CINCINNATI,OH,US,CITY,5,CASES
1925,17,CINCINNATI,OH,US,CITY,5,CASES
1925,18,CINCINNATI,OH,US,CITY,5,CASES
1925,19,CINCINNATI,OH,US,CITY,0,CASES
1925,20,CINCINNATI,OH,US,CITY,2,CASES
1925,21,CINCINNATI,OH,US,CITY,2,CASES
1925,22,CINCINNATI,OH,US,CITY,8,CASES
1925,25,CINCINNATI,OH,US,CITY,2,CASES
1925,26,CINCINNATI,OH,US,CITY,2,CASES
1925,27,CINCINNATI,OH,US,CITY,3,CASES
1925,28,CINCINNATI,OH,US,CITY,1,CASES
1925,29,CINCINNATI,OH,US,CITY,2,CASES
1925,30,CINCINNATI,OH,US,CITY,0,CASES
1925,31,CINCINNATI,OH,US,CITY,0,CASES
1925,32,CINCINNATI,OH,US,CITY,0,CASES
1925,33,CINCINNATI,OH,US,CITY,0,CASES
1925,34,CINCINNATI,OH,US,CITY,1,CASES
1925,35,CINCINNATI,OH,US,CITY,0,CASES
1925,36,CINCINNATI,OH,US,CITY,0,CASES
1925,37,CINCINNATI,OH,US,CITY,0,CASES
1925,38,CINCINNATI,OH,US,CITY,0,CASES
1925,39,CINCINNATI,OH,US,CITY,0,CASES
1925,40,CINCINNATI,OH,US,CITY,0,CASES
1925,41,CINCINNATI,OH,US,CITY,0,CASES
1925,42,CINCINNATI,OH,US,CITY,0,CASES
1925,43,CINCINNATI,OH,US,CITY,2,CASES
1925,44,CINCINNATI,OH,US,CITY,0,CASES
1925,45,CINCINNATI,OH,US,CITY,0,CASES
1925,46,CINCINNATI,OH,US,CITY,0,CASES
1925,47,CINCINNATI,OH,US,CITY,0,CASES
1925,48,CINCINNATI,OH,US,CITY,0,CASES
1925,49,CINCINNATI,OH,US,CITY,0,CASES
1925,50,CINCINNATI,OH,US,CITY,0,CASES
1925,51,CINCINNATI,OH,US,CITY,0,CASES
1925,52,CINCINNATI,OH,US,CITY,0,CASES
1926,1,CINCINNATI,OH,US,CITY,0,CASES
1926,2,CINCINNATI,OH,US,CITY,0,CASES
1926,3,CINCINNATI,OH,US,CITY,0,CASES
1926,4,CINCINNATI,OH,US,CITY,0,CASES
1926,5,CINCINNATI,OH,US,CITY,2,CASES
1926,6,CINCINNATI,OH,US,CITY,0,CASES
1926,7,CINCINNATI,OH,US,CITY,0,CASES
1926,8,CINCINNATI,OH,US,CITY,0,CASES
1926,9,CINCINNATI,OH,US,CITY,6,CASES
1926,10,CINCINNATI,OH,US,CITY,6,CASES
1926,11,CINCINNATI,OH,US,CITY,6,CASES
1926,12,CINCINNATI,OH,US,CITY,4,CASES
