year,week,loc,state,country,loc_type,number,event
1921,8,CLEVELAND HEIGHTS,OH,US,CITY,3,CASES
1921,9,CLEVELAND HEIGHTS,OH,US,CITY,9,CASES
1921,12,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1921,13,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1921,14,CLEVELAND HEIGHTS,OH,US,CITY,2,CASES
1922,15,CLEVELAND HEIGHTS,OH,US,CITY,2,CASES
1922,16,CLEVELAND HEIGHTS,OH,US,CITY,4,CASES
1922,17,CLEVELAND HEIGHTS,OH,US,CITY,16,CASES
1922,18,CLEVELAND HEIGHTS,OH,US,CITY,14,CASES
1922,19,CLEVELAND HEIGHTS,OH,US,CITY,18,CASES
1922,20,CLEVELAND HEIGHTS,OH,US,CITY,13,CASES
1922,21,CLEVELAND HEIGHTS,OH,US,CITY,22,CASES
1922,22,CLEVELAND HEIGHTS,OH,US,CITY,15,CASES
1922,23,CLEVELAND HEIGHTS,OH,US,CITY,9,CASES
1922,24,CLEVELAND HEIGHTS,OH,US,CITY,16,CASES
1922,25,CLEVELAND HEIGHTS,OH,US,CITY,16,CASES
1922,26,CLEVELAND HEIGHTS,OH,US,CITY,8,CASES
1922,27,CLEVELAND HEIGHTS,OH,US,CITY,3,CASES
1922,28,CLEVELAND HEIGHTS,OH,US,CITY,5,CASES
1922,29,CLEVELAND HEIGHTS,OH,US,CITY,2,CASES
1922,30,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1922,32,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1922,34,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1922,36,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1922,37,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1922,43,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1922,44,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1922,46,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1922,47,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1922,51,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1922,52,CLEVELAND HEIGHTS,OH,US,CITY,7,CASES
1923,2,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1923,3,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1923,5,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1923,6,CLEVELAND HEIGHTS,OH,US,CITY,3,CASES
1923,7,CLEVELAND HEIGHTS,OH,US,CITY,11,CASES
1923,8,CLEVELAND HEIGHTS,OH,US,CITY,22,CASES
1923,9,CLEVELAND HEIGHTS,OH,US,CITY,29,CASES
1923,10,CLEVELAND HEIGHTS,OH,US,CITY,22,CASES
1923,11,CLEVELAND HEIGHTS,OH,US,CITY,27,CASES
1923,12,CLEVELAND HEIGHTS,OH,US,CITY,42,CASES
1923,13,CLEVELAND HEIGHTS,OH,US,CITY,58,CASES
1923,14,CLEVELAND HEIGHTS,OH,US,CITY,35,CASES
1923,15,CLEVELAND HEIGHTS,OH,US,CITY,63,CASES
1923,16,CLEVELAND HEIGHTS,OH,US,CITY,106,CASES
1923,17,CLEVELAND HEIGHTS,OH,US,CITY,95,CASES
1923,18,CLEVELAND HEIGHTS,OH,US,CITY,124,CASES
1923,19,CLEVELAND HEIGHTS,OH,US,CITY,75,CASES
1923,20,CLEVELAND HEIGHTS,OH,US,CITY,53,CASES
1923,21,CLEVELAND HEIGHTS,OH,US,CITY,29,CASES
1923,25,CLEVELAND HEIGHTS,OH,US,CITY,3,CASES
1923,26,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1923,27,CLEVELAND HEIGHTS,OH,US,CITY,2,CASES
1923,28,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1923,29,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1923,31,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1923,39,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1923,40,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1923,52,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
