year,week,loc,state,country,loc_type,number,event
1921,9,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1921,12,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1921,16,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1921,21,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1922,12,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1922,13,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1922,15,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1922,23,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1923,1,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1923,2,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1923,4,CLEVELAND HEIGHTS,OH,US,CITY,2,CASES
1923,5,CLEVELAND HEIGHTS,OH,US,CITY,2,CASES
1923,6,CLEVELAND HEIGHTS,OH,US,CITY,2,CASES
1923,8,CLEVELAND HEIGHTS,OH,US,CITY,2,CASES
1923,9,CLEVELAND HEIGHTS,OH,US,CITY,2,CASES
1923,11,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1923,12,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1923,13,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1923,14,CLEVELAND HEIGHTS,OH,US,CITY,2,CASES
1923,15,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1923,17,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1923,19,CLEVELAND HEIGHTS,OH,US,CITY,2,CASES
1923,40,CLEVELAND HEIGHTS,OH,US,CITY,2,CASES
1923,41,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1923,44,CLEVELAND HEIGHTS,OH,US,CITY,2,CASES
1923,46,CLEVELAND HEIGHTS,OH,US,CITY,2,CASES
1923,47,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1923,49,CLEVELAND HEIGHTS,OH,US,CITY,1,CASES
1923,52,CLEVELAND HEIGHTS,OH,US,CITY,2,CASES
