year,week,loc,state,country,loc_type,number,event
1920,1,CLEVELAND,OH,US,CITY,7,CASES
1920,2,CLEVELAND,OH,US,CITY,5,CASES
1920,3,CLEVELAND,OH,US,CITY,50,CASES
1920,4,CLEVELAND,OH,US,CITY,1084,CASES
1920,5,CLEVELAND,OH,US,CITY,2243,CASES
1920,7,CLEVELAND,OH,US,CITY,483,CASES
1920,8,CLEVELAND,OH,US,CITY,143,CASES
1920,9,CLEVELAND,OH,US,CITY,72,CASES
1920,10,CLEVELAND,OH,US,CITY,38,CASES
1920,11,CLEVELAND,OH,US,CITY,11,CASES
1920,12,CLEVELAND,OH,US,CITY,11,CASES
1920,13,CLEVELAND,OH,US,CITY,3,CASES
1920,14,CLEVELAND,OH,US,CITY,7,CASES
1920,15,CLEVELAND,OH,US,CITY,1,CASES
1920,17,CLEVELAND,OH,US,CITY,1,CASES
1920,18,CLEVELAND,OH,US,CITY,3,CASES
1920,19,CLEVELAND,OH,US,CITY,1,CASES
1920,20,CLEVELAND,OH,US,CITY,1,CASES
1920,21,CLEVELAND,OH,US,CITY,3,CASES
1920,33,CLEVELAND,OH,US,CITY,1,CASES
1920,35,CLEVELAND,OH,US,CITY,2,CASES
1920,39,CLEVELAND,OH,US,CITY,1,CASES
1920,42,CLEVELAND,OH,US,CITY,2,CASES
1920,43,CLEVELAND,OH,US,CITY,2,CASES
1920,44,CLEVELAND,OH,US,CITY,5,CASES
1920,45,CLEVELAND,OH,US,CITY,2,CASES
1920,46,CLEVELAND,OH,US,CITY,1,CASES
1920,47,CLEVELAND,OH,US,CITY,5,CASES
1920,48,CLEVELAND,OH,US,CITY,3,CASES
1920,49,CLEVELAND,OH,US,CITY,5,CASES
1920,51,CLEVELAND,OH,US,CITY,4,CASES
1921,1,CLEVELAND,OH,US,CITY,1,CASES
1921,2,CLEVELAND,OH,US,CITY,3,CASES
1921,3,CLEVELAND,OH,US,CITY,1,CASES
1921,4,CLEVELAND,OH,US,CITY,3,CASES
1921,5,CLEVELAND,OH,US,CITY,1,CASES
1921,6,CLEVELAND,OH,US,CITY,2,CASES
1921,7,CLEVELAND,OH,US,CITY,1,CASES
1921,8,CLEVELAND,OH,US,CITY,6,CASES
1921,9,CLEVELAND,OH,US,CITY,1,CASES
1921,21,CLEVELAND,OH,US,CITY,1,CASES
1921,28,CLEVELAND,OH,US,CITY,1,CASES
1921,35,CLEVELAND,OH,US,CITY,1,CASES
1921,36,CLEVELAND,OH,US,CITY,3,CASES
1921,38,CLEVELAND,OH,US,CITY,4,CASES
1921,39,CLEVELAND,OH,US,CITY,1,CASES
1921,41,CLEVELAND,OH,US,CITY,1,CASES
1921,42,CLEVELAND,OH,US,CITY,1,CASES
1921,43,CLEVELAND,OH,US,CITY,1,CASES
1921,44,CLEVELAND,OH,US,CITY,2,CASES
1921,47,CLEVELAND,OH,US,CITY,1,CASES
1921,48,CLEVELAND,OH,US,CITY,1,CASES
1921,52,CLEVELAND,OH,US,CITY,2,CASES
1922,1,CLEVELAND,OH,US,CITY,1,CASES
1921,52,CLEVELAND,OH,US,CITY,3,CASES
1922,2,CLEVELAND,OH,US,CITY,8,CASES
1921,52,CLEVELAND,OH,US,CITY,1,CASES
1922,3,CLEVELAND,OH,US,CITY,4,CASES
1922,4,CLEVELAND,OH,US,CITY,6,CASES
1922,5,CLEVELAND,OH,US,CITY,15,CASES
1922,6,CLEVELAND,OH,US,CITY,29,CASES
1922,7,CLEVELAND,OH,US,CITY,44,CASES
1922,8,CLEVELAND,OH,US,CITY,141,CASES
1922,9,CLEVELAND,OH,US,CITY,263,CASES
1922,10,CLEVELAND,OH,US,CITY,172,CASES
1922,11,CLEVELAND,OH,US,CITY,56,CASES
1922,12,CLEVELAND,OH,US,CITY,39,CASES
1922,13,CLEVELAND,OH,US,CITY,11,CASES
1922,15,CLEVELAND,OH,US,CITY,2,CASES
1922,17,CLEVELAND,OH,US,CITY,2,CASES
1922,20,CLEVELAND,OH,US,CITY,1,CASES
1922,21,CLEVELAND,OH,US,CITY,2,CASES
1922,35,CLEVELAND,OH,US,CITY,1,CASES
1922,38,CLEVELAND,OH,US,CITY,2,CASES
1922,40,CLEVELAND,OH,US,CITY,1,CASES
1922,45,CLEVELAND,OH,US,CITY,2,CASES
1922,47,CLEVELAND,OH,US,CITY,1,CASES
1922,48,CLEVELAND,OH,US,CITY,1,CASES
1922,49,CLEVELAND,OH,US,CITY,3,CASES
1922,50,CLEVELAND,OH,US,CITY,4,CASES
1922,51,CLEVELAND,OH,US,CITY,1,CASES
1922,52,CLEVELAND,OH,US,CITY,8,CASES
1923,1,CLEVELAND,OH,US,CITY,8,CASES
1923,2,CLEVELAND,OH,US,CITY,25,CASES
1923,3,CLEVELAND,OH,US,CITY,32,CASES
1923,4,CLEVELAND,OH,US,CITY,72,CASES
1923,5,CLEVELAND,OH,US,CITY,113,CASES
1923,6,CLEVELAND,OH,US,CITY,119,CASES
1923,7,CLEVELAND,OH,US,CITY,117,CASES
1923,8,CLEVELAND,OH,US,CITY,79,CASES
1923,9,CLEVELAND,OH,US,CITY,24,CASES
1923,10,CLEVELAND,OH,US,CITY,30,CASES
1923,11,CLEVELAND,OH,US,CITY,14,CASES
1923,12,CLEVELAND,OH,US,CITY,8,CASES
1923,13,CLEVELAND,OH,US,CITY,4,CASES
1923,16,CLEVELAND,OH,US,CITY,1,CASES
1923,17,CLEVELAND,OH,US,CITY,6,CASES
1923,18,CLEVELAND,OH,US,CITY,1,CASES
1923,19,CLEVELAND,OH,US,CITY,4,CASES
1923,20,CLEVELAND,OH,US,CITY,3,CASES
1923,21,CLEVELAND,OH,US,CITY,2,CASES
1923,22,CLEVELAND,OH,US,CITY,1,CASES
1923,25,CLEVELAND,OH,US,CITY,1,CASES
1923,28,CLEVELAND,OH,US,CITY,1,CASES
1923,30,CLEVELAND,OH,US,CITY,1,CASES
1923,33,CLEVELAND,OH,US,CITY,1,CASES
1923,39,CLEVELAND,OH,US,CITY,2,CASES
1923,41,CLEVELAND,OH,US,CITY,2,CASES
1923,43,CLEVELAND,OH,US,CITY,1,CASES
1923,44,CLEVELAND,OH,US,CITY,1,CASES
1923,45,CLEVELAND,OH,US,CITY,3,CASES
1923,45,CLEVELAND,OH,US,CITY,8,CASES
1923,47,CLEVELAND,OH,US,CITY,6,CASES
1923,48,CLEVELAND,OH,US,CITY,4,CASES
1923,49,CLEVELAND,OH,US,CITY,3,CASES
1923,50,CLEVELAND,OH,US,CITY,4,CASES
1923,51,CLEVELAND,OH,US,CITY,7,CASES
1923,52,CLEVELAND,OH,US,CITY,4,CASES
1924,1,CLEVELAND,OH,US,CITY,8,CASES
1924,2,CLEVELAND,OH,US,CITY,10,CASES
1924,3,CLEVELAND,OH,US,CITY,6,CASES
1924,4,CLEVELAND,OH,US,CITY,9,CASES
1924,5,CLEVELAND,OH,US,CITY,10,CASES
1924,6,CLEVELAND,OH,US,CITY,7,CASES
1924,7,CLEVELAND,OH,US,CITY,8,CASES
1924,8,CLEVELAND,OH,US,CITY,5,CASES
1924,9,CLEVELAND,OH,US,CITY,7,CASES
1924,10,CLEVELAND,OH,US,CITY,10,CASES
1924,11,CLEVELAND,OH,US,CITY,9,CASES
1924,12,CLEVELAND,OH,US,CITY,6,CASES
1924,13,CLEVELAND,OH,US,CITY,14,CASES
1924,14,CLEVELAND,OH,US,CITY,3,CASES
1924,15,CLEVELAND,OH,US,CITY,6,CASES
1924,16,CLEVELAND,OH,US,CITY,2,CASES
1924,17,CLEVELAND,OH,US,CITY,1,CASES
1924,18,CLEVELAND,OH,US,CITY,3,CASES
1924,19,CLEVELAND,OH,US,CITY,1,CASES
1924,20,CLEVELAND,OH,US,CITY,3,CASES
1924,21,CLEVELAND,OH,US,CITY,1,CASES
1924,22,CLEVELAND,OH,US,CITY,1,CASES
1924,23,CLEVELAND,OH,US,CITY,1,CASES
1924,24,CLEVELAND,OH,US,CITY,1,CASES
1924,25,CLEVELAND,OH,US,CITY,1,CASES
1924,26,CLEVELAND,OH,US,CITY,0,CASES
1924,27,CLEVELAND,OH,US,CITY,0,CASES
1924,28,CLEVELAND,OH,US,CITY,0,CASES
1924,29,CLEVELAND,OH,US,CITY,0,CASES
1924,30,CLEVELAND,OH,US,CITY,0,CASES
1924,31,CLEVELAND,OH,US,CITY,0,CASES
1924,32,CLEVELAND,OH,US,CITY,0,CASES
1924,33,CLEVELAND,OH,US,CITY,2,CASES
1924,34,CLEVELAND,OH,US,CITY,0,CASES
1924,36,CLEVELAND,OH,US,CITY,2,CASES
1924,37,CLEVELAND,OH,US,CITY,0,CASES
1924,38,CLEVELAND,OH,US,CITY,2,CASES
1924,39,CLEVELAND,OH,US,CITY,2,CASES
1924,40,CLEVELAND,OH,US,CITY,1,CASES
1924,41,CLEVELAND,OH,US,CITY,3,CASES
1924,42,CLEVELAND,OH,US,CITY,1,CASES
1924,44,CLEVELAND,OH,US,CITY,2,CASES
1924,46,CLEVELAND,OH,US,CITY,0,CASES
1924,47,CLEVELAND,OH,US,CITY,3,CASES
1924,49,CLEVELAND,OH,US,CITY,2,CASES
1924,50,CLEVELAND,OH,US,CITY,4,CASES
1924,51,CLEVELAND,OH,US,CITY,4,CASES
1924,52,CLEVELAND,OH,US,CITY,7,CASES
1924,53,CLEVELAND,OH,US,CITY,16,CASES
1925,1,CLEVELAND,OH,US,CITY,7,CASES
