year,week,loc,state,country,loc_type,number,event
1918,18,COATESVILLE,PA,US,CITY,2,CASES
1919,5,COATESVILLE,PA,US,CITY,1,CASES
1919,46,COATESVILLE,PA,US,CITY,2,CASES
1919,47,COATESVILLE,PA,US,CITY,2,CASES
1919,48,COATESVILLE,PA,US,CITY,4,CASES
1919,49,COATESVILLE,PA,US,CITY,2,CASES
1919,50,COATESVILLE,PA,US,CITY,2,CASES
1919,52,COATESVILLE,PA,US,CITY,1,CASES
1919,53,COATESVILLE,PA,US,CITY,1,CASES
1920,4,COATESVILLE,PA,US,CITY,1,CASES
1920,7,COATESVILLE,PA,US,CITY,2,CASES
1920,23,COATESVILLE,PA,US,CITY,1,CASES
1920,29,COATESVILLE,PA,US,CITY,1,CASES
1920,32,COATESVILLE,PA,US,CITY,1,CASES
1920,34,COATESVILLE,PA,US,CITY,1,CASES
1920,38,COATESVILLE,PA,US,CITY,2,CASES
1920,40,COATESVILLE,PA,US,CITY,2,CASES
1920,41,COATESVILLE,PA,US,CITY,1,CASES
1920,42,COATESVILLE,PA,US,CITY,2,CASES
1920,43,COATESVILLE,PA,US,CITY,5,CASES
1920,47,COATESVILLE,PA,US,CITY,4,CASES
1920,48,COATESVILLE,PA,US,CITY,3,CASES
1920,49,COATESVILLE,PA,US,CITY,5,CASES
1921,2,COATESVILLE,PA,US,CITY,1,CASES
1921,3,COATESVILLE,PA,US,CITY,2,CASES
1921,4,COATESVILLE,PA,US,CITY,1,CASES
1921,5,COATESVILLE,PA,US,CITY,1,CASES
1921,11,COATESVILLE,PA,US,CITY,1,CASES
1921,14,COATESVILLE,PA,US,CITY,1,CASES
1921,20,COATESVILLE,PA,US,CITY,1,CASES
1921,38,COATESVILLE,PA,US,CITY,2,CASES
1921,41,COATESVILLE,PA,US,CITY,1,CASES
1921,43,COATESVILLE,PA,US,CITY,1,CASES
1921,46,COATESVILLE,PA,US,CITY,1,CASES
1921,50,COATESVILLE,PA,US,CITY,1,CASES
1921,51,COATESVILLE,PA,US,CITY,1,CASES
1922,21,COATESVILLE,PA,US,CITY,1,CASES
1922,31,COATESVILLE,PA,US,CITY,1,CASES
1922,45,COATESVILLE,PA,US,CITY,1,CASES
1922,47,COATESVILLE,PA,US,CITY,1,CASES
1922,49,COATESVILLE,PA,US,CITY,1,CASES
1923,3,COATESVILLE,PA,US,CITY,1,CASES
1923,9,COATESVILLE,PA,US,CITY,1,CASES
1923,17,COATESVILLE,PA,US,CITY,1,CASES
1923,18,COATESVILLE,PA,US,CITY,1,CASES
1923,28,COATESVILLE,PA,US,CITY,1,CASES
1923,31,COATESVILLE,PA,US,CITY,1,CASES
1923,44,COATESVILLE,PA,US,CITY,1,CASES
1923,45,COATESVILLE,PA,US,CITY,1,CASES
1923,47,COATESVILLE,PA,US,CITY,1,CASES
