year,week,loc,state,country,loc_type,number,event
1912,12,COFFEYVILLE,KS,US,CITY,1,CASES
1912,18,COFFEYVILLE,KS,US,CITY,1,CASES
1912,19,COFFEYVILLE,KS,US,CITY,1,CASES
1912,44,COFFEYVILLE,KS,US,CITY,1,CASES
1912,51,COFFEYVILLE,KS,US,CITY,1,CASES
1913,1,COFFEYVILLE,KS,US,CITY,1,CASES
1913,3,COFFEYVILLE,KS,US,CITY,1,CASES
1913,4,COFFEYVILLE,KS,US,CITY,1,CASES
1913,6,COFFEYVILLE,KS,US,CITY,1,CASES
1913,41,COFFEYVILLE,KS,US,CITY,1,CASES
1914,4,COFFEYVILLE,KS,US,CITY,2,CASES
1914,8,COFFEYVILLE,KS,US,CITY,1,CASES
1914,10,COFFEYVILLE,KS,US,CITY,1,CASES
1914,11,COFFEYVILLE,KS,US,CITY,1,CASES
1914,13,COFFEYVILLE,KS,US,CITY,1,CASES
1914,42,COFFEYVILLE,KS,US,CITY,1,CASES
1915,2,COFFEYVILLE,KS,US,CITY,4,CASES
1915,6,COFFEYVILLE,KS,US,CITY,1,CASES
1915,14,COFFEYVILLE,KS,US,CITY,2,CASES
1915,15,COFFEYVILLE,KS,US,CITY,2,CASES
1915,16,COFFEYVILLE,KS,US,CITY,1,CASES
1915,20,COFFEYVILLE,KS,US,CITY,1,CASES
1915,43,COFFEYVILLE,KS,US,CITY,1,CASES
1915,45,COFFEYVILLE,KS,US,CITY,1,CASES
1915,52,COFFEYVILLE,KS,US,CITY,1,CASES
1916,1,COFFEYVILLE,KS,US,CITY,5,CASES
1916,3,COFFEYVILLE,KS,US,CITY,1,CASES
1916,5,COFFEYVILLE,KS,US,CITY,2,CASES
1916,10,COFFEYVILLE,KS,US,CITY,1,CASES
1916,11,COFFEYVILLE,KS,US,CITY,4,CASES
1916,12,COFFEYVILLE,KS,US,CITY,2,CASES
1916,13,COFFEYVILLE,KS,US,CITY,1,CASES
1916,14,COFFEYVILLE,KS,US,CITY,2,CASES
1916,15,COFFEYVILLE,KS,US,CITY,2,CASES
1916,18,COFFEYVILLE,KS,US,CITY,1,CASES
1916,46,COFFEYVILLE,KS,US,CITY,1,CASES
1916,47,COFFEYVILLE,KS,US,CITY,1,CASES
1916,50,COFFEYVILLE,KS,US,CITY,1,CASES
1917,1,COFFEYVILLE,KS,US,CITY,1,CASES
1917,2,COFFEYVILLE,KS,US,CITY,2,CASES
1917,4,COFFEYVILLE,KS,US,CITY,2,CASES
1917,5,COFFEYVILLE,KS,US,CITY,3,CASES
1917,6,COFFEYVILLE,KS,US,CITY,2,CASES
1917,7,COFFEYVILLE,KS,US,CITY,1,CASES
1917,8,COFFEYVILLE,KS,US,CITY,1,CASES
1917,9,COFFEYVILLE,KS,US,CITY,1,CASES
1917,10,COFFEYVILLE,KS,US,CITY,1,CASES
1917,46,COFFEYVILLE,KS,US,CITY,1,CASES
1918,5,COFFEYVILLE,KS,US,CITY,2,CASES
1918,15,COFFEYVILLE,KS,US,CITY,1,CASES
1918,16,COFFEYVILLE,KS,US,CITY,1,CASES
1918,17,COFFEYVILLE,KS,US,CITY,1,CASES
1918,41,COFFEYVILLE,KS,US,CITY,1,CASES
1918,42,COFFEYVILLE,KS,US,CITY,1,CASES
1918,43,COFFEYVILLE,KS,US,CITY,2,CASES
1918,51,COFFEYVILLE,KS,US,CITY,1,CASES
1919,53,COFFEYVILLE,KS,US,CITY,2,CASES
1920,4,COFFEYVILLE,KS,US,CITY,1,CASES
1920,6,COFFEYVILLE,KS,US,CITY,2,CASES
1920,7,COFFEYVILLE,KS,US,CITY,3,CASES
1920,8,COFFEYVILLE,KS,US,CITY,2,CASES
1920,11,COFFEYVILLE,KS,US,CITY,1,CASES
1920,14,COFFEYVILLE,KS,US,CITY,1,CASES
1920,31,COFFEYVILLE,KS,US,CITY,1,CASES
1920,38,COFFEYVILLE,KS,US,CITY,1,CASES
1920,52,COFFEYVILLE,KS,US,CITY,1,CASES
1921,1,COFFEYVILLE,KS,US,CITY,1,CASES
1921,11,COFFEYVILLE,KS,US,CITY,1,CASES
1921,12,COFFEYVILLE,KS,US,CITY,3,CASES
1921,15,COFFEYVILLE,KS,US,CITY,1,CASES
1921,16,COFFEYVILLE,KS,US,CITY,1,CASES
1921,43,COFFEYVILLE,KS,US,CITY,1,CASES
1921,46,COFFEYVILLE,KS,US,CITY,1,CASES
1921,48,COFFEYVILLE,KS,US,CITY,1,CASES
1921,52,COFFEYVILLE,KS,US,CITY,1,CASES
1922,1,COFFEYVILLE,KS,US,CITY,1,CASES
1922,5,COFFEYVILLE,KS,US,CITY,1,CASES
1922,6,COFFEYVILLE,KS,US,CITY,1,CASES
1922,7,COFFEYVILLE,KS,US,CITY,5,CASES
1922,8,COFFEYVILLE,KS,US,CITY,5,CASES
1922,10,COFFEYVILLE,KS,US,CITY,1,CASES
1922,11,COFFEYVILLE,KS,US,CITY,1,CASES
1922,13,COFFEYVILLE,KS,US,CITY,2,CASES
1922,23,COFFEYVILLE,KS,US,CITY,1,CASES
1922,40,COFFEYVILLE,KS,US,CITY,1,CASES
1923,2,COFFEYVILLE,KS,US,CITY,3,CASES
1923,4,COFFEYVILLE,KS,US,CITY,1,CASES
1923,5,COFFEYVILLE,KS,US,CITY,1,CASES
1923,6,COFFEYVILLE,KS,US,CITY,1,CASES
1923,7,COFFEYVILLE,KS,US,CITY,8,CASES
1923,8,COFFEYVILLE,KS,US,CITY,2,CASES
1923,9,COFFEYVILLE,KS,US,CITY,2,CASES
1923,12,COFFEYVILLE,KS,US,CITY,2,CASES
1923,13,COFFEYVILLE,KS,US,CITY,2,CASES
1923,15,COFFEYVILLE,KS,US,CITY,1,CASES
1923,18,COFFEYVILLE,KS,US,CITY,1,CASES
1923,39,COFFEYVILLE,KS,US,CITY,1,CASES
1923,43,COFFEYVILLE,KS,US,CITY,1,CASES
1923,44,COFFEYVILLE,KS,US,CITY,1,CASES
1923,46,COFFEYVILLE,KS,US,CITY,1,CASES
1923,47,COFFEYVILLE,KS,US,CITY,2,CASES
1923,50,COFFEYVILLE,KS,US,CITY,1,CASES
