year,week,loc,state,country,loc_type,number,event
1918,39,COLORADO SPRINGS,CO,US,CITY,2,CASES
1918,45,COLORADO SPRINGS,CO,US,CITY,8,CASES
1919,5,COLORADO SPRINGS,CO,US,CITY,4,CASES
1919,10,COLORADO SPRINGS,CO,US,CITY,4,CASES
1919,11,COLORADO SPRINGS,CO,US,CITY,2,CASES
1919,45,COLORADO SPRINGS,CO,US,CITY,1,CASES
1920,2,COLORADO SPRINGS,CO,US,CITY,4,CASES
1920,4,COLORADO SPRINGS,CO,US,CITY,9,CASES
1920,46,COLORADO SPRINGS,CO,US,CITY,5,CASES
1920,47,COLORADO SPRINGS,CO,US,CITY,2,CASES
1920,51,COLORADO SPRINGS,CO,US,CITY,1,CASES
1921,2,COLORADO SPRINGS,CO,US,CITY,1,CASES
1921,3,COLORADO SPRINGS,CO,US,CITY,2,CASES
1921,5,COLORADO SPRINGS,CO,US,CITY,2,CASES
1921,6,COLORADO SPRINGS,CO,US,CITY,2,CASES
1921,7,COLORADO SPRINGS,CO,US,CITY,1,CASES
1921,9,COLORADO SPRINGS,CO,US,CITY,2,CASES
1921,10,COLORADO SPRINGS,CO,US,CITY,3,CASES
1921,12,COLORADO SPRINGS,CO,US,CITY,2,CASES
1922,3,COLORADO SPRINGS,CO,US,CITY,4,CASES
