year,week,loc,state,country,loc_type,number,event
1918,5,COLUMBUS,GA,US,CITY,1,CASES
1918,50,COLUMBUS,GA,US,CITY,1,CASES
1918,51,COLUMBUS,GA,US,CITY,5,CASES
1918,52,COLUMBUS,GA,US,CITY,1,CASES
1919,3,COLUMBUS,GA,US,CITY,2,CASES
1919,21,COLUMBUS,GA,US,CITY,2,CASES
1919,22,COLUMBUS,GA,US,CITY,15,CASES
1919,23,COLUMBUS,GA,US,CITY,19,CASES
1919,24,COLUMBUS,GA,US,CITY,8,CASES
1919,25,COLUMBUS,GA,US,CITY,3,CASES
1919,26,COLUMBUS,GA,US,CITY,4,CASES
1919,27,COLUMBUS,GA,US,CITY,3,CASES
1919,28,COLUMBUS,GA,US,CITY,5,CASES
1919,29,COLUMBUS,GA,US,CITY,8,CASES
1919,30,COLUMBUS,GA,US,CITY,3,CASES
1919,34,COLUMBUS,GA,US,CITY,1,CASES
1919,39,COLUMBUS,GA,US,CITY,1,CASES
1919,40,COLUMBUS,GA,US,CITY,2,CASES
1919,43,COLUMBUS,GA,US,CITY,1,CASES
1919,44,COLUMBUS,GA,US,CITY,1,CASES
1920,3,COLUMBUS,GA,US,CITY,1,CASES
1920,11,COLUMBUS,GA,US,CITY,1,CASES
