year,week,loc,state,country,loc_type,number,event
1918,16,CONNELLSVILLE,PA,US,CITY,12,CASES
1918,17,CONNELLSVILLE,PA,US,CITY,7,CASES
1918,20,CONNELLSVILLE,PA,US,CITY,3,CASES
1918,24,CONNELLSVILLE,PA,US,CITY,2,CASES
1918,40,CONNELLSVILLE,PA,US,CITY,2,CASES
1919,13,CONNELLSVILLE,PA,US,CITY,2,CASES
1919,14,CONNELLSVILLE,PA,US,CITY,4,CASES
1919,17,CONNELLSVILLE,PA,US,CITY,7,CASES
1919,22,CONNELLSVILLE,PA,US,CITY,2,CASES
1919,25,CONNELLSVILLE,PA,US,CITY,1,CASES
1920,5,CONNELLSVILLE,PA,US,CITY,1,CASES
1920,15,CONNELLSVILLE,PA,US,CITY,2,CASES
1920,16,CONNELLSVILLE,PA,US,CITY,4,CASES
1920,21,CONNELLSVILLE,PA,US,CITY,1,CASES
1920,22,CONNELLSVILLE,PA,US,CITY,7,CASES
1920,23,CONNELLSVILLE,PA,US,CITY,3,CASES
1920,24,CONNELLSVILLE,PA,US,CITY,2,CASES
1920,25,CONNELLSVILLE,PA,US,CITY,3,CASES
1920,27,CONNELLSVILLE,PA,US,CITY,2,CASES
1920,37,CONNELLSVILLE,PA,US,CITY,1,CASES
1920,47,CONNELLSVILLE,PA,US,CITY,2,CASES
1920,49,CONNELLSVILLE,PA,US,CITY,1,CASES
1921,9,CONNELLSVILLE,PA,US,CITY,2,CASES
1921,17,CONNELLSVILLE,PA,US,CITY,3,CASES
1921,19,CONNELLSVILLE,PA,US,CITY,6,CASES
1921,20,CONNELLSVILLE,PA,US,CITY,1,CASES
1921,21,CONNELLSVILLE,PA,US,CITY,1,CASES
1921,22,CONNELLSVILLE,PA,US,CITY,3,CASES
1921,44,CONNELLSVILLE,PA,US,CITY,1,CASES
1922,3,CONNELLSVILLE,PA,US,CITY,1,CASES
1922,4,CONNELLSVILLE,PA,US,CITY,1,CASES
1922,12,CONNELLSVILLE,PA,US,CITY,1,CASES
1922,49,CONNELLSVILLE,PA,US,CITY,1,CASES
1923,3,CONNELLSVILLE,PA,US,CITY,2,CASES
1923,4,CONNELLSVILLE,PA,US,CITY,1,CASES
1923,7,CONNELLSVILLE,PA,US,CITY,2,CASES
1923,8,CONNELLSVILLE,PA,US,CITY,2,CASES
1923,9,CONNELLSVILLE,PA,US,CITY,1,CASES
1923,10,CONNELLSVILLE,PA,US,CITY,1,CASES
1923,11,CONNELLSVILLE,PA,US,CITY,1,CASES
1923,12,CONNELLSVILLE,PA,US,CITY,6,CASES
1923,13,CONNELLSVILLE,PA,US,CITY,20,CASES
1923,14,CONNELLSVILLE,PA,US,CITY,33,CASES
1923,15,CONNELLSVILLE,PA,US,CITY,19,CASES
1923,16,CONNELLSVILLE,PA,US,CITY,54,CASES
1923,17,CONNELLSVILLE,PA,US,CITY,41,CASES
1923,18,CONNELLSVILLE,PA,US,CITY,42,CASES
1923,19,CONNELLSVILLE,PA,US,CITY,5,CASES
1923,21,CONNELLSVILLE,PA,US,CITY,4,CASES
1923,22,CONNELLSVILLE,PA,US,CITY,4,CASES
1923,25,CONNELLSVILLE,PA,US,CITY,2,CASES
