year,week,loc,state,country,loc_type,number,event
1918,18,CORTLAND,NY,US,CITY,1,CASES
1918,20,CORTLAND,NY,US,CITY,2,CASES
1918,21,CORTLAND,NY,US,CITY,1,CASES
1918,23,CORTLAND,NY,US,CITY,2,CASES
1920,19,CORTLAND,NY,US,CITY,1,CASES
1920,34,CORTLAND,NY,US,CITY,1,CASES
1920,42,CORTLAND,NY,US,CITY,1,CASES
1920,46,CORTLAND,NY,US,CITY,3,CASES
1920,51,CORTLAND,NY,US,CITY,1,CASES
1922,21,CORTLAND,NY,US,CITY,15,CASES
1922,28,CORTLAND,NY,US,CITY,10,CASES
1922,29,CORTLAND,NY,US,CITY,8,CASES
1922,38,CORTLAND,NY,US,CITY,2,CASES
1923,16,CORTLAND,NY,US,CITY,4,CASES
1923,21,CORTLAND,NY,US,CITY,2,CASES
1923,25,CORTLAND,NY,US,CITY,5,CASES
1923,30,CORTLAND,NY,US,CITY,5,CASES
1923,34,CORTLAND,NY,US,CITY,3,CASES
