year,week,loc,state,country,loc_type,number,event
1906,43,COVINGTON,KY,US,CITY,1,CASES
1906,44,COVINGTON,KY,US,CITY,1,CASES
1906,45,COVINGTON,KY,US,CITY,2,CASES
1906,46,COVINGTON,KY,US,CITY,2,CASES
1906,47,COVINGTON,KY,US,CITY,1,CASES
1906,49,COVINGTON,KY,US,CITY,1,CASES
1906,52,COVINGTON,KY,US,CITY,1,CASES
1907,9,COVINGTON,KY,US,CITY,1,CASES
1907,11,COVINGTON,KY,US,CITY,1,CASES
1907,13,COVINGTON,KY,US,CITY,1,CASES
1907,15,COVINGTON,KY,US,CITY,1,CASES
1907,16,COVINGTON,KY,US,CITY,1,CASES
1907,17,COVINGTON,KY,US,CITY,3,CASES
1907,23,COVINGTON,KY,US,CITY,1,CASES
1907,27,COVINGTON,KY,US,CITY,1,CASES
1907,34,COVINGTON,KY,US,CITY,2,CASES
1907,35,COVINGTON,KY,US,CITY,1,CASES
1907,38,COVINGTON,KY,US,CITY,1,CASES
1907,41,COVINGTON,KY,US,CITY,1,CASES
1907,42,COVINGTON,KY,US,CITY,1,CASES
1907,43,COVINGTON,KY,US,CITY,3,CASES
1907,44,COVINGTON,KY,US,CITY,1,CASES
1907,45,COVINGTON,KY,US,CITY,1,CASES
1907,46,COVINGTON,KY,US,CITY,3,CASES
1907,47,COVINGTON,KY,US,CITY,1,CASES
1907,48,COVINGTON,KY,US,CITY,2,CASES
1907,49,COVINGTON,KY,US,CITY,2,CASES
1907,50,COVINGTON,KY,US,CITY,2,CASES
1907,51,COVINGTON,KY,US,CITY,2,CASES
1908,2,COVINGTON,KY,US,CITY,1,CASES
1908,6,COVINGTON,KY,US,CITY,1,CASES
1908,8,COVINGTON,KY,US,CITY,3,CASES
1908,9,COVINGTON,KY,US,CITY,3,CASES
1908,10,COVINGTON,KY,US,CITY,4,CASES
1908,11,COVINGTON,KY,US,CITY,3,CASES
1908,12,COVINGTON,KY,US,CITY,2,CASES
1908,13,COVINGTON,KY,US,CITY,1,CASES
1908,14,COVINGTON,KY,US,CITY,1,CASES
1908,15,COVINGTON,KY,US,CITY,1,CASES
1908,16,COVINGTON,KY,US,CITY,1,CASES
1908,36,COVINGTON,KY,US,CITY,1,CASES
1908,41,COVINGTON,KY,US,CITY,1,CASES
1908,42,COVINGTON,KY,US,CITY,1,CASES
1908,47,COVINGTON,KY,US,CITY,2,CASES
1908,48,COVINGTON,KY,US,CITY,4,CASES
1908,50,COVINGTON,KY,US,CITY,2,CASES
1909,1,COVINGTON,KY,US,CITY,1,CASES
1909,2,COVINGTON,KY,US,CITY,2,CASES
1909,3,COVINGTON,KY,US,CITY,3,CASES
1909,4,COVINGTON,KY,US,CITY,1,CASES
1909,5,COVINGTON,KY,US,CITY,6,CASES
1909,6,COVINGTON,KY,US,CITY,3,CASES
1909,7,COVINGTON,KY,US,CITY,1,CASES
1909,8,COVINGTON,KY,US,CITY,3,CASES
1909,10,COVINGTON,KY,US,CITY,3,CASES
1909,12,COVINGTON,KY,US,CITY,1,CASES
1909,14,COVINGTON,KY,US,CITY,1,CASES
1909,16,COVINGTON,KY,US,CITY,1,CASES
1909,17,COVINGTON,KY,US,CITY,1,CASES
1909,18,COVINGTON,KY,US,CITY,1,CASES
1909,19,COVINGTON,KY,US,CITY,1,CASES
1909,21,COVINGTON,KY,US,CITY,2,CASES
1909,33,COVINGTON,KY,US,CITY,1,CASES
1909,40,COVINGTON,KY,US,CITY,1,CASES
1909,44,COVINGTON,KY,US,CITY,1,CASES
1909,45,COVINGTON,KY,US,CITY,1,CASES
1909,50,COVINGTON,KY,US,CITY,2,CASES
1909,52,COVINGTON,KY,US,CITY,1,CASES
1910,1,COVINGTON,KY,US,CITY,1,CASES
1910,3,COVINGTON,KY,US,CITY,2,CASES
1910,5,COVINGTON,KY,US,CITY,1,CASES
1910,10,COVINGTON,KY,US,CITY,1,CASES
1910,16,COVINGTON,KY,US,CITY,1,CASES
1910,17,COVINGTON,KY,US,CITY,2,CASES
1910,18,COVINGTON,KY,US,CITY,4,CASES
1910,19,COVINGTON,KY,US,CITY,2,CASES
1910,20,COVINGTON,KY,US,CITY,1,CASES
1910,21,COVINGTON,KY,US,CITY,2,CASES
1910,22,COVINGTON,KY,US,CITY,1,CASES
1910,24,COVINGTON,KY,US,CITY,2,CASES
1910,25,COVINGTON,KY,US,CITY,1,CASES
1910,30,COVINGTON,KY,US,CITY,2,CASES
1910,31,COVINGTON,KY,US,CITY,1,CASES
1910,35,COVINGTON,KY,US,CITY,1,CASES
1910,36,COVINGTON,KY,US,CITY,1,CASES
1910,37,COVINGTON,KY,US,CITY,1,CASES
1910,50,COVINGTON,KY,US,CITY,2,CASES
1910,52,COVINGTON,KY,US,CITY,4,CASES
1911,2,COVINGTON,KY,US,CITY,4,CASES
1911,4,COVINGTON,KY,US,CITY,2,CASES
1911,7,COVINGTON,KY,US,CITY,4,CASES
1911,8,COVINGTON,KY,US,CITY,3,CASES
1911,11,COVINGTON,KY,US,CITY,1,CASES
1911,13,COVINGTON,KY,US,CITY,3,CASES
1911,14,COVINGTON,KY,US,CITY,3,CASES
1911,15,COVINGTON,KY,US,CITY,3,CASES
1911,16,COVINGTON,KY,US,CITY,5,CASES
1911,17,COVINGTON,KY,US,CITY,2,CASES
1911,18,COVINGTON,KY,US,CITY,6,CASES
1911,20,COVINGTON,KY,US,CITY,3,CASES
1911,22,COVINGTON,KY,US,CITY,1,CASES
