year,week,loc,state,country,loc_type,number,event
1918,5,CRANSTON,RI,US,CITY,1,CASES
1918,6,CRANSTON,RI,US,CITY,1,CASES
1918,7,CRANSTON,RI,US,CITY,1,CASES
1918,8,CRANSTON,RI,US,CITY,1,CASES
1918,10,CRANSTON,RI,US,CITY,2,CASES
1918,11,CRANSTON,RI,US,CITY,1,CASES
1918,12,CRANSTON,RI,US,CITY,3,CASES
1918,13,CRANSTON,RI,US,CITY,1,CASES
1918,17,CRANSTON,RI,US,CITY,1,CASES
1918,23,CRANSTON,RI,US,CITY,1,CASES
1918,47,CRANSTON,RI,US,CITY,1,CASES
1918,49,CRANSTON,RI,US,CITY,3,CASES
1918,50,CRANSTON,RI,US,CITY,2,CASES
1918,51,CRANSTON,RI,US,CITY,1,CASES
1918,52,CRANSTON,RI,US,CITY,1,CASES
1919,1,CRANSTON,RI,US,CITY,1,CASES
1919,2,CRANSTON,RI,US,CITY,1,CASES
1919,3,CRANSTON,RI,US,CITY,2,CASES
1919,4,CRANSTON,RI,US,CITY,2,CASES
1919,7,CRANSTON,RI,US,CITY,1,CASES
1919,9,CRANSTON,RI,US,CITY,2,CASES
1919,11,CRANSTON,RI,US,CITY,3,CASES
1919,12,CRANSTON,RI,US,CITY,3,CASES
1919,13,CRANSTON,RI,US,CITY,1,CASES
1919,14,CRANSTON,RI,US,CITY,1,CASES
1919,16,CRANSTON,RI,US,CITY,1,CASES
1919,18,CRANSTON,RI,US,CITY,2,CASES
1919,19,CRANSTON,RI,US,CITY,1,CASES
1919,20,CRANSTON,RI,US,CITY,1,CASES
1919,24,CRANSTON,RI,US,CITY,1,CASES
1919,35,CRANSTON,RI,US,CITY,1,CASES
1919,39,CRANSTON,RI,US,CITY,1,CASES
1919,41,CRANSTON,RI,US,CITY,1,CASES
1919,42,CRANSTON,RI,US,CITY,1,CASES
1919,44,CRANSTON,RI,US,CITY,1,CASES
1919,49,CRANSTON,RI,US,CITY,1,CASES
1919,52,CRANSTON,RI,US,CITY,1,CASES
1920,3,CRANSTON,RI,US,CITY,1,CASES
1920,4,CRANSTON,RI,US,CITY,1,CASES
1920,5,CRANSTON,RI,US,CITY,1,CASES
1920,6,CRANSTON,RI,US,CITY,5,CASES
1920,8,CRANSTON,RI,US,CITY,4,CASES
1920,9,CRANSTON,RI,US,CITY,2,CASES
1920,16,CRANSTON,RI,US,CITY,1,CASES
1920,17,CRANSTON,RI,US,CITY,1,CASES
1920,20,CRANSTON,RI,US,CITY,4,CASES
1920,37,CRANSTON,RI,US,CITY,1,CASES
1920,44,CRANSTON,RI,US,CITY,1,CASES
1920,47,CRANSTON,RI,US,CITY,1,CASES
1920,48,CRANSTON,RI,US,CITY,1,CASES
1920,49,CRANSTON,RI,US,CITY,1,CASES
1920,50,CRANSTON,RI,US,CITY,2,CASES
1921,1,CRANSTON,RI,US,CITY,3,CASES
1921,2,CRANSTON,RI,US,CITY,2,CASES
1921,3,CRANSTON,RI,US,CITY,1,CASES
1921,4,CRANSTON,RI,US,CITY,4,CASES
1921,6,CRANSTON,RI,US,CITY,1,CASES
1921,8,CRANSTON,RI,US,CITY,2,CASES
1921,9,CRANSTON,RI,US,CITY,3,CASES
1921,11,CRANSTON,RI,US,CITY,2,CASES
1921,12,CRANSTON,RI,US,CITY,1,CASES
1921,13,CRANSTON,RI,US,CITY,3,CASES
1921,14,CRANSTON,RI,US,CITY,1,CASES
1921,15,CRANSTON,RI,US,CITY,1,CASES
1921,17,CRANSTON,RI,US,CITY,3,CASES
1921,18,CRANSTON,RI,US,CITY,2,CASES
1921,19,CRANSTON,RI,US,CITY,1,CASES
1921,20,CRANSTON,RI,US,CITY,1,CASES
1921,23,CRANSTON,RI,US,CITY,3,CASES
1921,24,CRANSTON,RI,US,CITY,1,CASES
1921,25,CRANSTON,RI,US,CITY,1,CASES
1921,39,CRANSTON,RI,US,CITY,1,CASES
1921,41,CRANSTON,RI,US,CITY,1,CASES
1921,47,CRANSTON,RI,US,CITY,1,CASES
1921,52,CRANSTON,RI,US,CITY,2,CASES
1922,4,CRANSTON,RI,US,CITY,1,CASES
1922,5,CRANSTON,RI,US,CITY,2,CASES
1922,12,CRANSTON,RI,US,CITY,1,CASES
1922,15,CRANSTON,RI,US,CITY,1,CASES
1922,18,CRANSTON,RI,US,CITY,1,CASES
1922,21,CRANSTON,RI,US,CITY,1,CASES
1922,28,CRANSTON,RI,US,CITY,1,CASES
1922,44,CRANSTON,RI,US,CITY,1,CASES
1922,45,CRANSTON,RI,US,CITY,1,CASES
1922,49,CRANSTON,RI,US,CITY,1,CASES
1922,51,CRANSTON,RI,US,CITY,1,CASES
1922,52,CRANSTON,RI,US,CITY,3,CASES
1923,3,CRANSTON,RI,US,CITY,1,CASES
1923,5,CRANSTON,RI,US,CITY,2,CASES
1923,6,CRANSTON,RI,US,CITY,1,CASES
1923,7,CRANSTON,RI,US,CITY,1,CASES
1923,9,CRANSTON,RI,US,CITY,3,CASES
1923,10,CRANSTON,RI,US,CITY,1,CASES
1923,11,CRANSTON,RI,US,CITY,1,CASES
1923,12,CRANSTON,RI,US,CITY,1,CASES
1923,14,CRANSTON,RI,US,CITY,1,CASES
1923,19,CRANSTON,RI,US,CITY,1,CASES
1923,20,CRANSTON,RI,US,CITY,5,CASES
1923,21,CRANSTON,RI,US,CITY,5,CASES
1923,23,CRANSTON,RI,US,CITY,2,CASES
1923,24,CRANSTON,RI,US,CITY,1,CASES
1923,25,CRANSTON,RI,US,CITY,1,CASES
1923,26,CRANSTON,RI,US,CITY,1,CASES
1923,43,CRANSTON,RI,US,CITY,1,CASES
1923,45,CRANSTON,RI,US,CITY,1,CASES
1923,46,CRANSTON,RI,US,CITY,1,CASES
1923,47,CRANSTON,RI,US,CITY,4,CASES
1923,48,CRANSTON,RI,US,CITY,9,CASES
1923,49,CRANSTON,RI,US,CITY,1,CASES
1923,50,CRANSTON,RI,US,CITY,6,CASES
1923,51,CRANSTON,RI,US,CITY,3,CASES
1923,52,CRANSTON,RI,US,CITY,2,CASES
