year,week,loc,state,country,loc_type,number,event
1920,1,CUMBERLAND,MD,US,CITY,1,CASES
1920,3,CUMBERLAND,MD,US,CITY,19,CASES
1920,4,CUMBERLAND,MD,US,CITY,112,CASES
1920,5,CUMBERLAND,MD,US,CITY,423,CASES
1920,6,CUMBERLAND,MD,US,CITY,403,CASES
1920,7,CUMBERLAND,MD,US,CITY,252,CASES
1920,8,CUMBERLAND,MD,US,CITY,135,CASES
1920,9,CUMBERLAND,MD,US,CITY,33,CASES
1920,10,CUMBERLAND,MD,US,CITY,24,CASES
1920,11,CUMBERLAND,MD,US,CITY,8,CASES
1920,12,CUMBERLAND,MD,US,CITY,6,CASES
1920,13,CUMBERLAND,MD,US,CITY,6,CASES
1920,14,CUMBERLAND,MD,US,CITY,5,CASES
1920,15,CUMBERLAND,MD,US,CITY,3,CASES
1920,17,CUMBERLAND,MD,US,CITY,4,CASES
1920,18,CUMBERLAND,MD,US,CITY,2,CASES
1920,19,CUMBERLAND,MD,US,CITY,1,CASES
1920,20,CUMBERLAND,MD,US,CITY,5,CASES
1920,21,CUMBERLAND,MD,US,CITY,1,CASES
1920,23,CUMBERLAND,MD,US,CITY,1,CASES
1920,29,CUMBERLAND,MD,US,CITY,2,CASES
1920,33,CUMBERLAND,MD,US,CITY,2,CASES
1920,37,CUMBERLAND,MD,US,CITY,3,CASES
1920,38,CUMBERLAND,MD,US,CITY,1,CASES
1920,39,CUMBERLAND,MD,US,CITY,2,CASES
1920,41,CUMBERLAND,MD,US,CITY,3,CASES
1920,42,CUMBERLAND,MD,US,CITY,4,CASES
1920,43,CUMBERLAND,MD,US,CITY,3,CASES
1920,44,CUMBERLAND,MD,US,CITY,3,CASES
1920,45,CUMBERLAND,MD,US,CITY,8,CASES
1920,47,CUMBERLAND,MD,US,CITY,1,CASES
1920,48,CUMBERLAND,MD,US,CITY,4,CASES
1920,49,CUMBERLAND,MD,US,CITY,2,CASES
1920,50,CUMBERLAND,MD,US,CITY,2,CASES
1920,52,CUMBERLAND,MD,US,CITY,3,CASES
1921,1,CUMBERLAND,MD,US,CITY,3,CASES
1921,2,CUMBERLAND,MD,US,CITY,2,CASES
1921,3,CUMBERLAND,MD,US,CITY,1,CASES
1921,4,CUMBERLAND,MD,US,CITY,2,CASES
1921,5,CUMBERLAND,MD,US,CITY,1,CASES
1921,6,CUMBERLAND,MD,US,CITY,1,CASES
1921,8,CUMBERLAND,MD,US,CITY,2,CASES
