year,week,loc,state,country,loc_type,number,event
1907,21,DANVILLE,IL,US,CITY,1,CASES
1907,24,DANVILLE,IL,US,CITY,8,CASES
1908,1,DANVILLE,IL,US,CITY,1,CASES
1908,2,DANVILLE,IL,US,CITY,1,CASES
1908,4,DANVILLE,IL,US,CITY,7,CASES
1908,5,DANVILLE,IL,US,CITY,7,CASES
1908,6,DANVILLE,IL,US,CITY,4,CASES
1908,7,DANVILLE,IL,US,CITY,10,CASES
1908,8,DANVILLE,IL,US,CITY,7,CASES
1908,9,DANVILLE,IL,US,CITY,12,CASES
1908,10,DANVILLE,IL,US,CITY,6,CASES
1908,11,DANVILLE,IL,US,CITY,7,CASES
1908,12,DANVILLE,IL,US,CITY,34,CASES
1908,13,DANVILLE,IL,US,CITY,40,CASES
1908,14,DANVILLE,IL,US,CITY,39,CASES
1908,15,DANVILLE,IL,US,CITY,31,CASES
1908,16,DANVILLE,IL,US,CITY,31,CASES
1908,17,DANVILLE,IL,US,CITY,10,CASES
1908,18,DANVILLE,IL,US,CITY,8,CASES
1908,19,DANVILLE,IL,US,CITY,5,CASES
1908,20,DANVILLE,IL,US,CITY,4,CASES
1908,21,DANVILLE,IL,US,CITY,2,CASES
1908,23,DANVILLE,IL,US,CITY,1,CASES
1908,25,DANVILLE,IL,US,CITY,1,CASES
1908,48,DANVILLE,IL,US,CITY,1,CASES
1908,52,DANVILLE,IL,US,CITY,1,CASES
1909,1,DANVILLE,IL,US,CITY,1,CASES
1909,2,DANVILLE,IL,US,CITY,1,CASES
1909,8,DANVILLE,IL,US,CITY,1,CASES
1909,9,DANVILLE,IL,US,CITY,1,CASES
1909,11,DANVILLE,IL,US,CITY,1,CASES
1909,12,DANVILLE,IL,US,CITY,2,CASES
1909,14,DANVILLE,IL,US,CITY,1,CASES
1909,19,DANVILLE,IL,US,CITY,2,CASES
1909,21,DANVILLE,IL,US,CITY,1,CASES
1909,22,DANVILLE,IL,US,CITY,1,CASES
1909,25,DANVILLE,IL,US,CITY,1,CASES
1909,28,DANVILLE,IL,US,CITY,1,CASES
1909,30,DANVILLE,IL,US,CITY,1,CASES
1909,39,DANVILLE,IL,US,CITY,2,CASES
1909,46,DANVILLE,IL,US,CITY,2,CASES
1909,48,DANVILLE,IL,US,CITY,1,CASES
1909,52,DANVILLE,IL,US,CITY,1,CASES
1910,1,DANVILLE,IL,US,CITY,1,CASES
1910,2,DANVILLE,IL,US,CITY,7,CASES
1910,3,DANVILLE,IL,US,CITY,4,CASES
1910,4,DANVILLE,IL,US,CITY,9,CASES
1910,5,DANVILLE,IL,US,CITY,7,CASES
1910,6,DANVILLE,IL,US,CITY,18,CASES
1910,7,DANVILLE,IL,US,CITY,30,CASES
1910,8,DANVILLE,IL,US,CITY,48,CASES
1910,9,DANVILLE,IL,US,CITY,48,CASES
1910,10,DANVILLE,IL,US,CITY,58,CASES
1910,11,DANVILLE,IL,US,CITY,46,CASES
1910,12,DANVILLE,IL,US,CITY,47,CASES
1910,13,DANVILLE,IL,US,CITY,41,CASES
1910,14,DANVILLE,IL,US,CITY,52,CASES
1910,15,DANVILLE,IL,US,CITY,34,CASES
1910,16,DANVILLE,IL,US,CITY,45,CASES
1910,17,DANVILLE,IL,US,CITY,20,CASES
1910,18,DANVILLE,IL,US,CITY,15,CASES
1910,19,DANVILLE,IL,US,CITY,16,CASES
1910,20,DANVILLE,IL,US,CITY,19,CASES
1910,21,DANVILLE,IL,US,CITY,5,CASES
1910,22,DANVILLE,IL,US,CITY,6,CASES
1910,23,DANVILLE,IL,US,CITY,5,CASES
1910,24,DANVILLE,IL,US,CITY,3,CASES
1910,25,DANVILLE,IL,US,CITY,2,CASES
1910,28,DANVILLE,IL,US,CITY,1,CASES
1911,7,DANVILLE,IL,US,CITY,1,CASES
1911,8,DANVILLE,IL,US,CITY,1,CASES
1911,11,DANVILLE,IL,US,CITY,1,CASES
1911,13,DANVILLE,IL,US,CITY,3,CASES
1911,15,DANVILLE,IL,US,CITY,2,CASES
1911,18,DANVILLE,IL,US,CITY,1,CASES
1911,19,DANVILLE,IL,US,CITY,4,CASES
1911,20,DANVILLE,IL,US,CITY,5,CASES
1911,21,DANVILLE,IL,US,CITY,1,CASES
1911,23,DANVILLE,IL,US,CITY,2,CASES
1911,24,DANVILLE,IL,US,CITY,2,CASES
1911,47,DANVILLE,IL,US,CITY,1,CASES
1911,48,DANVILLE,IL,US,CITY,1,CASES
1912,12,DANVILLE,IL,US,CITY,2,CASES
1912,14,DANVILLE,IL,US,CITY,1,CASES
1912,16,DANVILLE,IL,US,CITY,4,CASES
1912,17,DANVILLE,IL,US,CITY,1,CASES
1912,18,DANVILLE,IL,US,CITY,1,CASES
1912,19,DANVILLE,IL,US,CITY,2,CASES
1912,20,DANVILLE,IL,US,CITY,1,CASES
1912,23,DANVILLE,IL,US,CITY,1,CASES
1912,26,DANVILLE,IL,US,CITY,1,CASES
1912,28,DANVILLE,IL,US,CITY,2,CASES
1912,42,DANVILLE,IL,US,CITY,1,CASES
1912,48,DANVILLE,IL,US,CITY,3,CASES
1913,1,DANVILLE,IL,US,CITY,1,CASES
1913,3,DANVILLE,IL,US,CITY,1,CASES
1913,4,DANVILLE,IL,US,CITY,1,CASES
1913,5,DANVILLE,IL,US,CITY,1,CASES
1913,7,DANVILLE,IL,US,CITY,2,CASES
1913,8,DANVILLE,IL,US,CITY,5,CASES
1913,9,DANVILLE,IL,US,CITY,5,CASES
1913,10,DANVILLE,IL,US,CITY,17,CASES
1913,11,DANVILLE,IL,US,CITY,5,CASES
1913,12,DANVILLE,IL,US,CITY,11,CASES
1913,13,DANVILLE,IL,US,CITY,14,CASES
1913,14,DANVILLE,IL,US,CITY,13,CASES
1913,15,DANVILLE,IL,US,CITY,11,CASES
1913,16,DANVILLE,IL,US,CITY,8,CASES
1913,17,DANVILLE,IL,US,CITY,19,CASES
1913,18,DANVILLE,IL,US,CITY,19,CASES
1913,19,DANVILLE,IL,US,CITY,16,CASES
1913,20,DANVILLE,IL,US,CITY,30,CASES
1913,21,DANVILLE,IL,US,CITY,6,CASES
1913,22,DANVILLE,IL,US,CITY,30,CASES
1913,23,DANVILLE,IL,US,CITY,6,CASES
1913,24,DANVILLE,IL,US,CITY,16,CASES
1913,25,DANVILLE,IL,US,CITY,8,CASES
1913,26,DANVILLE,IL,US,CITY,12,CASES
1913,27,DANVILLE,IL,US,CITY,2,CASES
1913,28,DANVILLE,IL,US,CITY,2,CASES
1913,29,DANVILLE,IL,US,CITY,1,CASES
1913,31,DANVILLE,IL,US,CITY,1,CASES
1913,33,DANVILLE,IL,US,CITY,1,CASES
1913,43,DANVILLE,IL,US,CITY,1,CASES
1913,45,DANVILLE,IL,US,CITY,1,CASES
1913,48,DANVILLE,IL,US,CITY,2,CASES
1913,49,DANVILLE,IL,US,CITY,4,CASES
1913,50,DANVILLE,IL,US,CITY,1,CASES
1913,51,DANVILLE,IL,US,CITY,1,CASES
1913,52,DANVILLE,IL,US,CITY,1,CASES
