year,week,loc,state,country,loc_type,number,event
1915,10,DANVILLE,IL,US,CITY,3,CASES
1915,43,DANVILLE,IL,US,CITY,1,CASES
1915,50,DANVILLE,IL,US,CITY,3,CASES
1916,4,DANVILLE,IL,US,CITY,1,CASES
1916,7,DANVILLE,IL,US,CITY,1,CASES
1918,17,DANVILLE,IL,US,CITY,5,CASES
1918,35,DANVILLE,IL,US,CITY,1,CASES
1918,36,DANVILLE,IL,US,CITY,1,CASES
1918,41,DANVILLE,IL,US,CITY,6,CASES
1919,7,DANVILLE,IL,US,CITY,5,CASES
1919,10,DANVILLE,IL,US,CITY,8,CASES
1919,45,DANVILLE,IL,US,CITY,3,CASES
1919,46,DANVILLE,IL,US,CITY,3,CASES
1920,4,DANVILLE,IL,US,CITY,20,CASES
1920,8,DANVILLE,IL,US,CITY,5,CASES
1920,39,DANVILLE,IL,US,CITY,1,CASES
1920,40,DANVILLE,IL,US,CITY,2,CASES
1920,44,DANVILLE,IL,US,CITY,1,CASES
1920,47,DANVILLE,IL,US,CITY,3,CASES
1920,49,DANVILLE,IL,US,CITY,2,CASES
1920,50,DANVILLE,IL,US,CITY,2,CASES
1920,52,DANVILLE,IL,US,CITY,2,CASES
1921,1,DANVILLE,IL,US,CITY,2,CASES
1921,2,DANVILLE,IL,US,CITY,1,CASES
1921,3,DANVILLE,IL,US,CITY,2,CASES
1921,4,DANVILLE,IL,US,CITY,2,CASES
1921,5,DANVILLE,IL,US,CITY,2,CASES
1921,6,DANVILLE,IL,US,CITY,2,CASES
1921,7,DANVILLE,IL,US,CITY,2,CASES
1921,9,DANVILLE,IL,US,CITY,1,CASES
1921,11,DANVILLE,IL,US,CITY,1,CASES
1921,12,DANVILLE,IL,US,CITY,2,CASES
1921,13,DANVILLE,IL,US,CITY,1,CASES
1921,15,DANVILLE,IL,US,CITY,1,CASES
1921,17,DANVILLE,IL,US,CITY,3,CASES
1921,23,DANVILLE,IL,US,CITY,1,CASES
1921,32,DANVILLE,IL,US,CITY,2,CASES
1921,33,DANVILLE,IL,US,CITY,1,CASES
1921,34,DANVILLE,IL,US,CITY,1,CASES
1921,36,DANVILLE,IL,US,CITY,1,CASES
1921,42,DANVILLE,IL,US,CITY,2,CASES
1921,43,DANVILLE,IL,US,CITY,2,CASES
1921,44,DANVILLE,IL,US,CITY,2,CASES
1921,45,DANVILLE,IL,US,CITY,1,CASES
1921,52,DANVILLE,IL,US,CITY,3,CASES
1922,1,DANVILLE,IL,US,CITY,2,CASES
1922,9,DANVILLE,IL,US,CITY,3,CASES
1922,10,DANVILLE,IL,US,CITY,6,CASES
1922,12,DANVILLE,IL,US,CITY,5,CASES
1922,16,DANVILLE,IL,US,CITY,5,CASES
1922,22,DANVILLE,IL,US,CITY,4,CASES
1922,23,DANVILLE,IL,US,CITY,4,CASES
1922,25,DANVILLE,IL,US,CITY,2,CASES
1922,26,DANVILLE,IL,US,CITY,1,CASES
1922,27,DANVILLE,IL,US,CITY,2,CASES
1922,31,DANVILLE,IL,US,CITY,1,CASES
1922,34,DANVILLE,IL,US,CITY,1,CASES
1922,37,DANVILLE,IL,US,CITY,1,CASES
1923,9,DANVILLE,IL,US,CITY,10,CASES
1923,16,DANVILLE,IL,US,CITY,3,CASES
1923,17,DANVILLE,IL,US,CITY,4,CASES
1923,19,DANVILLE,IL,US,CITY,2,CASES
