year,week,loc,state,country,loc_type,number,event
1919,26,DANVILLE,VA,US,CITY,3,CASES
1919,27,DANVILLE,VA,US,CITY,2,CASES
1919,30,DANVILLE,VA,US,CITY,2,CASES
1919,32,DANVILLE,VA,US,CITY,1,CASES
1919,33,DANVILLE,VA,US,CITY,1,CASES
1919,39,DANVILLE,VA,US,CITY,2,CASES
1920,1,DANVILLE,VA,US,CITY,1,CASES
1920,11,DANVILLE,VA,US,CITY,1,CASES
1920,12,DANVILLE,VA,US,CITY,2,CASES
1920,13,DANVILLE,VA,US,CITY,1,CASES
1920,17,DANVILLE,VA,US,CITY,2,CASES
1920,20,DANVILLE,VA,US,CITY,1,CASES
1920,22,DANVILLE,VA,US,CITY,1,CASES
1920,38,DANVILLE,VA,US,CITY,1,CASES
1920,40,DANVILLE,VA,US,CITY,2,CASES
1920,41,DANVILLE,VA,US,CITY,1,CASES
1920,42,DANVILLE,VA,US,CITY,1,CASES
1920,43,DANVILLE,VA,US,CITY,1,CASES
1920,44,DANVILLE,VA,US,CITY,2,CASES
1920,48,DANVILLE,VA,US,CITY,2,CASES
1921,6,DANVILLE,VA,US,CITY,1,CASES
1921,12,DANVILLE,VA,US,CITY,1,CASES
1921,21,DANVILLE,VA,US,CITY,1,CASES
1921,23,DANVILLE,VA,US,CITY,1,CASES
1921,29,DANVILLE,VA,US,CITY,1,CASES
1921,30,DANVILLE,VA,US,CITY,1,CASES
1921,31,DANVILLE,VA,US,CITY,1,CASES
1921,38,DANVILLE,VA,US,CITY,1,CASES
1921,39,DANVILLE,VA,US,CITY,1,CASES
1921,40,DANVILLE,VA,US,CITY,1,CASES
1921,41,DANVILLE,VA,US,CITY,1,CASES
1921,42,DANVILLE,VA,US,CITY,3,CASES
1921,43,DANVILLE,VA,US,CITY,2,CASES
1921,46,DANVILLE,VA,US,CITY,2,CASES
1921,47,DANVILLE,VA,US,CITY,3,CASES
1921,49,DANVILLE,VA,US,CITY,1,CASES
1922,1,DANVILLE,VA,US,CITY,2,CASES
1922,2,DANVILLE,VA,US,CITY,1,CASES
1922,13,DANVILLE,VA,US,CITY,1,CASES
1922,27,DANVILLE,VA,US,CITY,1,CASES
1922,35,DANVILLE,VA,US,CITY,1,CASES
1922,44,DANVILLE,VA,US,CITY,4,CASES
1922,48,DANVILLE,VA,US,CITY,1,CASES
1923,5,DANVILLE,VA,US,CITY,2,CASES
1923,12,DANVILLE,VA,US,CITY,1,CASES
1923,16,DANVILLE,VA,US,CITY,2,CASES
1923,37,DANVILLE,VA,US,CITY,3,CASES
1923,38,DANVILLE,VA,US,CITY,1,CASES
1923,44,DANVILLE,VA,US,CITY,3,CASES
1923,45,DANVILLE,VA,US,CITY,1,CASES
1923,51,DANVILLE,VA,US,CITY,1,CASES
