year,week,loc,state,country,loc_type,number,event
1924,4,DAVENPORT,IA,US,CITY,0,CASES
1924,5,DAVENPORT,IA,US,CITY,1,CASES
1924,6,DAVENPORT,IA,US,CITY,1,CASES
1924,22,DAVENPORT,IA,US,CITY,0,CASES
1924,38,DAVENPORT,IA,US,CITY,0,CASES
1924,39,DAVENPORT,IA,US,CITY,0,CASES
1924,41,DAVENPORT,IA,US,CITY,2,CASES
1924,42,DAVENPORT,IA,US,CITY,0,CASES
1924,43,DAVENPORT,IA,US,CITY,3,CASES
1924,44,DAVENPORT,IA,US,CITY,4,CASES
1924,45,DAVENPORT,IA,US,CITY,5,CASES
1924,47,DAVENPORT,IA,US,CITY,7,CASES
1924,48,DAVENPORT,IA,US,CITY,9,CASES
1924,49,DAVENPORT,IA,US,CITY,5,CASES
1924,50,DAVENPORT,IA,US,CITY,4,CASES
1924,51,DAVENPORT,IA,US,CITY,4,CASES
1924,52,DAVENPORT,IA,US,CITY,3,CASES
1924,53,DAVENPORT,IA,US,CITY,0,CASES
1925,1,DAVENPORT,IA,US,CITY,4,CASES
1925,2,DAVENPORT,IA,US,CITY,1,CASES
1925,3,DAVENPORT,IA,US,CITY,1,CASES
1925,4,DAVENPORT,IA,US,CITY,5,CASES
1925,5,DAVENPORT,IA,US,CITY,2,CASES
1925,6,DAVENPORT,IA,US,CITY,2,CASES
1925,7,DAVENPORT,IA,US,CITY,1,CASES
1925,8,DAVENPORT,IA,US,CITY,0,CASES
1925,9,DAVENPORT,IA,US,CITY,0,CASES
1925,10,DAVENPORT,IA,US,CITY,0,CASES
1925,11,DAVENPORT,IA,US,CITY,0,CASES
1925,12,DAVENPORT,IA,US,CITY,2,CASES
1925,13,DAVENPORT,IA,US,CITY,0,CASES
1925,14,DAVENPORT,IA,US,CITY,2,CASES
1925,15,DAVENPORT,IA,US,CITY,0,CASES
1925,16,DAVENPORT,IA,US,CITY,1,CASES
1925,17,DAVENPORT,IA,US,CITY,0,CASES
1925,18,DAVENPORT,IA,US,CITY,0,CASES
1925,19,DAVENPORT,IA,US,CITY,0,CASES
1925,21,DAVENPORT,IA,US,CITY,0,CASES
1925,22,DAVENPORT,IA,US,CITY,0,CASES
1925,23,DAVENPORT,IA,US,CITY,0,CASES
1925,24,DAVENPORT,IA,US,CITY,0,CASES
1925,25,DAVENPORT,IA,US,CITY,0,CASES
1925,26,DAVENPORT,IA,US,CITY,0,CASES
1925,28,DAVENPORT,IA,US,CITY,0,CASES
1925,29,DAVENPORT,IA,US,CITY,1,CASES
1925,30,DAVENPORT,IA,US,CITY,0,CASES
1925,31,DAVENPORT,IA,US,CITY,0,CASES
1925,32,DAVENPORT,IA,US,CITY,1,CASES
1925,33,DAVENPORT,IA,US,CITY,0,CASES
1925,34,DAVENPORT,IA,US,CITY,0,CASES
1925,35,DAVENPORT,IA,US,CITY,0,CASES
1925,36,DAVENPORT,IA,US,CITY,0,CASES
1925,37,DAVENPORT,IA,US,CITY,0,CASES
1925,38,DAVENPORT,IA,US,CITY,0,CASES
1925,39,DAVENPORT,IA,US,CITY,0,CASES
1925,40,DAVENPORT,IA,US,CITY,1,CASES
1925,41,DAVENPORT,IA,US,CITY,0,CASES
1925,42,DAVENPORT,IA,US,CITY,0,CASES
1925,43,DAVENPORT,IA,US,CITY,0,CASES
1925,44,DAVENPORT,IA,US,CITY,2,CASES
1925,45,DAVENPORT,IA,US,CITY,3,CASES
1925,46,DAVENPORT,IA,US,CITY,6,CASES
1925,47,DAVENPORT,IA,US,CITY,1,CASES
1925,48,DAVENPORT,IA,US,CITY,7,CASES
1925,49,DAVENPORT,IA,US,CITY,16,CASES
1925,50,DAVENPORT,IA,US,CITY,4,CASES
1925,51,DAVENPORT,IA,US,CITY,2,CASES
1925,52,DAVENPORT,IA,US,CITY,6,CASES
1926,1,DAVENPORT,IA,US,CITY,7,CASES
1926,2,DAVENPORT,IA,US,CITY,1,CASES
1926,3,DAVENPORT,IA,US,CITY,5,CASES
1926,4,DAVENPORT,IA,US,CITY,1,CASES
1926,5,DAVENPORT,IA,US,CITY,2,CASES
1926,6,DAVENPORT,IA,US,CITY,1,CASES
1926,7,DAVENPORT,IA,US,CITY,1,CASES
1926,8,DAVENPORT,IA,US,CITY,5,CASES
1926,9,DAVENPORT,IA,US,CITY,3,CASES
1926,10,DAVENPORT,IA,US,CITY,2,CASES
1926,11,DAVENPORT,IA,US,CITY,5,CASES
1926,12,DAVENPORT,IA,US,CITY,4,CASES
1926,13,DAVENPORT,IA,US,CITY,1,CASES
1926,14,DAVENPORT,IA,US,CITY,4,CASES
1926,15,DAVENPORT,IA,US,CITY,0,CASES
1926,16,DAVENPORT,IA,US,CITY,6,CASES
1926,17,DAVENPORT,IA,US,CITY,1,CASES
1926,18,DAVENPORT,IA,US,CITY,1,CASES
1926,19,DAVENPORT,IA,US,CITY,4,CASES
1926,20,DAVENPORT,IA,US,CITY,2,CASES
1926,21,DAVENPORT,IA,US,CITY,5,CASES
1926,22,DAVENPORT,IA,US,CITY,0,CASES
1926,23,DAVENPORT,IA,US,CITY,1,CASES
1926,24,DAVENPORT,IA,US,CITY,0,CASES
1926,25,DAVENPORT,IA,US,CITY,6,CASES
1926,26,DAVENPORT,IA,US,CITY,0,CASES
1926,27,DAVENPORT,IA,US,CITY,1,CASES
1926,28,DAVENPORT,IA,US,CITY,0,CASES
1926,29,DAVENPORT,IA,US,CITY,0,CASES
1926,30,DAVENPORT,IA,US,CITY,0,CASES
1926,32,DAVENPORT,IA,US,CITY,0,CASES
1926,33,DAVENPORT,IA,US,CITY,0,CASES
1926,34,DAVENPORT,IA,US,CITY,0,CASES
1926,35,DAVENPORT,IA,US,CITY,0,CASES
1926,36,DAVENPORT,IA,US,CITY,0,CASES
1926,37,DAVENPORT,IA,US,CITY,0,CASES
1926,38,DAVENPORT,IA,US,CITY,0,CASES
1926,39,DAVENPORT,IA,US,CITY,0,CASES
1926,40,DAVENPORT,IA,US,CITY,0,CASES
1926,41,DAVENPORT,IA,US,CITY,1,CASES
1926,42,DAVENPORT,IA,US,CITY,0,CASES
1926,43,DAVENPORT,IA,US,CITY,0,CASES
1926,44,DAVENPORT,IA,US,CITY,0,CASES
1926,45,DAVENPORT,IA,US,CITY,0,CASES
1926,46,DAVENPORT,IA,US,CITY,0,CASES
1926,47,DAVENPORT,IA,US,CITY,1,CASES
1926,48,DAVENPORT,IA,US,CITY,0,CASES
1926,49,DAVENPORT,IA,US,CITY,2,CASES
1926,50,DAVENPORT,IA,US,CITY,2,CASES
1926,52,DAVENPORT,IA,US,CITY,3,CASES
1927,1,DAVENPORT,IA,US,CITY,3,CASES
1927,2,DAVENPORT,IA,US,CITY,0,CASES
1927,3,DAVENPORT,IA,US,CITY,1,CASES
1927,4,DAVENPORT,IA,US,CITY,3,CASES
1927,6,DAVENPORT,IA,US,CITY,1,CASES
1927,7,DAVENPORT,IA,US,CITY,2,CASES
1927,8,DAVENPORT,IA,US,CITY,0,CASES
1927,9,DAVENPORT,IA,US,CITY,0,CASES
1927,10,DAVENPORT,IA,US,CITY,0,CASES
1927,11,DAVENPORT,IA,US,CITY,1,CASES
1927,12,DAVENPORT,IA,US,CITY,0,CASES
1927,13,DAVENPORT,IA,US,CITY,0,CASES
1927,14,DAVENPORT,IA,US,CITY,0,CASES
1927,15,DAVENPORT,IA,US,CITY,1,CASES
1927,16,DAVENPORT,IA,US,CITY,0,CASES
1927,17,DAVENPORT,IA,US,CITY,0,CASES
1927,18,DAVENPORT,IA,US,CITY,0,CASES
1927,19,DAVENPORT,IA,US,CITY,0,CASES
1927,20,DAVENPORT,IA,US,CITY,0,CASES
1927,21,DAVENPORT,IA,US,CITY,1,CASES
1927,22,DAVENPORT,IA,US,CITY,1,CASES
1927,23,DAVENPORT,IA,US,CITY,3,CASES
1927,24,DAVENPORT,IA,US,CITY,0,CASES
1927,26,DAVENPORT,IA,US,CITY,0,CASES
1927,27,DAVENPORT,IA,US,CITY,0,CASES
1927,28,DAVENPORT,IA,US,CITY,0,CASES
1927,31,DAVENPORT,IA,US,CITY,0,CASES
1927,32,DAVENPORT,IA,US,CITY,0,CASES
1927,33,DAVENPORT,IA,US,CITY,0,CASES
1927,34,DAVENPORT,IA,US,CITY,0,CASES
