year,week,loc,state,country,loc_type,number,event
1952,1,DENVER,CO,US,CITY,1,CASES
1952,9,DENVER,CO,US,CITY,2,CASES
1952,19,DENVER,CO,US,CITY,1,CASES
1952,20,DENVER,CO,US,CITY,2,CASES
1952,25,DENVER,CO,US,CITY,2,CASES
1952,32,DENVER,CO,US,CITY,1,CASES
1952,42,DENVER,CO,US,CITY,2,CASES
1952,44,DENVER,CO,US,CITY,1,CASES
1952,45,DENVER,CO,US,CITY,3,CASES
1952,46,DENVER,CO,US,CITY,2,CASES
1952,47,DENVER,CO,US,CITY,1,CASES
1952,48,DENVER,CO,US,CITY,5,CASES
1952,49,DENVER,CO,US,CITY,3,CASES
1952,51,DENVER,CO,US,CITY,1,CASES
1952,52,DENVER,CO,US,CITY,2,CASES
1953,47,DENVER,CO,US,CITY,3,CASES
