year,week,loc,state,country,loc_type,number,event
1924,2,DENVER,CO,US,CITY,2,CASES
1924,3,DENVER,CO,US,CITY,1,CASES
1924,4,DENVER,CO,US,CITY,2,CASES
1924,5,DENVER,CO,US,CITY,2,CASES
1924,6,DENVER,CO,US,CITY,3,CASES
1924,7,DENVER,CO,US,CITY,9,CASES
1924,8,DENVER,CO,US,CITY,4,CASES
1924,9,DENVER,CO,US,CITY,3,CASES
1924,10,DENVER,CO,US,CITY,5,CASES
1924,11,DENVER,CO,US,CITY,2,CASES
1924,12,DENVER,CO,US,CITY,4,CASES
1924,13,DENVER,CO,US,CITY,3,CASES
1924,14,DENVER,CO,US,CITY,6,CASES
1924,15,DENVER,CO,US,CITY,10,CASES
1924,16,DENVER,CO,US,CITY,0,CASES
1924,17,DENVER,CO,US,CITY,6,CASES
1924,18,DENVER,CO,US,CITY,19,CASES
1924,20,DENVER,CO,US,CITY,10,CASES
1924,21,DENVER,CO,US,CITY,9,CASES
1924,22,DENVER,CO,US,CITY,0,CASES
1924,23,DENVER,CO,US,CITY,8,CASES
1924,24,DENVER,CO,US,CITY,0,CASES
1924,25,DENVER,CO,US,CITY,6,CASES
1924,26,DENVER,CO,US,CITY,7,CASES
1924,27,DENVER,CO,US,CITY,2,CASES
1924,28,DENVER,CO,US,CITY,3,CASES
1924,29,DENVER,CO,US,CITY,5,CASES
1924,30,DENVER,CO,US,CITY,0,CASES
1924,32,DENVER,CO,US,CITY,1,CASES
1924,33,DENVER,CO,US,CITY,1,CASES
1924,34,DENVER,CO,US,CITY,1,CASES
1924,35,DENVER,CO,US,CITY,1,CASES
1924,36,DENVER,CO,US,CITY,0,CASES
1924,37,DENVER,CO,US,CITY,4,CASES
1924,38,DENVER,CO,US,CITY,1,CASES
1924,39,DENVER,CO,US,CITY,0,CASES
1924,40,DENVER,CO,US,CITY,1,CASES
1924,41,DENVER,CO,US,CITY,1,CASES
1924,42,DENVER,CO,US,CITY,7,CASES
1924,43,DENVER,CO,US,CITY,1,CASES
1924,44,DENVER,CO,US,CITY,12,CASES
1924,45,DENVER,CO,US,CITY,21,CASES
1924,46,DENVER,CO,US,CITY,14,CASES
1924,47,DENVER,CO,US,CITY,22,CASES
1924,48,DENVER,CO,US,CITY,19,CASES
1924,49,DENVER,CO,US,CITY,33,CASES
1924,50,DENVER,CO,US,CITY,42,CASES
1924,51,DENVER,CO,US,CITY,25,CASES
1924,52,DENVER,CO,US,CITY,33,CASES
1924,53,DENVER,CO,US,CITY,45,CASES
1925,1,DENVER,CO,US,CITY,60,CASES
1925,2,DENVER,CO,US,CITY,60,CASES
1925,3,DENVER,CO,US,CITY,49,CASES
1925,4,DENVER,CO,US,CITY,85,CASES
1925,5,DENVER,CO,US,CITY,97,CASES
1925,6,DENVER,CO,US,CITY,76,CASES
1925,7,DENVER,CO,US,CITY,102,CASES
1925,8,DENVER,CO,US,CITY,90,CASES
1925,9,DENVER,CO,US,CITY,117,CASES
1925,10,DENVER,CO,US,CITY,110,CASES
1925,11,DENVER,CO,US,CITY,105,CASES
1925,13,DENVER,CO,US,CITY,72,CASES
1925,14,DENVER,CO,US,CITY,64,CASES
1925,15,DENVER,CO,US,CITY,72,CASES
1925,16,DENVER,CO,US,CITY,78,CASES
1925,17,DENVER,CO,US,CITY,61,CASES
1925,18,DENVER,CO,US,CITY,67,CASES
1925,19,DENVER,CO,US,CITY,41,CASES
1925,20,DENVER,CO,US,CITY,38,CASES
1925,21,DENVER,CO,US,CITY,0,CASES
1925,22,DENVER,CO,US,CITY,18,CASES
1925,23,DENVER,CO,US,CITY,19,CASES
1925,24,DENVER,CO,US,CITY,15,CASES
1925,25,DENVER,CO,US,CITY,9,CASES
1925,26,DENVER,CO,US,CITY,7,CASES
1925,27,DENVER,CO,US,CITY,16,CASES
1925,28,DENVER,CO,US,CITY,5,CASES
1925,29,DENVER,CO,US,CITY,9,CASES
1925,30,DENVER,CO,US,CITY,6,CASES
1925,31,DENVER,CO,US,CITY,3,CASES
1925,32,DENVER,CO,US,CITY,1,CASES
1925,33,DENVER,CO,US,CITY,0,CASES
1925,34,DENVER,CO,US,CITY,0,CASES
1925,35,DENVER,CO,US,CITY,1,CASES
1925,36,DENVER,CO,US,CITY,0,CASES
1925,37,DENVER,CO,US,CITY,1,CASES
1925,38,DENVER,CO,US,CITY,2,CASES
1925,39,DENVER,CO,US,CITY,1,CASES
1925,40,DENVER,CO,US,CITY,2,CASES
1925,41,DENVER,CO,US,CITY,2,CASES
1925,42,DENVER,CO,US,CITY,1,CASES
1925,43,DENVER,CO,US,CITY,0,CASES
1925,44,DENVER,CO,US,CITY,4,CASES
1925,46,DENVER,CO,US,CITY,0,CASES
1925,47,DENVER,CO,US,CITY,0,CASES
1925,49,DENVER,CO,US,CITY,1,CASES
1925,50,DENVER,CO,US,CITY,0,CASES
1925,51,DENVER,CO,US,CITY,1,CASES
1925,52,DENVER,CO,US,CITY,2,CASES
1926,1,DENVER,CO,US,CITY,1,CASES
1926,2,DENVER,CO,US,CITY,1,CASES
1926,3,DENVER,CO,US,CITY,0,CASES
1926,4,DENVER,CO,US,CITY,5,CASES
1926,5,DENVER,CO,US,CITY,1,CASES
1926,6,DENVER,CO,US,CITY,2,CASES
1926,7,DENVER,CO,US,CITY,1,CASES
1926,9,DENVER,CO,US,CITY,2,CASES
1926,10,DENVER,CO,US,CITY,1,CASES
1926,11,DENVER,CO,US,CITY,1,CASES
1926,12,DENVER,CO,US,CITY,0,CASES
1926,13,DENVER,CO,US,CITY,2,CASES
1926,14,DENVER,CO,US,CITY,0,CASES
1926,15,DENVER,CO,US,CITY,0,CASES
1926,16,DENVER,CO,US,CITY,0,CASES
1926,17,DENVER,CO,US,CITY,1,CASES
1926,18,DENVER,CO,US,CITY,2,CASES
1926,19,DENVER,CO,US,CITY,1,CASES
1926,20,DENVER,CO,US,CITY,1,CASES
1926,21,DENVER,CO,US,CITY,3,CASES
1926,22,DENVER,CO,US,CITY,1,CASES
1926,23,DENVER,CO,US,CITY,0,CASES
1926,24,DENVER,CO,US,CITY,2,CASES
1926,25,DENVER,CO,US,CITY,1,CASES
1926,26,DENVER,CO,US,CITY,0,CASES
1926,27,DENVER,CO,US,CITY,1,CASES
1926,28,DENVER,CO,US,CITY,1,CASES
1926,29,DENVER,CO,US,CITY,0,CASES
1926,30,DENVER,CO,US,CITY,0,CASES
1926,31,DENVER,CO,US,CITY,0,CASES
1926,32,DENVER,CO,US,CITY,0,CASES
1926,33,DENVER,CO,US,CITY,1,CASES
1926,34,DENVER,CO,US,CITY,0,CASES
1926,35,DENVER,CO,US,CITY,1,CASES
1926,36,DENVER,CO,US,CITY,0,CASES
1926,37,DENVER,CO,US,CITY,0,CASES
1926,38,DENVER,CO,US,CITY,0,CASES
1926,39,DENVER,CO,US,CITY,0,CASES
1926,40,DENVER,CO,US,CITY,1,CASES
1926,41,DENVER,CO,US,CITY,0,CASES
1926,42,DENVER,CO,US,CITY,1,CASES
1926,43,DENVER,CO,US,CITY,1,CASES
1926,44,DENVER,CO,US,CITY,0,CASES
1926,45,DENVER,CO,US,CITY,2,CASES
1926,46,DENVER,CO,US,CITY,4,CASES
1926,47,DENVER,CO,US,CITY,0,CASES
1926,48,DENVER,CO,US,CITY,1,CASES
1926,49,DENVER,CO,US,CITY,0,CASES
1926,50,DENVER,CO,US,CITY,0,CASES
1926,51,DENVER,CO,US,CITY,0,CASES
1926,52,DENVER,CO,US,CITY,0,CASES
1927,1,DENVER,CO,US,CITY,0,CASES
1927,2,DENVER,CO,US,CITY,0,CASES
1927,3,DENVER,CO,US,CITY,2,CASES
1927,4,DENVER,CO,US,CITY,0,CASES
1927,5,DENVER,CO,US,CITY,2,CASES
1927,6,DENVER,CO,US,CITY,0,CASES
1927,7,DENVER,CO,US,CITY,1,CASES
1927,8,DENVER,CO,US,CITY,1,CASES
1927,9,DENVER,CO,US,CITY,1,CASES
1927,11,DENVER,CO,US,CITY,0,CASES
1927,12,DENVER,CO,US,CITY,2,CASES
1927,13,DENVER,CO,US,CITY,6,CASES
1927,14,DENVER,CO,US,CITY,2,CASES
1927,15,DENVER,CO,US,CITY,2,CASES
1927,16,DENVER,CO,US,CITY,2,CASES
1927,17,DENVER,CO,US,CITY,4,CASES
1927,18,DENVER,CO,US,CITY,4,CASES
1927,19,DENVER,CO,US,CITY,4,CASES
1927,20,DENVER,CO,US,CITY,6,CASES
1927,21,DENVER,CO,US,CITY,0,CASES
1927,22,DENVER,CO,US,CITY,2,CASES
1927,23,DENVER,CO,US,CITY,1,CASES
1927,24,DENVER,CO,US,CITY,3,CASES
1927,25,DENVER,CO,US,CITY,0,CASES
1927,26,DENVER,CO,US,CITY,2,CASES
1927,27,DENVER,CO,US,CITY,4,CASES
1927,29,DENVER,CO,US,CITY,6,CASES
1927,30,DENVER,CO,US,CITY,3,CASES
1927,31,DENVER,CO,US,CITY,2,CASES
1927,32,DENVER,CO,US,CITY,2,CASES
1927,33,DENVER,CO,US,CITY,1,CASES
1927,34,DENVER,CO,US,CITY,4,CASES
1927,35,DENVER,CO,US,CITY,1,CASES
1927,36,DENVER,CO,US,CITY,2,CASES
1927,37,DENVER,CO,US,CITY,1,CASES
1927,38,DENVER,CO,US,CITY,0,CASES
1927,40,DENVER,CO,US,CITY,1,CASES
1927,41,DENVER,CO,US,CITY,4,CASES
1927,42,DENVER,CO,US,CITY,4,CASES
1927,43,DENVER,CO,US,CITY,5,CASES
1927,44,DENVER,CO,US,CITY,7,CASES
1927,45,DENVER,CO,US,CITY,7,CASES
1927,46,DENVER,CO,US,CITY,13,CASES
1927,47,DENVER,CO,US,CITY,12,CASES
1927,48,DENVER,CO,US,CITY,17,CASES
1927,49,DENVER,CO,US,CITY,10,CASES
1927,50,DENVER,CO,US,CITY,19,CASES
1927,51,DENVER,CO,US,CITY,17,CASES
1928,1,DENVER,CO,US,CITY,27,CASES
1928,2,DENVER,CO,US,CITY,56,CASES
1928,3,DENVER,CO,US,CITY,28,CASES
1928,4,DENVER,CO,US,CITY,77,CASES
1928,5,DENVER,CO,US,CITY,69,CASES
1928,6,DENVER,CO,US,CITY,95,CASES
1928,7,DENVER,CO,US,CITY,64,CASES
1928,8,DENVER,CO,US,CITY,85,CASES
1928,9,DENVER,CO,US,CITY,81,CASES
1928,10,DENVER,CO,US,CITY,105,CASES
1928,11,DENVER,CO,US,CITY,100,CASES
1928,12,DENVER,CO,US,CITY,137,CASES
1928,13,DENVER,CO,US,CITY,139,CASES
1928,14,DENVER,CO,US,CITY,166,CASES
1928,15,DENVER,CO,US,CITY,77,CASES
1928,16,DENVER,CO,US,CITY,121,CASES
1928,17,DENVER,CO,US,CITY,139,CASES
1928,18,DENVER,CO,US,CITY,72,CASES
1928,19,DENVER,CO,US,CITY,119,CASES
1928,20,DENVER,CO,US,CITY,46,CASES
1928,21,DENVER,CO,US,CITY,67,CASES
1928,22,DENVER,CO,US,CITY,45,CASES
1928,23,DENVER,CO,US,CITY,74,CASES
1928,24,DENVER,CO,US,CITY,55,CASES
1928,25,DENVER,CO,US,CITY,31,CASES
1928,26,DENVER,CO,US,CITY,39,CASES
1928,23,DENVER,CO,US,CITY,26,CASES
1928,28,DENVER,CO,US,CITY,24,CASES
1928,29,DENVER,CO,US,CITY,11,CASES
1928,30,DENVER,CO,US,CITY,10,CASES
1928,31,DENVER,CO,US,CITY,10,CASES
1928,32,DENVER,CO,US,CITY,8,CASES
1928,33,DENVER,CO,US,CITY,8,CASES
1928,34,DENVER,CO,US,CITY,4,CASES
1928,36,DENVER,CO,US,CITY,10,CASES
1928,37,DENVER,CO,US,CITY,1,CASES
1928,38,DENVER,CO,US,CITY,5,CASES
1928,40,DENVER,CO,US,CITY,6,CASES
1928,41,DENVER,CO,US,CITY,5,CASES
1928,42,DENVER,CO,US,CITY,7,CASES
1928,43,DENVER,CO,US,CITY,18,CASES
1928,44,DENVER,CO,US,CITY,17,CASES
1928,45,DENVER,CO,US,CITY,19,CASES
1928,46,DENVER,CO,US,CITY,23,CASES
1928,47,DENVER,CO,US,CITY,20,CASES
1928,49,DENVER,CO,US,CITY,11,CASES
1928,51,DENVER,CO,US,CITY,6,CASES
1928,52,DENVER,CO,US,CITY,8,CASES
1929,1,DENVER,CO,US,CITY,21,CASES
1929,2,DENVER,CO,US,CITY,6,CASES
1929,3,DENVER,CO,US,CITY,22,CASES
1929,4,DENVER,CO,US,CITY,14,CASES
1929,5,DENVER,CO,US,CITY,17,CASES
1929,7,DENVER,CO,US,CITY,19,CASES
1929,8,DENVER,CO,US,CITY,16,CASES
1929,9,DENVER,CO,US,CITY,20,CASES
1929,10,DENVER,CO,US,CITY,26,CASES
1929,11,DENVER,CO,US,CITY,30,CASES
1929,12,DENVER,CO,US,CITY,30,CASES
1929,13,DENVER,CO,US,CITY,21,CASES
1929,14,DENVER,CO,US,CITY,45,CASES
1929,15,DENVER,CO,US,CITY,38,CASES
1929,16,DENVER,CO,US,CITY,26,CASES
1929,17,DENVER,CO,US,CITY,43,CASES
1929,19,DENVER,CO,US,CITY,27,CASES
1929,20,DENVER,CO,US,CITY,32,CASES
1929,21,DENVER,CO,US,CITY,26,CASES
1929,22,DENVER,CO,US,CITY,24,CASES
1929,23,DENVER,CO,US,CITY,19,CASES
1929,24,DENVER,CO,US,CITY,10,CASES
1929,25,DENVER,CO,US,CITY,11,CASES
1929,26,DENVER,CO,US,CITY,9,CASES
1929,27,DENVER,CO,US,CITY,5,CASES
1929,28,DENVER,CO,US,CITY,4,CASES
1929,29,DENVER,CO,US,CITY,13,CASES
1929,30,DENVER,CO,US,CITY,3,CASES
1929,31,DENVER,CO,US,CITY,12,CASES
1929,32,DENVER,CO,US,CITY,1,CASES
1929,33,DENVER,CO,US,CITY,2,CASES
1929,34,DENVER,CO,US,CITY,2,CASES
1929,35,DENVER,CO,US,CITY,2,CASES
1929,36,DENVER,CO,US,CITY,1,CASES
1929,37,DENVER,CO,US,CITY,1,CASES
1929,38,DENVER,CO,US,CITY,1,CASES
1929,39,DENVER,CO,US,CITY,1,CASES
1929,40,DENVER,CO,US,CITY,2,CASES
1929,41,DENVER,CO,US,CITY,0,CASES
1929,42,DENVER,CO,US,CITY,6,CASES
