year,week,loc,state,country,loc_type,number,event
1952,5,DETROIT,MI,US,CITY,3,CASES
1952,6,DETROIT,MI,US,CITY,3,CASES
1952,8,DETROIT,MI,US,CITY,1,CASES
1952,9,DETROIT,MI,US,CITY,1,CASES
1952,10,DETROIT,MI,US,CITY,3,CASES
1952,11,DETROIT,MI,US,CITY,3,CASES
1952,13,DETROIT,MI,US,CITY,1,CASES
1952,16,DETROIT,MI,US,CITY,1,CASES
1952,17,DETROIT,MI,US,CITY,1,CASES
1952,19,DETROIT,MI,US,CITY,1,CASES
1952,20,DETROIT,MI,US,CITY,1,CASES
1952,21,DETROIT,MI,US,CITY,2,CASES
1952,24,DETROIT,MI,US,CITY,1,CASES
1952,36,DETROIT,MI,US,CITY,1,CASES
1952,40,DETROIT,MI,US,CITY,1,CASES
1952,47,DETROIT,MI,US,CITY,1,CASES
1952,51,DETROIT,MI,US,CITY,3,CASES
1953,47,DETROIT,MI,US,CITY,2,CASES
1981,17,DETROIT,MI,US,CITY,9,CASES
