year,week,loc,state,country,loc_type,number,event
1918,25,DUBUQUE,IA,US,CITY,2,CASES
1918,26,DUBUQUE,IA,US,CITY,2,CASES
1918,28,DUBUQUE,IA,US,CITY,23,CASES
1918,29,DUBUQUE,IA,US,CITY,18,CASES
1918,31,DUBUQUE,IA,US,CITY,4,CASES
1918,32,DUBUQUE,IA,US,CITY,5,CASES
1918,33,DUBUQUE,IA,US,CITY,1,CASES
1918,34,DUBUQUE,IA,US,CITY,2,CASES
1918,39,DUBUQUE,IA,US,CITY,1,CASES
1918,40,DUBUQUE,IA,US,CITY,22,CASES
1918,41,DUBUQUE,IA,US,CITY,2,CASES
1919,28,DUBUQUE,IA,US,CITY,1,CASES
1920,38,DUBUQUE,IA,US,CITY,1,CASES
1921,33,DUBUQUE,IA,US,CITY,1,CASES
1921,34,DUBUQUE,IA,US,CITY,1,CASES
1921,43,DUBUQUE,IA,US,CITY,1,CASES
