year,week,loc,state,country,loc_type,number,event
1911,13,DUBUQUE,IA,US,CITY,2,CASES
1911,2,DUBUQUE,IA,US,CITY,1,CASES
1903,52,DUBUQUE,IA,US,CITY,1,CASES
1903,10,DUBUQUE,IA,US,CITY,1,CASES
1915,10,DUBUQUE,IA,US,CITY,1,CASES
1915,17,DUBUQUE,IA,US,CITY,2,CASES
1915,45,DUBUQUE,IA,US,CITY,1,CASES
1916,6,DUBUQUE,IA,US,CITY,3,CASES
1916,7,DUBUQUE,IA,US,CITY,2,CASES
1916,9,DUBUQUE,IA,US,CITY,1,CASES
1916,10,DUBUQUE,IA,US,CITY,2,CASES
1916,16,DUBUQUE,IA,US,CITY,2,CASES
1916,17,DUBUQUE,IA,US,CITY,1,CASES
1916,19,DUBUQUE,IA,US,CITY,1,CASES
1916,22,DUBUQUE,IA,US,CITY,2,CASES
1917,6,DUBUQUE,IA,US,CITY,1,CASES
1917,9,DUBUQUE,IA,US,CITY,1,CASES
1917,14,DUBUQUE,IA,US,CITY,1,CASES
1917,15,DUBUQUE,IA,US,CITY,1,CASES
1917,16,DUBUQUE,IA,US,CITY,1,CASES
1917,18,DUBUQUE,IA,US,CITY,1,CASES
1917,21,DUBUQUE,IA,US,CITY,1,CASES
1917,22,DUBUQUE,IA,US,CITY,5,CASES
1917,23,DUBUQUE,IA,US,CITY,2,CASES
1917,24,DUBUQUE,IA,US,CITY,1,CASES
1917,25,DUBUQUE,IA,US,CITY,1,CASES
1917,26,DUBUQUE,IA,US,CITY,1,CASES
1917,27,DUBUQUE,IA,US,CITY,1,CASES
1917,30,DUBUQUE,IA,US,CITY,2,CASES
1917,33,DUBUQUE,IA,US,CITY,1,CASES
1917,45,DUBUQUE,IA,US,CITY,2,CASES
1917,46,DUBUQUE,IA,US,CITY,1,CASES
1917,49,DUBUQUE,IA,US,CITY,1,CASES
1917,51,DUBUQUE,IA,US,CITY,2,CASES
1918,1,DUBUQUE,IA,US,CITY,1,CASES
1918,2,DUBUQUE,IA,US,CITY,2,CASES
1918,3,DUBUQUE,IA,US,CITY,1,CASES
1918,4,DUBUQUE,IA,US,CITY,3,CASES
1918,5,DUBUQUE,IA,US,CITY,14,CASES
1918,6,DUBUQUE,IA,US,CITY,3,CASES
1918,7,DUBUQUE,IA,US,CITY,3,CASES
1918,8,DUBUQUE,IA,US,CITY,7,CASES
1918,9,DUBUQUE,IA,US,CITY,1,CASES
1918,10,DUBUQUE,IA,US,CITY,2,CASES
1918,11,DUBUQUE,IA,US,CITY,5,CASES
1918,12,DUBUQUE,IA,US,CITY,6,CASES
1918,13,DUBUQUE,IA,US,CITY,2,CASES
1918,14,DUBUQUE,IA,US,CITY,1,CASES
1918,15,DUBUQUE,IA,US,CITY,4,CASES
1918,17,DUBUQUE,IA,US,CITY,2,CASES
1918,18,DUBUQUE,IA,US,CITY,3,CASES
1918,19,DUBUQUE,IA,US,CITY,10,CASES
1918,20,DUBUQUE,IA,US,CITY,4,CASES
1918,22,DUBUQUE,IA,US,CITY,5,CASES
1918,23,DUBUQUE,IA,US,CITY,4,CASES
1918,24,DUBUQUE,IA,US,CITY,3,CASES
1918,26,DUBUQUE,IA,US,CITY,6,CASES
1918,28,DUBUQUE,IA,US,CITY,9,CASES
1918,29,DUBUQUE,IA,US,CITY,8,CASES
1918,31,DUBUQUE,IA,US,CITY,5,CASES
1918,32,DUBUQUE,IA,US,CITY,1,CASES
1918,33,DUBUQUE,IA,US,CITY,1,CASES
1918,35,DUBUQUE,IA,US,CITY,1,CASES
1918,37,DUBUQUE,IA,US,CITY,2,CASES
1918,38,DUBUQUE,IA,US,CITY,3,CASES
1918,41,DUBUQUE,IA,US,CITY,5,CASES
1918,42,DUBUQUE,IA,US,CITY,2,CASES
1918,43,DUBUQUE,IA,US,CITY,4,CASES
1918,44,DUBUQUE,IA,US,CITY,1,CASES
1919,6,DUBUQUE,IA,US,CITY,1,CASES
1919,10,DUBUQUE,IA,US,CITY,1,CASES
1919,11,DUBUQUE,IA,US,CITY,1,CASES
1919,12,DUBUQUE,IA,US,CITY,1,CASES
1919,19,DUBUQUE,IA,US,CITY,3,CASES
1919,21,DUBUQUE,IA,US,CITY,3,CASES
1919,22,DUBUQUE,IA,US,CITY,2,CASES
1919,24,DUBUQUE,IA,US,CITY,1,CASES
1919,45,DUBUQUE,IA,US,CITY,1,CASES
1919,46,DUBUQUE,IA,US,CITY,1,CASES
1919,47,DUBUQUE,IA,US,CITY,8,CASES
1919,48,DUBUQUE,IA,US,CITY,1,CASES
1919,50,DUBUQUE,IA,US,CITY,1,CASES
1919,51,DUBUQUE,IA,US,CITY,2,CASES
1919,52,DUBUQUE,IA,US,CITY,2,CASES
1919,53,DUBUQUE,IA,US,CITY,1,CASES
1920,1,DUBUQUE,IA,US,CITY,3,CASES
1920,2,DUBUQUE,IA,US,CITY,1,CASES
1920,3,DUBUQUE,IA,US,CITY,6,CASES
1920,4,DUBUQUE,IA,US,CITY,4,CASES
1920,5,DUBUQUE,IA,US,CITY,5,CASES
1920,6,DUBUQUE,IA,US,CITY,5,CASES
1920,7,DUBUQUE,IA,US,CITY,1,CASES
1920,8,DUBUQUE,IA,US,CITY,10,CASES
1920,9,DUBUQUE,IA,US,CITY,6,CASES
1920,10,DUBUQUE,IA,US,CITY,2,CASES
1920,11,DUBUQUE,IA,US,CITY,5,CASES
1920,12,DUBUQUE,IA,US,CITY,2,CASES
1920,13,DUBUQUE,IA,US,CITY,1,CASES
1920,14,DUBUQUE,IA,US,CITY,6,CASES
1920,15,DUBUQUE,IA,US,CITY,16,CASES
1920,16,DUBUQUE,IA,US,CITY,11,CASES
1920,17,DUBUQUE,IA,US,CITY,27,CASES
1920,18,DUBUQUE,IA,US,CITY,8,CASES
1920,19,DUBUQUE,IA,US,CITY,10,CASES
1920,20,DUBUQUE,IA,US,CITY,18,CASES
1920,21,DUBUQUE,IA,US,CITY,8,CASES
1920,22,DUBUQUE,IA,US,CITY,15,CASES
1920,23,DUBUQUE,IA,US,CITY,34,CASES
1920,24,DUBUQUE,IA,US,CITY,10,CASES
1920,26,DUBUQUE,IA,US,CITY,21,CASES
1920,27,DUBUQUE,IA,US,CITY,17,CASES
1920,28,DUBUQUE,IA,US,CITY,11,CASES
1920,30,DUBUQUE,IA,US,CITY,5,CASES
1920,31,DUBUQUE,IA,US,CITY,7,CASES
1920,32,DUBUQUE,IA,US,CITY,4,CASES
1920,33,DUBUQUE,IA,US,CITY,5,CASES
1920,34,DUBUQUE,IA,US,CITY,6,CASES
1920,35,DUBUQUE,IA,US,CITY,3,CASES
1920,36,DUBUQUE,IA,US,CITY,8,CASES
1920,37,DUBUQUE,IA,US,CITY,9,CASES
1920,38,DUBUQUE,IA,US,CITY,4,CASES
1920,39,DUBUQUE,IA,US,CITY,9,CASES
1920,40,DUBUQUE,IA,US,CITY,4,CASES
1920,41,DUBUQUE,IA,US,CITY,6,CASES
1920,42,DUBUQUE,IA,US,CITY,14,CASES
1920,43,DUBUQUE,IA,US,CITY,10,CASES
1920,44,DUBUQUE,IA,US,CITY,3,CASES
1920,45,DUBUQUE,IA,US,CITY,8,CASES
1920,46,DUBUQUE,IA,US,CITY,35,CASES
1920,47,DUBUQUE,IA,US,CITY,7,CASES
1920,48,DUBUQUE,IA,US,CITY,38,CASES
1920,49,DUBUQUE,IA,US,CITY,48,CASES
1920,50,DUBUQUE,IA,US,CITY,34,CASES
1920,51,DUBUQUE,IA,US,CITY,40,CASES
1920,52,DUBUQUE,IA,US,CITY,25,CASES
1921,1,DUBUQUE,IA,US,CITY,36,CASES
1921,2,DUBUQUE,IA,US,CITY,26,CASES
1921,3,DUBUQUE,IA,US,CITY,44,CASES
1921,4,DUBUQUE,IA,US,CITY,20,CASES
1921,5,DUBUQUE,IA,US,CITY,28,CASES
1921,6,DUBUQUE,IA,US,CITY,21,CASES
1921,7,DUBUQUE,IA,US,CITY,17,CASES
1921,8,DUBUQUE,IA,US,CITY,13,CASES
1921,9,DUBUQUE,IA,US,CITY,5,CASES
1921,10,DUBUQUE,IA,US,CITY,4,CASES
1921,11,DUBUQUE,IA,US,CITY,3,CASES
1921,12,DUBUQUE,IA,US,CITY,3,CASES
1921,13,DUBUQUE,IA,US,CITY,1,CASES
1921,14,DUBUQUE,IA,US,CITY,4,CASES
1921,15,DUBUQUE,IA,US,CITY,1,CASES
1921,17,DUBUQUE,IA,US,CITY,1,CASES
1921,18,DUBUQUE,IA,US,CITY,3,CASES
1921,19,DUBUQUE,IA,US,CITY,1,CASES
1921,27,DUBUQUE,IA,US,CITY,1,CASES
1921,47,DUBUQUE,IA,US,CITY,1,CASES
1921,48,DUBUQUE,IA,US,CITY,1,CASES
1922,1,DUBUQUE,IA,US,CITY,1,CASES
1922,29,DUBUQUE,IA,US,CITY,1,CASES
1920,29,DUBUQUE,IA,US,CITY,15,CASES
