year,week,loc,state,country,loc_type,number,event
1920,15,DUQUESNE,PA,US,CITY,3,CASES
1920,22,DUQUESNE,PA,US,CITY,17,CASES
1920,28,DUQUESNE,PA,US,CITY,10,CASES
1920,29,DUQUESNE,PA,US,CITY,1,CASES
1920,36,DUQUESNE,PA,US,CITY,11,CASES
1920,39,DUQUESNE,PA,US,CITY,12,CASES
1920,40,DUQUESNE,PA,US,CITY,5,CASES
1921,46,DUQUESNE,PA,US,CITY,1,CASES
1921,48,DUQUESNE,PA,US,CITY,4,CASES
1921,50,DUQUESNE,PA,US,CITY,2,CASES
1922,6,DUQUESNE,PA,US,CITY,1,CASES
1922,14,DUQUESNE,PA,US,CITY,1,CASES
1922,15,DUQUESNE,PA,US,CITY,1,CASES
1922,16,DUQUESNE,PA,US,CITY,1,CASES
1922,19,DUQUESNE,PA,US,CITY,1,CASES
1922,21,DUQUESNE,PA,US,CITY,2,CASES
1922,22,DUQUESNE,PA,US,CITY,1,CASES
1922,24,DUQUESNE,PA,US,CITY,1,CASES
1922,26,DUQUESNE,PA,US,CITY,1,CASES
1922,28,DUQUESNE,PA,US,CITY,1,CASES
1922,46,DUQUESNE,PA,US,CITY,1,CASES
1922,47,DUQUESNE,PA,US,CITY,5,CASES
1922,48,DUQUESNE,PA,US,CITY,6,CASES
1922,49,DUQUESNE,PA,US,CITY,25,CASES
1922,52,DUQUESNE,PA,US,CITY,81,CASES
1923,1,DUQUESNE,PA,US,CITY,84,CASES
1923,2,DUQUESNE,PA,US,CITY,65,CASES
1923,3,DUQUESNE,PA,US,CITY,40,CASES
1923,4,DUQUESNE,PA,US,CITY,26,CASES
1923,5,DUQUESNE,PA,US,CITY,18,CASES
1923,6,DUQUESNE,PA,US,CITY,9,CASES
1923,7,DUQUESNE,PA,US,CITY,8,CASES
1923,8,DUQUESNE,PA,US,CITY,11,CASES
1923,9,DUQUESNE,PA,US,CITY,9,CASES
1923,10,DUQUESNE,PA,US,CITY,1,CASES
1923,11,DUQUESNE,PA,US,CITY,1,CASES
1923,12,DUQUESNE,PA,US,CITY,2,CASES
1923,23,DUQUESNE,PA,US,CITY,1,CASES
1923,26,DUQUESNE,PA,US,CITY,1,CASES
1923,46,DUQUESNE,PA,US,CITY,2,CASES
1923,50,DUQUESNE,PA,US,CITY,1,CASES
1923,52,DUQUESNE,PA,US,CITY,1,CASES
