year,week,loc,state,country,loc_type,number,event
1915,9,EAST CHICAGO,IN,US,CITY,6,CASES
1916,45,EAST CHICAGO,IN,US,CITY,1,CASES
1917,3,EAST CHICAGO,IN,US,CITY,1,CASES
1917,4,EAST CHICAGO,IN,US,CITY,2,CASES
1917,5,EAST CHICAGO,IN,US,CITY,3,CASES
1917,7,EAST CHICAGO,IN,US,CITY,3,CASES
1917,8,EAST CHICAGO,IN,US,CITY,1,CASES
1917,10,EAST CHICAGO,IN,US,CITY,1,CASES
1917,11,EAST CHICAGO,IN,US,CITY,3,CASES
1917,12,EAST CHICAGO,IN,US,CITY,4,CASES
1917,14,EAST CHICAGO,IN,US,CITY,6,CASES
1917,15,EAST CHICAGO,IN,US,CITY,2,CASES
1917,16,EAST CHICAGO,IN,US,CITY,3,CASES
1917,17,EAST CHICAGO,IN,US,CITY,3,CASES
1917,18,EAST CHICAGO,IN,US,CITY,2,CASES
1917,19,EAST CHICAGO,IN,US,CITY,6,CASES
1917,20,EAST CHICAGO,IN,US,CITY,7,CASES
1917,21,EAST CHICAGO,IN,US,CITY,7,CASES
1917,22,EAST CHICAGO,IN,US,CITY,6,CASES
1917,23,EAST CHICAGO,IN,US,CITY,1,CASES
1917,24,EAST CHICAGO,IN,US,CITY,2,CASES
1917,25,EAST CHICAGO,IN,US,CITY,2,CASES
1917,33,EAST CHICAGO,IN,US,CITY,1,CASES
1917,36,EAST CHICAGO,IN,US,CITY,1,CASES
1917,45,EAST CHICAGO,IN,US,CITY,1,CASES
1917,49,EAST CHICAGO,IN,US,CITY,2,CASES
1917,50,EAST CHICAGO,IN,US,CITY,1,CASES
1917,51,EAST CHICAGO,IN,US,CITY,1,CASES
1920,7,EAST CHICAGO,IN,US,CITY,4,CASES
1922,7,EAST CHICAGO,IN,US,CITY,2,CASES
1922,9,EAST CHICAGO,IN,US,CITY,3,CASES
1922,14,EAST CHICAGO,IN,US,CITY,2,CASES
1922,16,EAST CHICAGO,IN,US,CITY,7,CASES
1922,21,EAST CHICAGO,IN,US,CITY,2,CASES
1922,26,EAST CHICAGO,IN,US,CITY,2,CASES
1922,27,EAST CHICAGO,IN,US,CITY,1,CASES
1922,28,EAST CHICAGO,IN,US,CITY,1,CASES
1922,38,EAST CHICAGO,IN,US,CITY,3,CASES
1922,39,EAST CHICAGO,IN,US,CITY,3,CASES
1922,40,EAST CHICAGO,IN,US,CITY,4,CASES
1922,41,EAST CHICAGO,IN,US,CITY,1,CASES
1922,42,EAST CHICAGO,IN,US,CITY,2,CASES
1922,43,EAST CHICAGO,IN,US,CITY,3,CASES
1922,45,EAST CHICAGO,IN,US,CITY,2,CASES
1922,46,EAST CHICAGO,IN,US,CITY,1,CASES
1922,48,EAST CHICAGO,IN,US,CITY,1,CASES
1922,50,EAST CHICAGO,IN,US,CITY,2,CASES
1922,51,EAST CHICAGO,IN,US,CITY,3,CASES
1922,52,EAST CHICAGO,IN,US,CITY,5,CASES
1923,2,EAST CHICAGO,IN,US,CITY,1,CASES
1923,3,EAST CHICAGO,IN,US,CITY,1,CASES
1923,4,EAST CHICAGO,IN,US,CITY,1,CASES
1923,11,EAST CHICAGO,IN,US,CITY,2,CASES
1923,13,EAST CHICAGO,IN,US,CITY,1,CASES
1923,14,EAST CHICAGO,IN,US,CITY,1,CASES
1923,17,EAST CHICAGO,IN,US,CITY,1,CASES
1923,19,EAST CHICAGO,IN,US,CITY,1,CASES
1923,22,EAST CHICAGO,IN,US,CITY,1,CASES
1923,26,EAST CHICAGO,IN,US,CITY,2,CASES
1923,34,EAST CHICAGO,IN,US,CITY,1,CASES
1923,36,EAST CHICAGO,IN,US,CITY,2,CASES
1923,38,EAST CHICAGO,IN,US,CITY,1,CASES
1923,42,EAST CHICAGO,IN,US,CITY,1,CASES
1923,43,EAST CHICAGO,IN,US,CITY,1,CASES
1923,44,EAST CHICAGO,IN,US,CITY,1,CASES
1923,50,EAST CHICAGO,IN,US,CITY,2,CASES
