year,week,loc,state,country,loc_type,number,event
1919,31,EAST ST LOUIS,IL,US,CITY,1,CASES
1919,44,EAST ST LOUIS,IL,US,CITY,1,CASES
1920,37,EAST ST LOUIS,IL,US,CITY,1,CASES
1920,39,EAST ST LOUIS,IL,US,CITY,1,CASES
1921,1,EAST ST LOUIS,IL,US,CITY,1,CASES
1921,24,EAST ST LOUIS,IL,US,CITY,1,CASES
1921,25,EAST ST LOUIS,IL,US,CITY,1,CASES
1921,28,EAST ST LOUIS,IL,US,CITY,1,CASES
1921,29,EAST ST LOUIS,IL,US,CITY,1,CASES
1922,10,EAST ST LOUIS,IL,US,CITY,1,CASES
1922,50,EAST ST LOUIS,IL,US,CITY,1,CASES
