year,week,loc,state,country,loc_type,number,event
1919,19,EAST ST LOUIS,IL,US,CITY,1,CASES
1919,20,EAST ST LOUIS,IL,US,CITY,1,CASES
1919,25,EAST ST LOUIS,IL,US,CITY,1,CASES
1919,29,EAST ST LOUIS,IL,US,CITY,1,CASES
1919,35,EAST ST LOUIS,IL,US,CITY,1,CASES
1919,38,EAST ST LOUIS,IL,US,CITY,2,CASES
1919,39,EAST ST LOUIS,IL,US,CITY,2,CASES
1919,53,EAST ST LOUIS,IL,US,CITY,1,CASES
1920,2,EAST ST LOUIS,IL,US,CITY,7,CASES
1920,4,EAST ST LOUIS,IL,US,CITY,1,CASES
1920,9,EAST ST LOUIS,IL,US,CITY,1,CASES
1920,12,EAST ST LOUIS,IL,US,CITY,3,CASES
1920,13,EAST ST LOUIS,IL,US,CITY,1,CASES
1920,15,EAST ST LOUIS,IL,US,CITY,2,CASES
1920,16,EAST ST LOUIS,IL,US,CITY,2,CASES
1920,17,EAST ST LOUIS,IL,US,CITY,23,CASES
1920,18,EAST ST LOUIS,IL,US,CITY,5,CASES
1920,19,EAST ST LOUIS,IL,US,CITY,6,CASES
1920,20,EAST ST LOUIS,IL,US,CITY,4,CASES
1920,21,EAST ST LOUIS,IL,US,CITY,3,CASES
1920,22,EAST ST LOUIS,IL,US,CITY,6,CASES
1920,23,EAST ST LOUIS,IL,US,CITY,4,CASES
1920,24,EAST ST LOUIS,IL,US,CITY,1,CASES
1920,25,EAST ST LOUIS,IL,US,CITY,7,CASES
1920,26,EAST ST LOUIS,IL,US,CITY,5,CASES
1920,27,EAST ST LOUIS,IL,US,CITY,3,CASES
1920,28,EAST ST LOUIS,IL,US,CITY,14,CASES
1920,30,EAST ST LOUIS,IL,US,CITY,1,CASES
1920,31,EAST ST LOUIS,IL,US,CITY,3,CASES
1920,33,EAST ST LOUIS,IL,US,CITY,3,CASES
1920,34,EAST ST LOUIS,IL,US,CITY,2,CASES
1920,36,EAST ST LOUIS,IL,US,CITY,2,CASES
1920,39,EAST ST LOUIS,IL,US,CITY,2,CASES
1920,40,EAST ST LOUIS,IL,US,CITY,1,CASES
1920,41,EAST ST LOUIS,IL,US,CITY,2,CASES
1920,42,EAST ST LOUIS,IL,US,CITY,1,CASES
1920,43,EAST ST LOUIS,IL,US,CITY,3,CASES
1920,44,EAST ST LOUIS,IL,US,CITY,3,CASES
1920,45,EAST ST LOUIS,IL,US,CITY,2,CASES
1920,46,EAST ST LOUIS,IL,US,CITY,2,CASES
1920,47,EAST ST LOUIS,IL,US,CITY,1,CASES
1920,48,EAST ST LOUIS,IL,US,CITY,9,CASES
1920,49,EAST ST LOUIS,IL,US,CITY,5,CASES
1920,50,EAST ST LOUIS,IL,US,CITY,23,CASES
1920,51,EAST ST LOUIS,IL,US,CITY,9,CASES
1920,52,EAST ST LOUIS,IL,US,CITY,13,CASES
1921,1,EAST ST LOUIS,IL,US,CITY,20,CASES
1921,3,EAST ST LOUIS,IL,US,CITY,36,CASES
1921,4,EAST ST LOUIS,IL,US,CITY,27,CASES
1921,5,EAST ST LOUIS,IL,US,CITY,16,CASES
1921,6,EAST ST LOUIS,IL,US,CITY,31,CASES
1921,8,EAST ST LOUIS,IL,US,CITY,26,CASES
1921,9,EAST ST LOUIS,IL,US,CITY,22,CASES
1921,10,EAST ST LOUIS,IL,US,CITY,18,CASES
1921,11,EAST ST LOUIS,IL,US,CITY,19,CASES
1921,12,EAST ST LOUIS,IL,US,CITY,18,CASES
1921,13,EAST ST LOUIS,IL,US,CITY,8,CASES
1921,14,EAST ST LOUIS,IL,US,CITY,6,CASES
1921,15,EAST ST LOUIS,IL,US,CITY,10,CASES
1921,16,EAST ST LOUIS,IL,US,CITY,8,CASES
1921,17,EAST ST LOUIS,IL,US,CITY,4,CASES
1921,18,EAST ST LOUIS,IL,US,CITY,3,CASES
1921,19,EAST ST LOUIS,IL,US,CITY,7,CASES
1921,20,EAST ST LOUIS,IL,US,CITY,2,CASES
1921,22,EAST ST LOUIS,IL,US,CITY,1,CASES
1921,23,EAST ST LOUIS,IL,US,CITY,1,CASES
1921,24,EAST ST LOUIS,IL,US,CITY,1,CASES
1922,4,EAST ST LOUIS,IL,US,CITY,1,CASES
1920,29,EAST ST LOUIS,IL,US,CITY,5,CASES
