year,week,loc,state,country,loc_type,number,event
1908,53,EL PASO,TX,US,CITY,1,CASES
1909,5,EL PASO,TX,US,CITY,4,CASES
1909,6,EL PASO,TX,US,CITY,1,CASES
1909,8,EL PASO,TX,US,CITY,3,CASES
1909,9,EL PASO,TX,US,CITY,2,CASES
1909,11,EL PASO,TX,US,CITY,6,CASES
1909,12,EL PASO,TX,US,CITY,8,CASES
1909,14,EL PASO,TX,US,CITY,6,CASES
1909,15,EL PASO,TX,US,CITY,3,CASES
1909,16,EL PASO,TX,US,CITY,6,CASES
1909,17,EL PASO,TX,US,CITY,2,CASES
1909,18,EL PASO,TX,US,CITY,3,CASES
1909,19,EL PASO,TX,US,CITY,2,CASES
1909,20,EL PASO,TX,US,CITY,2,CASES
1909,22,EL PASO,TX,US,CITY,7,CASES
1909,23,EL PASO,TX,US,CITY,2,CASES
1909,24,EL PASO,TX,US,CITY,2,CASES
1909,25,EL PASO,TX,US,CITY,2,CASES
1909,26,EL PASO,TX,US,CITY,3,CASES
1909,27,EL PASO,TX,US,CITY,1,CASES
1909,28,EL PASO,TX,US,CITY,2,CASES
1909,29,EL PASO,TX,US,CITY,3,CASES
1909,31,EL PASO,TX,US,CITY,2,CASES
1909,33,EL PASO,TX,US,CITY,1,CASES
1909,39,EL PASO,TX,US,CITY,1,CASES
1909,49,EL PASO,TX,US,CITY,1,CASES
1909,52,EL PASO,TX,US,CITY,13,CASES
1910,2,EL PASO,TX,US,CITY,5,CASES
1910,4,EL PASO,TX,US,CITY,5,CASES
1910,1,EL PASO,TX,US,CITY,8,CASES
1910,3,EL PASO,TX,US,CITY,17,CASES
1910,10,EL PASO,TX,US,CITY,28,CASES
1910,11,EL PASO,TX,US,CITY,50,CASES
1910,14,EL PASO,TX,US,CITY,30,CASES
1910,15,EL PASO,TX,US,CITY,19,CASES
1910,17,EL PASO,TX,US,CITY,18,CASES
1910,18,EL PASO,TX,US,CITY,11,CASES
1910,20,EL PASO,TX,US,CITY,9,CASES
1910,23,EL PASO,TX,US,CITY,7,CASES
1910,25,EL PASO,TX,US,CITY,9,CASES
1910,26,EL PASO,TX,US,CITY,2,CASES
