year,week,loc,state,country,loc_type,number,event
1915,41,ELIZABETH,NJ,US,CITY,34,CASES
1915,42,ELIZABETH,NJ,US,CITY,35,CASES
1915,44,ELIZABETH,NJ,US,CITY,18,CASES
1915,52,ELIZABETH,NJ,US,CITY,40,CASES
1916,1,ELIZABETH,NJ,US,CITY,235,CASES
1917,7,ELIZABETH,NJ,US,CITY,1,CASES
1917,10,ELIZABETH,NJ,US,CITY,2,CASES
1917,18,ELIZABETH,NJ,US,CITY,1,CASES
1917,19,ELIZABETH,NJ,US,CITY,1,CASES
1917,23,ELIZABETH,NJ,US,CITY,2,CASES
1917,24,ELIZABETH,NJ,US,CITY,2,CASES
1917,25,ELIZABETH,NJ,US,CITY,4,CASES
1917,27,ELIZABETH,NJ,US,CITY,2,CASES
1917,29,ELIZABETH,NJ,US,CITY,1,CASES
1917,30,ELIZABETH,NJ,US,CITY,2,CASES
1917,31,ELIZABETH,NJ,US,CITY,1,CASES
1917,48,ELIZABETH,NJ,US,CITY,1,CASES
1917,50,ELIZABETH,NJ,US,CITY,1,CASES
1918,5,ELIZABETH,NJ,US,CITY,2,CASES
1918,8,ELIZABETH,NJ,US,CITY,1,CASES
1918,12,ELIZABETH,NJ,US,CITY,2,CASES
1918,13,ELIZABETH,NJ,US,CITY,2,CASES
1919,17,ELIZABETH,NJ,US,CITY,1,CASES
1920,28,ELIZABETH,NJ,US,CITY,1,CASES
1920,35,ELIZABETH,NJ,US,CITY,1,CASES
1920,36,ELIZABETH,NJ,US,CITY,1,CASES
1920,40,ELIZABETH,NJ,US,CITY,2,CASES
1921,8,ELIZABETH,NJ,US,CITY,1,CASES
1921,9,ELIZABETH,NJ,US,CITY,1,CASES
1921,15,ELIZABETH,NJ,US,CITY,1,CASES
1921,36,ELIZABETH,NJ,US,CITY,1,CASES
1921,37,ELIZABETH,NJ,US,CITY,1,CASES
1921,39,ELIZABETH,NJ,US,CITY,1,CASES
1922,3,ELIZABETH,NJ,US,CITY,1,CASES
1923,39,ELIZABETH,NJ,US,CITY,1,CASES
