year,week,loc,state,country,loc_type,number,event
1906,44,ELKHART,IN,US,CITY,3,CASES
1906,46,ELKHART,IN,US,CITY,1,CASES
1906,48,ELKHART,IN,US,CITY,1,CASES
1907,1,ELKHART,IN,US,CITY,1,CASES
1907,2,ELKHART,IN,US,CITY,2,CASES
1907,3,ELKHART,IN,US,CITY,2,CASES
1907,4,ELKHART,IN,US,CITY,1,CASES
1907,5,ELKHART,IN,US,CITY,2,CASES
1907,6,ELKHART,IN,US,CITY,1,CASES
1907,7,ELKHART,IN,US,CITY,2,CASES
1907,8,ELKHART,IN,US,CITY,2,CASES
1907,9,ELKHART,IN,US,CITY,2,CASES
1907,10,ELKHART,IN,US,CITY,3,CASES
1907,11,ELKHART,IN,US,CITY,2,CASES
1907,13,ELKHART,IN,US,CITY,2,CASES
1907,16,ELKHART,IN,US,CITY,1,CASES
1907,16,ELKHART,IN,US,CITY,1,CASES
1907,18,ELKHART,IN,US,CITY,2,CASES
1907,19,ELKHART,IN,US,CITY,2,CASES
1907,20,ELKHART,IN,US,CITY,1,CASES
1907,21,ELKHART,IN,US,CITY,1,CASES
1907,22,ELKHART,IN,US,CITY,1,CASES
1907,23,ELKHART,IN,US,CITY,1,CASES
1907,24,ELKHART,IN,US,CITY,3,CASES
1907,27,ELKHART,IN,US,CITY,1,CASES
1907,28,ELKHART,IN,US,CITY,1,CASES
1907,36,ELKHART,IN,US,CITY,1,CASES
1907,44,ELKHART,IN,US,CITY,1,CASES
1907,47,ELKHART,IN,US,CITY,1,CASES
1908,3,ELKHART,IN,US,CITY,1,CASES
1908,4,ELKHART,IN,US,CITY,1,CASES
1908,5,ELKHART,IN,US,CITY,1,CASES
1908,7,ELKHART,IN,US,CITY,1,CASES
1908,8,ELKHART,IN,US,CITY,1,CASES
1908,10,ELKHART,IN,US,CITY,1,CASES
1908,11,ELKHART,IN,US,CITY,2,CASES
1908,13,ELKHART,IN,US,CITY,1,CASES
1908,14,ELKHART,IN,US,CITY,1,CASES
1908,15,ELKHART,IN,US,CITY,2,CASES
1908,17,ELKHART,IN,US,CITY,1,CASES
1908,28,ELKHART,IN,US,CITY,1,CASES
1908,38,ELKHART,IN,US,CITY,1,CASES
1908,41,ELKHART,IN,US,CITY,1,CASES
1908,44,ELKHART,IN,US,CITY,2,CASES
1908,45,ELKHART,IN,US,CITY,2,CASES
1908,46,ELKHART,IN,US,CITY,3,CASES
1908,47,ELKHART,IN,US,CITY,1,CASES
1908,48,ELKHART,IN,US,CITY,4,CASES
1908,49,ELKHART,IN,US,CITY,2,CASES
1908,53,ELKHART,IN,US,CITY,3,CASES
1909,1,ELKHART,IN,US,CITY,2,CASES
1909,2,ELKHART,IN,US,CITY,1,CASES
1909,3,ELKHART,IN,US,CITY,3,CASES
1909,4,ELKHART,IN,US,CITY,1,CASES
1909,18,ELKHART,IN,US,CITY,2,CASES
1909,19,ELKHART,IN,US,CITY,2,CASES
1909,20,ELKHART,IN,US,CITY,1,CASES
1909,21,ELKHART,IN,US,CITY,2,CASES
1909,22,ELKHART,IN,US,CITY,1,CASES
1909,27,ELKHART,IN,US,CITY,1,CASES
1909,44,ELKHART,IN,US,CITY,1,CASES
1909,47,ELKHART,IN,US,CITY,1,CASES
1909,48,ELKHART,IN,US,CITY,1,CASES
1919,46,ELKHART,IN,US,CITY,3,CASES
1919,48,ELKHART,IN,US,CITY,10,CASES
1920,1,ELKHART,IN,US,CITY,3,CASES
1920,2,ELKHART,IN,US,CITY,2,CASES
1920,3,ELKHART,IN,US,CITY,2,CASES
1920,4,ELKHART,IN,US,CITY,3,CASES
1920,5,ELKHART,IN,US,CITY,4,CASES
1920,6,ELKHART,IN,US,CITY,4,CASES
1920,8,ELKHART,IN,US,CITY,4,CASES
1920,9,ELKHART,IN,US,CITY,5,CASES
1920,10,ELKHART,IN,US,CITY,5,CASES
1920,11,ELKHART,IN,US,CITY,5,CASES
1920,12,ELKHART,IN,US,CITY,2,CASES
1920,14,ELKHART,IN,US,CITY,8,CASES
1920,15,ELKHART,IN,US,CITY,9,CASES
1920,16,ELKHART,IN,US,CITY,10,CASES
1920,17,ELKHART,IN,US,CITY,1,CASES
1920,18,ELKHART,IN,US,CITY,6,CASES
1920,19,ELKHART,IN,US,CITY,9,CASES
1920,20,ELKHART,IN,US,CITY,16,CASES
1920,21,ELKHART,IN,US,CITY,10,CASES
1920,22,ELKHART,IN,US,CITY,2,CASES
1920,23,ELKHART,IN,US,CITY,6,CASES
1920,24,ELKHART,IN,US,CITY,3,CASES
1920,25,ELKHART,IN,US,CITY,6,CASES
1920,26,ELKHART,IN,US,CITY,2,CASES
1920,27,ELKHART,IN,US,CITY,2,CASES
1920,28,ELKHART,IN,US,CITY,1,CASES
1920,29,ELKHART,IN,US,CITY,3,CASES
1920,30,ELKHART,IN,US,CITY,3,CASES
1920,33,ELKHART,IN,US,CITY,4,CASES
1920,34,ELKHART,IN,US,CITY,2,CASES
1920,36,ELKHART,IN,US,CITY,2,CASES
1920,37,ELKHART,IN,US,CITY,2,CASES
1920,38,ELKHART,IN,US,CITY,1,CASES
1920,39,ELKHART,IN,US,CITY,1,CASES
1920,40,ELKHART,IN,US,CITY,5,CASES
1920,41,ELKHART,IN,US,CITY,3,CASES
1920,42,ELKHART,IN,US,CITY,1,CASES
1920,43,ELKHART,IN,US,CITY,3,CASES
1920,44,ELKHART,IN,US,CITY,1,CASES
1920,45,ELKHART,IN,US,CITY,5,CASES
1920,46,ELKHART,IN,US,CITY,7,CASES
1920,47,ELKHART,IN,US,CITY,9,CASES
1920,48,ELKHART,IN,US,CITY,14,CASES
1920,49,ELKHART,IN,US,CITY,11,CASES
1920,50,ELKHART,IN,US,CITY,11,CASES
1920,51,ELKHART,IN,US,CITY,2,CASES
1920,52,ELKHART,IN,US,CITY,3,CASES
1921,1,ELKHART,IN,US,CITY,2,CASES
1921,2,ELKHART,IN,US,CITY,7,CASES
1921,3,ELKHART,IN,US,CITY,5,CASES
1921,4,ELKHART,IN,US,CITY,7,CASES
1921,5,ELKHART,IN,US,CITY,4,CASES
1921,6,ELKHART,IN,US,CITY,9,CASES
1921,7,ELKHART,IN,US,CITY,3,CASES
1921,8,ELKHART,IN,US,CITY,3,CASES
1921,9,ELKHART,IN,US,CITY,5,CASES
1921,10,ELKHART,IN,US,CITY,5,CASES
