year,week,loc,state,country,loc_type,number,event
1909,3,ELKHART,IN,US,CITY,2,CASES
1908,44,ELKHART,IN,US,CITY,3,CASES
1907,52,ELKHART,IN,US,CITY,3,CASES
1907,50,ELKHART,IN,US,CITY,1,CASES
1907,47,ELKHART,IN,US,CITY,6,CASES
1907,46,ELKHART,IN,US,CITY,5,CASES
1907,45,ELKHART,IN,US,CITY,5,CASES
1907,44,ELKHART,IN,US,CITY,3,CASES
1907,43,ELKHART,IN,US,CITY,2,CASES
1907,42,ELKHART,IN,US,CITY,1,CASES
1907,39,ELKHART,IN,US,CITY,2,CASES
1907,27,ELKHART,IN,US,CITY,1,CASES
1907,23,ELKHART,IN,US,CITY,1,CASES
1907,20,ELKHART,IN,US,CITY,6,CASES
1907,19,ELKHART,IN,US,CITY,1,CASES
1907,17,ELKHART,IN,US,CITY,1,CASES
1907,16,ELKHART,IN,US,CITY,3,CASES
1907,12,ELKHART,IN,US,CITY,4,CASES
1907,10,ELKHART,IN,US,CITY,1,CASES
1907,7,ELKHART,IN,US,CITY,3,CASES
1906,51,ELKHART,IN,US,CITY,1,CASES
1920,13,ELKHART,IN,US,CITY,1,CASES
1920,14,ELKHART,IN,US,CITY,1,CASES
1920,22,ELKHART,IN,US,CITY,2,CASES
1920,27,ELKHART,IN,US,CITY,3,CASES
1920,28,ELKHART,IN,US,CITY,2,CASES
1920,30,ELKHART,IN,US,CITY,1,CASES
1920,31,ELKHART,IN,US,CITY,2,CASES
1920,32,ELKHART,IN,US,CITY,1,CASES
1920,40,ELKHART,IN,US,CITY,1,CASES
1920,47,ELKHART,IN,US,CITY,1,CASES
1920,48,ELKHART,IN,US,CITY,1,CASES
1920,49,ELKHART,IN,US,CITY,5,CASES
1920,50,ELKHART,IN,US,CITY,4,CASES
1920,51,ELKHART,IN,US,CITY,4,CASES
1921,1,ELKHART,IN,US,CITY,7,CASES
1921,2,ELKHART,IN,US,CITY,1,CASES
1921,4,ELKHART,IN,US,CITY,6,CASES
1921,5,ELKHART,IN,US,CITY,4,CASES
1921,6,ELKHART,IN,US,CITY,3,CASES
1921,7,ELKHART,IN,US,CITY,11,CASES
1921,8,ELKHART,IN,US,CITY,7,CASES
1921,9,ELKHART,IN,US,CITY,8,CASES
1921,11,ELKHART,IN,US,CITY,9,CASES
1921,12,ELKHART,IN,US,CITY,6,CASES
1921,13,ELKHART,IN,US,CITY,12,CASES
1921,14,ELKHART,IN,US,CITY,13,CASES
1921,15,ELKHART,IN,US,CITY,5,CASES
1921,16,ELKHART,IN,US,CITY,21,CASES
1921,17,ELKHART,IN,US,CITY,9,CASES
1921,18,ELKHART,IN,US,CITY,12,CASES
1921,19,ELKHART,IN,US,CITY,8,CASES
1921,20,ELKHART,IN,US,CITY,16,CASES
1921,21,ELKHART,IN,US,CITY,10,CASES
1921,22,ELKHART,IN,US,CITY,5,CASES
1921,23,ELKHART,IN,US,CITY,1,CASES
1921,24,ELKHART,IN,US,CITY,4,CASES
1921,26,ELKHART,IN,US,CITY,2,CASES
1921,27,ELKHART,IN,US,CITY,1,CASES
1921,30,ELKHART,IN,US,CITY,2,CASES
1921,34,ELKHART,IN,US,CITY,2,CASES
1922,11,ELKHART,IN,US,CITY,2,CASES
1922,15,ELKHART,IN,US,CITY,2,CASES
