year,week,loc,state,country,loc_type,number,event
1914,12,ERIE,PA,US,CITY,1,CASES
1914,30,ERIE,PA,US,CITY,1,CASES
1915,12,ERIE,PA,US,CITY,1,CASES
1917,19,ERIE,PA,US,CITY,2,CASES
1917,23,ERIE,PA,US,CITY,1,CASES
1917,24,ERIE,PA,US,CITY,1,CASES
1917,25,ERIE,PA,US,CITY,1,CASES
1917,37,ERIE,PA,US,CITY,1,CASES
1918,14,ERIE,PA,US,CITY,1,CASES
1919,8,ERIE,PA,US,CITY,1,CASES
1920,13,ERIE,PA,US,CITY,1,CASES
1920,15,ERIE,PA,US,CITY,2,CASES
1921,4,ERIE,PA,US,CITY,1,CASES
1921,12,ERIE,PA,US,CITY,1,CASES
1921,36,ERIE,PA,US,CITY,1,CASES
1922,24,ERIE,PA,US,CITY,1,CASES
1922,27,ERIE,PA,US,CITY,1,CASES
1922,38,ERIE,PA,US,CITY,1,CASES
