year,week,loc,state,country,loc_type,number,event
1914,50,EUREKA,CA,US,CITY,1,CASES
1919,46,EUREKA,CA,US,CITY,2,CASES
1919,51,EUREKA,CA,US,CITY,1,CASES
1920,2,EUREKA,CA,US,CITY,6,CASES
1920,3,EUREKA,CA,US,CITY,7,CASES
1920,5,EUREKA,CA,US,CITY,6,CASES
1920,8,EUREKA,CA,US,CITY,1,CASES
1920,9,EUREKA,CA,US,CITY,1,CASES
1920,10,EUREKA,CA,US,CITY,1,CASES
1920,12,EUREKA,CA,US,CITY,1,CASES
1920,13,EUREKA,CA,US,CITY,1,CASES
1920,34,EUREKA,CA,US,CITY,1,CASES
1920,40,EUREKA,CA,US,CITY,1,CASES
1920,41,EUREKA,CA,US,CITY,6,CASES
1920,42,EUREKA,CA,US,CITY,1,CASES
1920,43,EUREKA,CA,US,CITY,1,CASES
1921,6,EUREKA,CA,US,CITY,1,CASES
1921,7,EUREKA,CA,US,CITY,1,CASES
1921,8,EUREKA,CA,US,CITY,1,CASES
1921,14,EUREKA,CA,US,CITY,1,CASES
1921,15,EUREKA,CA,US,CITY,2,CASES
1921,34,EUREKA,CA,US,CITY,1,CASES
1921,35,EUREKA,CA,US,CITY,1,CASES
1921,38,EUREKA,CA,US,CITY,1,CASES
1921,43,EUREKA,CA,US,CITY,1,CASES
1921,44,EUREKA,CA,US,CITY,2,CASES
1921,46,EUREKA,CA,US,CITY,1,CASES
1921,48,EUREKA,CA,US,CITY,1,CASES
1921,50,EUREKA,CA,US,CITY,1,CASES
1921,52,EUREKA,CA,US,CITY,1,CASES
1922,3,EUREKA,CA,US,CITY,6,CASES
1922,4,EUREKA,CA,US,CITY,3,CASES
1922,8,EUREKA,CA,US,CITY,7,CASES
1922,13,EUREKA,CA,US,CITY,1,CASES
1922,17,EUREKA,CA,US,CITY,1,CASES
1922,19,EUREKA,CA,US,CITY,1,CASES
1922,20,EUREKA,CA,US,CITY,1,CASES
1922,21,EUREKA,CA,US,CITY,1,CASES
1922,23,EUREKA,CA,US,CITY,1,CASES
1922,24,EUREKA,CA,US,CITY,2,CASES
1922,27,EUREKA,CA,US,CITY,2,CASES
1922,28,EUREKA,CA,US,CITY,2,CASES
1922,30,EUREKA,CA,US,CITY,1,CASES
1922,37,EUREKA,CA,US,CITY,7,CASES
1922,38,EUREKA,CA,US,CITY,2,CASES
1922,39,EUREKA,CA,US,CITY,2,CASES
1922,41,EUREKA,CA,US,CITY,3,CASES
1922,43,EUREKA,CA,US,CITY,5,CASES
1922,45,EUREKA,CA,US,CITY,2,CASES
1922,46,EUREKA,CA,US,CITY,3,CASES
1923,1,EUREKA,CA,US,CITY,2,CASES
1923,9,EUREKA,CA,US,CITY,1,CASES
1923,14,EUREKA,CA,US,CITY,1,CASES
1923,15,EUREKA,CA,US,CITY,1,CASES
1923,23,EUREKA,CA,US,CITY,1,CASES
1923,27,EUREKA,CA,US,CITY,1,CASES
1923,33,EUREKA,CA,US,CITY,1,CASES
1923,40,EUREKA,CA,US,CITY,2,CASES
1923,49,EUREKA,CA,US,CITY,1,CASES
