year,week,loc,state,country,loc_type,number,event
1908,6,EVANSTON,IL,US,CITY,2,CASES
1916,27,EVANSTON,IL,US,CITY,1,CASES
1918,7,EVANSTON,IL,US,CITY,1,CASES
1918,18,EVANSTON,IL,US,CITY,1,CASES
1918,23,EVANSTON,IL,US,CITY,1,CASES
1918,26,EVANSTON,IL,US,CITY,1,CASES
1918,29,EVANSTON,IL,US,CITY,1,CASES
1918,30,EVANSTON,IL,US,CITY,1,CASES
1918,32,EVANSTON,IL,US,CITY,1,CASES
1918,45,EVANSTON,IL,US,CITY,1,CASES
1918,52,EVANSTON,IL,US,CITY,1,CASES
1919,1,EVANSTON,IL,US,CITY,1,CASES
1919,2,EVANSTON,IL,US,CITY,2,CASES
1919,4,EVANSTON,IL,US,CITY,1,CASES
1919,5,EVANSTON,IL,US,CITY,1,CASES
1919,7,EVANSTON,IL,US,CITY,1,CASES
1919,9,EVANSTON,IL,US,CITY,3,CASES
1919,11,EVANSTON,IL,US,CITY,1,CASES
1919,12,EVANSTON,IL,US,CITY,2,CASES
1919,16,EVANSTON,IL,US,CITY,2,CASES
1919,17,EVANSTON,IL,US,CITY,1,CASES
1919,18,EVANSTON,IL,US,CITY,1,CASES
1919,23,EVANSTON,IL,US,CITY,1,CASES
1919,24,EVANSTON,IL,US,CITY,1,CASES
1919,44,EVANSTON,IL,US,CITY,1,CASES
1919,50,EVANSTON,IL,US,CITY,2,CASES
1920,6,EVANSTON,IL,US,CITY,4,CASES
1920,13,EVANSTON,IL,US,CITY,2,CASES
1920,15,EVANSTON,IL,US,CITY,1,CASES
1920,17,EVANSTON,IL,US,CITY,1,CASES
1920,22,EVANSTON,IL,US,CITY,4,CASES
1920,23,EVANSTON,IL,US,CITY,1,CASES
1920,24,EVANSTON,IL,US,CITY,1,CASES
1920,30,EVANSTON,IL,US,CITY,3,CASES
1920,31,EVANSTON,IL,US,CITY,2,CASES
1920,33,EVANSTON,IL,US,CITY,1,CASES
1920,38,EVANSTON,IL,US,CITY,3,CASES
1920,39,EVANSTON,IL,US,CITY,7,CASES
1920,40,EVANSTON,IL,US,CITY,10,CASES
1920,41,EVANSTON,IL,US,CITY,1,CASES
1920,42,EVANSTON,IL,US,CITY,1,CASES
1920,43,EVANSTON,IL,US,CITY,4,CASES
1920,44,EVANSTON,IL,US,CITY,9,CASES
1920,45,EVANSTON,IL,US,CITY,3,CASES
1920,46,EVANSTON,IL,US,CITY,6,CASES
1920,47,EVANSTON,IL,US,CITY,5,CASES
1920,48,EVANSTON,IL,US,CITY,25,CASES
1920,49,EVANSTON,IL,US,CITY,9,CASES
1920,50,EVANSTON,IL,US,CITY,10,CASES
1920,51,EVANSTON,IL,US,CITY,6,CASES
1920,52,EVANSTON,IL,US,CITY,5,CASES
1921,1,EVANSTON,IL,US,CITY,7,CASES
1921,2,EVANSTON,IL,US,CITY,3,CASES
1921,3,EVANSTON,IL,US,CITY,6,CASES
1921,4,EVANSTON,IL,US,CITY,8,CASES
1921,5,EVANSTON,IL,US,CITY,5,CASES
1921,6,EVANSTON,IL,US,CITY,6,CASES
1921,7,EVANSTON,IL,US,CITY,2,CASES
1921,8,EVANSTON,IL,US,CITY,4,CASES
1921,9,EVANSTON,IL,US,CITY,10,CASES
