year,week,loc,state,country,loc_type,number,event
1915,27,EVERETT,WA,US,CITY,11,CASES
1915,31,EVERETT,WA,US,CITY,1,CASES
1915,52,EVERETT,WA,US,CITY,1,CASES
1917,5,EVERETT,WA,US,CITY,1,CASES
1917,6,EVERETT,WA,US,CITY,1,CASES
1917,16,EVERETT,WA,US,CITY,2,CASES
1917,23,EVERETT,WA,US,CITY,1,CASES
1917,26,EVERETT,WA,US,CITY,1,CASES
1918,32,EVERETT,WA,US,CITY,1,CASES
1918,33,EVERETT,WA,US,CITY,1,CASES
1918,36,EVERETT,WA,US,CITY,4,CASES
1918,42,EVERETT,WA,US,CITY,1,CASES
1918,46,EVERETT,WA,US,CITY,1,CASES
1918,51,EVERETT,WA,US,CITY,1,CASES
1919,51,EVERETT,WA,US,CITY,2,CASES
1920,9,EVERETT,WA,US,CITY,1,CASES
1920,10,EVERETT,WA,US,CITY,1,CASES
1920,11,EVERETT,WA,US,CITY,1,CASES
1920,13,EVERETT,WA,US,CITY,1,CASES
1920,28,EVERETT,WA,US,CITY,1,CASES
1920,46,EVERETT,WA,US,CITY,1,CASES
1921,8,EVERETT,WA,US,CITY,1,CASES
1921,9,EVERETT,WA,US,CITY,1,CASES
1921,15,EVERETT,WA,US,CITY,1,CASES
1921,18,EVERETT,WA,US,CITY,1,CASES
1921,23,EVERETT,WA,US,CITY,2,CASES
1921,24,EVERETT,WA,US,CITY,1,CASES
1921,26,EVERETT,WA,US,CITY,1,CASES
1921,36,EVERETT,WA,US,CITY,1,CASES
1921,38,EVERETT,WA,US,CITY,1,CASES
1921,41,EVERETT,WA,US,CITY,1,CASES
1921,51,EVERETT,WA,US,CITY,1,CASES
1921,52,EVERETT,WA,US,CITY,3,CASES
1922,3,EVERETT,WA,US,CITY,10,CASES
1922,5,EVERETT,WA,US,CITY,9,CASES
1922,6,EVERETT,WA,US,CITY,3,CASES
1922,12,EVERETT,WA,US,CITY,1,CASES
1922,14,EVERETT,WA,US,CITY,1,CASES
1922,15,EVERETT,WA,US,CITY,1,CASES
1922,17,EVERETT,WA,US,CITY,1,CASES
1922,18,EVERETT,WA,US,CITY,1,CASES
1922,21,EVERETT,WA,US,CITY,4,CASES
1922,22,EVERETT,WA,US,CITY,1,CASES
1922,23,EVERETT,WA,US,CITY,2,CASES
1922,24,EVERETT,WA,US,CITY,2,CASES
1922,30,EVERETT,WA,US,CITY,5,CASES
1922,31,EVERETT,WA,US,CITY,1,CASES
1922,32,EVERETT,WA,US,CITY,1,CASES
1922,33,EVERETT,WA,US,CITY,1,CASES
1922,40,EVERETT,WA,US,CITY,1,CASES
1922,42,EVERETT,WA,US,CITY,1,CASES
1922,46,EVERETT,WA,US,CITY,1,CASES
1923,5,EVERETT,WA,US,CITY,2,CASES
1923,6,EVERETT,WA,US,CITY,1,CASES
1923,14,EVERETT,WA,US,CITY,1,CASES
1923,48,EVERETT,WA,US,CITY,1,CASES
