year,week,loc,state,country,loc_type,number,event
1914,45,EVERETT,WA,US,CITY,1,CASES
1915,50,EVERETT,WA,US,CITY,1,CASES
1915,51,EVERETT,WA,US,CITY,1,CASES
1916,32,EVERETT,WA,US,CITY,1,CASES
1917,12,EVERETT,WA,US,CITY,1,CASES
1917,40,EVERETT,WA,US,CITY,1,CASES
1917,42,EVERETT,WA,US,CITY,1,CASES
1918,3,EVERETT,WA,US,CITY,3,CASES
1918,7,EVERETT,WA,US,CITY,4,CASES
1918,9,EVERETT,WA,US,CITY,4,CASES
1918,10,EVERETT,WA,US,CITY,3,CASES
1918,15,EVERETT,WA,US,CITY,1,CASES
1918,17,EVERETT,WA,US,CITY,2,CASES
1918,18,EVERETT,WA,US,CITY,1,CASES
1918,24,EVERETT,WA,US,CITY,2,CASES
1918,26,EVERETT,WA,US,CITY,1,CASES
1918,36,EVERETT,WA,US,CITY,1,CASES
1919,14,EVERETT,WA,US,CITY,1,CASES
1919,16,EVERETT,WA,US,CITY,1,CASES
1919,17,EVERETT,WA,US,CITY,6,CASES
1919,19,EVERETT,WA,US,CITY,11,CASES
1919,20,EVERETT,WA,US,CITY,5,CASES
1919,21,EVERETT,WA,US,CITY,2,CASES
1919,22,EVERETT,WA,US,CITY,12,CASES
1919,23,EVERETT,WA,US,CITY,8,CASES
1919,24,EVERETT,WA,US,CITY,9,CASES
1919,25,EVERETT,WA,US,CITY,5,CASES
1919,26,EVERETT,WA,US,CITY,16,CASES
1919,27,EVERETT,WA,US,CITY,8,CASES
1919,28,EVERETT,WA,US,CITY,4,CASES
1919,29,EVERETT,WA,US,CITY,2,CASES
1919,31,EVERETT,WA,US,CITY,2,CASES
1919,33,EVERETT,WA,US,CITY,4,CASES
1919,37,EVERETT,WA,US,CITY,4,CASES
1919,39,EVERETT,WA,US,CITY,3,CASES
1919,40,EVERETT,WA,US,CITY,1,CASES
1919,45,EVERETT,WA,US,CITY,3,CASES
1919,46,EVERETT,WA,US,CITY,1,CASES
1919,47,EVERETT,WA,US,CITY,1,CASES
1919,48,EVERETT,WA,US,CITY,1,CASES
1919,51,EVERETT,WA,US,CITY,2,CASES
1919,52,EVERETT,WA,US,CITY,1,CASES
1919,53,EVERETT,WA,US,CITY,2,CASES
1920,1,EVERETT,WA,US,CITY,4,CASES
1920,2,EVERETT,WA,US,CITY,2,CASES
1920,4,EVERETT,WA,US,CITY,4,CASES
1920,7,EVERETT,WA,US,CITY,2,CASES
1920,8,EVERETT,WA,US,CITY,3,CASES
1920,9,EVERETT,WA,US,CITY,2,CASES
1920,10,EVERETT,WA,US,CITY,1,CASES
1920,11,EVERETT,WA,US,CITY,5,CASES
1920,12,EVERETT,WA,US,CITY,3,CASES
1920,13,EVERETT,WA,US,CITY,1,CASES
1920,16,EVERETT,WA,US,CITY,5,CASES
1920,17,EVERETT,WA,US,CITY,2,CASES
1920,18,EVERETT,WA,US,CITY,9,CASES
1920,20,EVERETT,WA,US,CITY,2,CASES
1920,21,EVERETT,WA,US,CITY,2,CASES
1920,22,EVERETT,WA,US,CITY,9,CASES
1920,25,EVERETT,WA,US,CITY,2,CASES
1920,26,EVERETT,WA,US,CITY,1,CASES
1920,27,EVERETT,WA,US,CITY,1,CASES
1920,28,EVERETT,WA,US,CITY,9,CASES
1920,30,EVERETT,WA,US,CITY,1,CASES
1920,31,EVERETT,WA,US,CITY,2,CASES
1920,33,EVERETT,WA,US,CITY,1,CASES
1920,35,EVERETT,WA,US,CITY,2,CASES
1920,37,EVERETT,WA,US,CITY,1,CASES
1920,48,EVERETT,WA,US,CITY,1,CASES
1921,3,EVERETT,WA,US,CITY,1,CASES
1921,4,EVERETT,WA,US,CITY,1,CASES
1921,5,EVERETT,WA,US,CITY,2,CASES
1921,8,EVERETT,WA,US,CITY,2,CASES
1921,9,EVERETT,WA,US,CITY,1,CASES
1921,10,EVERETT,WA,US,CITY,4,CASES
1921,11,EVERETT,WA,US,CITY,5,CASES
1921,13,EVERETT,WA,US,CITY,4,CASES
1921,15,EVERETT,WA,US,CITY,1,CASES
1921,18,EVERETT,WA,US,CITY,2,CASES
1921,21,EVERETT,WA,US,CITY,2,CASES
1921,26,EVERETT,WA,US,CITY,1,CASES
1921,30,EVERETT,WA,US,CITY,1,CASES
1921,32,EVERETT,WA,US,CITY,1,CASES
1921,35,EVERETT,WA,US,CITY,1,CASES
1921,37,EVERETT,WA,US,CITY,1,CASES
1921,38,EVERETT,WA,US,CITY,1,CASES
1921,52,EVERETT,WA,US,CITY,2,CASES
1922,3,EVERETT,WA,US,CITY,1,CASES
1922,5,EVERETT,WA,US,CITY,1,CASES
1922,9,EVERETT,WA,US,CITY,4,CASES
1922,11,EVERETT,WA,US,CITY,2,CASES
1922,12,EVERETT,WA,US,CITY,7,CASES
1922,14,EVERETT,WA,US,CITY,1,CASES
1922,15,EVERETT,WA,US,CITY,2,CASES
1922,16,EVERETT,WA,US,CITY,1,CASES
1922,17,EVERETT,WA,US,CITY,3,CASES
1922,18,EVERETT,WA,US,CITY,2,CASES
1922,21,EVERETT,WA,US,CITY,1,CASES
1922,22,EVERETT,WA,US,CITY,2,CASES
1922,23,EVERETT,WA,US,CITY,1,CASES
1922,24,EVERETT,WA,US,CITY,1,CASES
1922,26,EVERETT,WA,US,CITY,2,CASES
1922,30,EVERETT,WA,US,CITY,7,CASES
1922,31,EVERETT,WA,US,CITY,1,CASES
1922,32,EVERETT,WA,US,CITY,3,CASES
1922,33,EVERETT,WA,US,CITY,3,CASES
1923,11,EVERETT,WA,US,CITY,2,CASES
1923,12,EVERETT,WA,US,CITY,1,CASES
1923,13,EVERETT,WA,US,CITY,1,CASES
1923,16,EVERETT,WA,US,CITY,1,CASES
1923,24,EVERETT,WA,US,CITY,1,CASES
1923,25,EVERETT,WA,US,CITY,1,CASES
1923,33,EVERETT,WA,US,CITY,3,CASES
1923,34,EVERETT,WA,US,CITY,1,CASES
1923,36,EVERETT,WA,US,CITY,1,CASES
1923,46,EVERETT,WA,US,CITY,1,CASES
1920,29,EVERETT,WA,US,CITY,1,CASES
