year,week,loc,state,country,loc_type,number,event
1906,40,FINDLAY,OH,US,CITY,4,CASES
1906,41,FINDLAY,OH,US,CITY,2,CASES
1906,42,FINDLAY,OH,US,CITY,1,CASES
1906,43,FINDLAY,OH,US,CITY,3,CASES
1906,44,FINDLAY,OH,US,CITY,7,CASES
1906,45,FINDLAY,OH,US,CITY,5,CASES
1906,46,FINDLAY,OH,US,CITY,3,CASES
1906,47,FINDLAY,OH,US,CITY,1,CASES
1906,48,FINDLAY,OH,US,CITY,2,CASES
1906,50,FINDLAY,OH,US,CITY,3,CASES
1906,51,FINDLAY,OH,US,CITY,2,CASES
1907,1,FINDLAY,OH,US,CITY,1,CASES
1907,4,FINDLAY,OH,US,CITY,1,CASES
1907,8,FINDLAY,OH,US,CITY,2,CASES
1907,9,FINDLAY,OH,US,CITY,2,CASES
1907,11,FINDLAY,OH,US,CITY,1,CASES
1907,17,FINDLAY,OH,US,CITY,1,CASES
1907,20,FINDLAY,OH,US,CITY,1,CASES
1907,22,FINDLAY,OH,US,CITY,2,CASES
1907,24,FINDLAY,OH,US,CITY,1,CASES
1907,47,FINDLAY,OH,US,CITY,1,CASES
1907,49,FINDLAY,OH,US,CITY,1,CASES
1907,51,FINDLAY,OH,US,CITY,1,CASES
1908,1,FINDLAY,OH,US,CITY,2,CASES
1908,12,FINDLAY,OH,US,CITY,1,CASES
1908,15,FINDLAY,OH,US,CITY,1,CASES
1908,20,FINDLAY,OH,US,CITY,1,CASES
1908,21,FINDLAY,OH,US,CITY,2,CASES
1908,22,FINDLAY,OH,US,CITY,1,CASES
1908,24,FINDLAY,OH,US,CITY,5,CASES
1908,25,FINDLAY,OH,US,CITY,1,CASES
1908,29,FINDLAY,OH,US,CITY,2,CASES
1908,30,FINDLAY,OH,US,CITY,4,CASES
1908,31,FINDLAY,OH,US,CITY,5,CASES
1908,32,FINDLAY,OH,US,CITY,2,CASES
1908,33,FINDLAY,OH,US,CITY,1,CASES
1908,34,FINDLAY,OH,US,CITY,8,CASES
1908,35,FINDLAY,OH,US,CITY,6,CASES
1908,36,FINDLAY,OH,US,CITY,4,CASES
1908,37,FINDLAY,OH,US,CITY,2,CASES
1908,38,FINDLAY,OH,US,CITY,1,CASES
1908,42,FINDLAY,OH,US,CITY,2,CASES
1908,43,FINDLAY,OH,US,CITY,1,CASES
1908,44,FINDLAY,OH,US,CITY,1,CASES
1908,47,FINDLAY,OH,US,CITY,2,CASES
1908,48,FINDLAY,OH,US,CITY,5,CASES
1908,50,FINDLAY,OH,US,CITY,2,CASES
1909,1,FINDLAY,OH,US,CITY,2,CASES
1909,2,FINDLAY,OH,US,CITY,3,CASES
1909,3,FINDLAY,OH,US,CITY,3,CASES
1909,5,FINDLAY,OH,US,CITY,2,CASES
1909,6,FINDLAY,OH,US,CITY,1,CASES
1909,8,FINDLAY,OH,US,CITY,1,CASES
1909,14,FINDLAY,OH,US,CITY,2,CASES
1909,18,FINDLAY,OH,US,CITY,1,CASES
1909,20,FINDLAY,OH,US,CITY,1,CASES
1909,26,FINDLAY,OH,US,CITY,1,CASES
1909,28,FINDLAY,OH,US,CITY,1,CASES
1909,31,FINDLAY,OH,US,CITY,1,CASES
1909,33,FINDLAY,OH,US,CITY,1,CASES
1909,35,FINDLAY,OH,US,CITY,1,CASES
1909,36,FINDLAY,OH,US,CITY,3,CASES
1909,37,FINDLAY,OH,US,CITY,1,CASES
1909,39,FINDLAY,OH,US,CITY,1,CASES
1909,40,FINDLAY,OH,US,CITY,1,CASES
1909,42,FINDLAY,OH,US,CITY,1,CASES
1909,44,FINDLAY,OH,US,CITY,4,CASES
1909,49,FINDLAY,OH,US,CITY,1,CASES
1918,20,FINDLAY,OH,US,CITY,1,CASES
1918,25,FINDLAY,OH,US,CITY,1,CASES
1918,29,FINDLAY,OH,US,CITY,1,CASES
1918,39,FINDLAY,OH,US,CITY,1,CASES
1918,42,FINDLAY,OH,US,CITY,3,CASES
1918,46,FINDLAY,OH,US,CITY,3,CASES
1919,1,FINDLAY,OH,US,CITY,1,CASES
1919,10,FINDLAY,OH,US,CITY,1,CASES
1919,11,FINDLAY,OH,US,CITY,1,CASES
1919,43,FINDLAY,OH,US,CITY,1,CASES
1919,49,FINDLAY,OH,US,CITY,2,CASES
1920,4,FINDLAY,OH,US,CITY,2,CASES
1920,6,FINDLAY,OH,US,CITY,1,CASES
1920,13,FINDLAY,OH,US,CITY,1,CASES
1920,15,FINDLAY,OH,US,CITY,3,CASES
1920,16,FINDLAY,OH,US,CITY,4,CASES
1920,17,FINDLAY,OH,US,CITY,3,CASES
1920,18,FINDLAY,OH,US,CITY,2,CASES
1920,20,FINDLAY,OH,US,CITY,2,CASES
1920,23,FINDLAY,OH,US,CITY,1,CASES
1920,33,FINDLAY,OH,US,CITY,1,CASES
1920,47,FINDLAY,OH,US,CITY,1,CASES
1920,48,FINDLAY,OH,US,CITY,1,CASES
1920,52,FINDLAY,OH,US,CITY,2,CASES
1921,1,FINDLAY,OH,US,CITY,1,CASES
1921,4,FINDLAY,OH,US,CITY,3,CASES
1921,5,FINDLAY,OH,US,CITY,1,CASES
1921,6,FINDLAY,OH,US,CITY,1,CASES
1921,10,FINDLAY,OH,US,CITY,10,CASES
1921,11,FINDLAY,OH,US,CITY,1,CASES
1921,12,FINDLAY,OH,US,CITY,2,CASES
1921,16,FINDLAY,OH,US,CITY,2,CASES
1921,41,FINDLAY,OH,US,CITY,1,CASES
1921,42,FINDLAY,OH,US,CITY,1,CASES
1921,47,FINDLAY,OH,US,CITY,1,CASES
1922,4,FINDLAY,OH,US,CITY,1,CASES
1922,11,FINDLAY,OH,US,CITY,1,CASES
1922,15,FINDLAY,OH,US,CITY,2,CASES
1922,17,FINDLAY,OH,US,CITY,1,CASES
1922,25,FINDLAY,OH,US,CITY,1,CASES
1922,50,FINDLAY,OH,US,CITY,1,CASES
1923,13,FINDLAY,OH,US,CITY,2,CASES
1923,18,FINDLAY,OH,US,CITY,1,CASES
1923,38,FINDLAY,OH,US,CITY,2,CASES
1923,39,FINDLAY,OH,US,CITY,2,CASES
1923,41,FINDLAY,OH,US,CITY,1,CASES
1923,43,FINDLAY,OH,US,CITY,1,CASES
1923,47,FINDLAY,OH,US,CITY,1,CASES
1923,48,FINDLAY,OH,US,CITY,1,CASES
1923,49,FINDLAY,OH,US,CITY,2,CASES
1923,50,FINDLAY,OH,US,CITY,3,CASES
1923,51,FINDLAY,OH,US,CITY,5,CASES
1923,52,FINDLAY,OH,US,CITY,4,CASES
1909,13,FINDLAY,OH,US,CITY,1,CASES
