year,week,loc,state,country,loc_type,number,event
1902,4,FOND DU LAC,WI,US,CITY,1,CASES
1918,22,FOND DU LAC,WI,US,CITY,1,CASES
1918,23,FOND DU LAC,WI,US,CITY,1,CASES
1918,26,FOND DU LAC,WI,US,CITY,3,CASES
1918,27,FOND DU LAC,WI,US,CITY,1,CASES
1918,28,FOND DU LAC,WI,US,CITY,1,CASES
1918,29,FOND DU LAC,WI,US,CITY,3,CASES
1918,30,FOND DU LAC,WI,US,CITY,1,CASES
1918,49,FOND DU LAC,WI,US,CITY,1,CASES
1919,16,FOND DU LAC,WI,US,CITY,1,CASES
1919,18,FOND DU LAC,WI,US,CITY,1,CASES
1919,19,FOND DU LAC,WI,US,CITY,1,CASES
1919,21,FOND DU LAC,WI,US,CITY,1,CASES
1919,22,FOND DU LAC,WI,US,CITY,4,CASES
1919,23,FOND DU LAC,WI,US,CITY,2,CASES
1919,24,FOND DU LAC,WI,US,CITY,1,CASES
1919,25,FOND DU LAC,WI,US,CITY,8,CASES
1919,27,FOND DU LAC,WI,US,CITY,3,CASES
1919,29,FOND DU LAC,WI,US,CITY,2,CASES
1919,35,FOND DU LAC,WI,US,CITY,2,CASES
1919,36,FOND DU LAC,WI,US,CITY,1,CASES
1919,37,FOND DU LAC,WI,US,CITY,2,CASES
1919,38,FOND DU LAC,WI,US,CITY,3,CASES
1919,39,FOND DU LAC,WI,US,CITY,2,CASES
1919,40,FOND DU LAC,WI,US,CITY,1,CASES
1919,41,FOND DU LAC,WI,US,CITY,5,CASES
1919,42,FOND DU LAC,WI,US,CITY,3,CASES
1919,43,FOND DU LAC,WI,US,CITY,4,CASES
1919,44,FOND DU LAC,WI,US,CITY,6,CASES
1919,45,FOND DU LAC,WI,US,CITY,39,CASES
1919,46,FOND DU LAC,WI,US,CITY,16,CASES
1919,47,FOND DU LAC,WI,US,CITY,14,CASES
1919,48,FOND DU LAC,WI,US,CITY,13,CASES
1919,49,FOND DU LAC,WI,US,CITY,24,CASES
1919,50,FOND DU LAC,WI,US,CITY,18,CASES
1919,51,FOND DU LAC,WI,US,CITY,15,CASES
1919,53,FOND DU LAC,WI,US,CITY,32,CASES
1920,2,FOND DU LAC,WI,US,CITY,19,CASES
1920,3,FOND DU LAC,WI,US,CITY,9,CASES
1920,4,FOND DU LAC,WI,US,CITY,16,CASES
1920,5,FOND DU LAC,WI,US,CITY,5,CASES
1920,7,FOND DU LAC,WI,US,CITY,4,CASES
1920,8,FOND DU LAC,WI,US,CITY,2,CASES
1920,9,FOND DU LAC,WI,US,CITY,1,CASES
1920,10,FOND DU LAC,WI,US,CITY,6,CASES
1920,11,FOND DU LAC,WI,US,CITY,2,CASES
1920,13,FOND DU LAC,WI,US,CITY,3,CASES
1920,14,FOND DU LAC,WI,US,CITY,1,CASES
1920,15,FOND DU LAC,WI,US,CITY,2,CASES
1920,16,FOND DU LAC,WI,US,CITY,2,CASES
1920,17,FOND DU LAC,WI,US,CITY,1,CASES
1920,18,FOND DU LAC,WI,US,CITY,2,CASES
1920,20,FOND DU LAC,WI,US,CITY,3,CASES
1920,23,FOND DU LAC,WI,US,CITY,1,CASES
1920,24,FOND DU LAC,WI,US,CITY,1,CASES
1920,31,FOND DU LAC,WI,US,CITY,1,CASES
1920,37,FOND DU LAC,WI,US,CITY,2,CASES
1920,41,FOND DU LAC,WI,US,CITY,1,CASES
1921,3,FOND DU LAC,WI,US,CITY,1,CASES
1921,6,FOND DU LAC,WI,US,CITY,1,CASES
1921,17,FOND DU LAC,WI,US,CITY,1,CASES
1921,25,FOND DU LAC,WI,US,CITY,1,CASES
1922,14,FOND DU LAC,WI,US,CITY,1,CASES
1923,43,FOND DU LAC,WI,US,CITY,1,CASES
