year,week,loc,state,country,loc_type,number,event
1918,21,FORT SCOTT,KS,US,CITY,1,CASES
1919,11,FORT SCOTT,KS,US,CITY,1,CASES
1919,16,FORT SCOTT,KS,US,CITY,1,CASES
1919,22,FORT SCOTT,KS,US,CITY,1,CASES
1920,4,FORT SCOTT,KS,US,CITY,1,CASES
1920,15,FORT SCOTT,KS,US,CITY,1,CASES
1920,51,FORT SCOTT,KS,US,CITY,1,CASES
1921,2,FORT SCOTT,KS,US,CITY,2,CASES
1921,3,FORT SCOTT,KS,US,CITY,1,CASES
1921,9,FORT SCOTT,KS,US,CITY,2,CASES
1921,23,FORT SCOTT,KS,US,CITY,3,CASES
1921,33,FORT SCOTT,KS,US,CITY,3,CASES
1921,35,FORT SCOTT,KS,US,CITY,3,CASES
1921,38,FORT SCOTT,KS,US,CITY,1,CASES
1921,40,FORT SCOTT,KS,US,CITY,1,CASES
1921,41,FORT SCOTT,KS,US,CITY,3,CASES
1921,42,FORT SCOTT,KS,US,CITY,1,CASES
1921,43,FORT SCOTT,KS,US,CITY,5,CASES
1921,44,FORT SCOTT,KS,US,CITY,2,CASES
1921,45,FORT SCOTT,KS,US,CITY,1,CASES
1921,47,FORT SCOTT,KS,US,CITY,2,CASES
1921,49,FORT SCOTT,KS,US,CITY,1,CASES
1921,50,FORT SCOTT,KS,US,CITY,1,CASES
1921,51,FORT SCOTT,KS,US,CITY,2,CASES
1922,1,FORT SCOTT,KS,US,CITY,1,CASES
1922,2,FORT SCOTT,KS,US,CITY,1,CASES
1922,4,FORT SCOTT,KS,US,CITY,2,CASES
1922,7,FORT SCOTT,KS,US,CITY,1,CASES
1922,16,FORT SCOTT,KS,US,CITY,1,CASES
1922,44,FORT SCOTT,KS,US,CITY,1,CASES
1922,46,FORT SCOTT,KS,US,CITY,3,CASES
1922,47,FORT SCOTT,KS,US,CITY,2,CASES
1922,48,FORT SCOTT,KS,US,CITY,3,CASES
1922,49,FORT SCOTT,KS,US,CITY,2,CASES
1923,9,FORT SCOTT,KS,US,CITY,1,CASES
1923,10,FORT SCOTT,KS,US,CITY,1,CASES
1923,16,FORT SCOTT,KS,US,CITY,1,CASES
1923,46,FORT SCOTT,KS,US,CITY,1,CASES
1923,48,FORT SCOTT,KS,US,CITY,1,CASES
