year,week,loc,state,country,loc_type,number,event
1922,31,FORT SMITH,AR,US,CITY,1,CASES
1923,41,FORT SMITH,AR,US,CITY,1,CASES
1925,24,FORT SMITH,AR,US,CITY,0,CASES
1925,31,FORT SMITH,AR,US,CITY,0,CASES
1925,37,FORT SMITH,AR,US,CITY,1,CASES
1926,28,FORT SMITH,AR,US,CITY,0,CASES
1927,31,FORT SMITH,AR,US,CITY,1,CASES
1927,34,FORT SMITH,AR,US,CITY,0,CASES
1927,46,FORT SMITH,AR,US,CITY,0,CASES
1928,20,FORT SMITH,AR,US,CITY,0,CASES
1928,21,FORT SMITH,AR,US,CITY,0,CASES
1928,22,FORT SMITH,AR,US,CITY,0,CASES
1928,23,FORT SMITH,AR,US,CITY,0,CASES
1928,32,FORT SMITH,AR,US,CITY,0,CASES
1928,36,FORT SMITH,AR,US,CITY,1,CASES
1929,15,FORT SMITH,AR,US,CITY,0,CASES
1930,11,FORT SMITH,AR,US,CITY,0,CASES
1930,13,FORT SMITH,AR,US,CITY,0,CASES
1930,14,FORT SMITH,AR,US,CITY,0,CASES
1930,18,FORT SMITH,AR,US,CITY,0,CASES
1931,4,FORT SMITH,AR,US,CITY,0,CASES
1931,23,FORT SMITH,AR,US,CITY,0,CASES
1931,24,FORT SMITH,AR,US,CITY,0,CASES
1931,33,FORT SMITH,AR,US,CITY,0,CASES
1932,19,FORT SMITH,AR,US,CITY,0,CASES
1932,23,FORT SMITH,AR,US,CITY,0,CASES
1932,29,FORT SMITH,AR,US,CITY,1,CASES
1933,15,FORT SMITH,AR,US,CITY,0,CASES
1934,14,FORT SMITH,AR,US,CITY,0,CASES
1934,15,FORT SMITH,AR,US,CITY,0,CASES
1934,16,FORT SMITH,AR,US,CITY,0,CASES
1935,20,FORT SMITH,AR,US,CITY,0,CASES
1935,25,FORT SMITH,AR,US,CITY,0,CASES
1935,26,FORT SMITH,AR,US,CITY,0,CASES
1935,39,FORT SMITH,AR,US,CITY,0,CASES
1936,2,FORT SMITH,AR,US,CITY,0,CASES
1936,3,FORT SMITH,AR,US,CITY,0,CASES
1936,11,FORT SMITH,AR,US,CITY,0,CASES
1936,13,FORT SMITH,AR,US,CITY,0,CASES
1936,43,FORT SMITH,AR,US,CITY,1,CASES
1936,44,FORT SMITH,AR,US,CITY,1,CASES
1936,45,FORT SMITH,AR,US,CITY,1,CASES
1936,48,FORT SMITH,AR,US,CITY,1,CASES
1936,49,FORT SMITH,AR,US,CITY,2,CASES
1936,51,FORT SMITH,AR,US,CITY,0,CASES
1937,3,FORT SMITH,AR,US,CITY,1,CASES
1937,27,FORT SMITH,AR,US,CITY,0,CASES
1937,28,FORT SMITH,AR,US,CITY,0,CASES
1937,29,FORT SMITH,AR,US,CITY,1,CASES
1937,36,FORT SMITH,AR,US,CITY,1,CASES
1938,19,FORT SMITH,AR,US,CITY,0,CASES
1938,46,FORT SMITH,AR,US,CITY,0,CASES
1939,20,FORT SMITH,AR,US,CITY,0,CASES
1939,26,FORT SMITH,AR,US,CITY,0,CASES
1940,28,FORT SMITH,AR,US,CITY,1,CASES
1941,38,FORT SMITH,AR,US,CITY,1,CASES
1941,40,FORT SMITH,AR,US,CITY,1,CASES
