year,week,loc,state,country,loc_type,number,event
1912,13,FORT WAYNE,IN,US,CITY,1,CASES
1912,16,FORT WAYNE,IN,US,CITY,1,CASES
1912,26,FORT WAYNE,IN,US,CITY,1,CASES
1917,21,FORT WAYNE,IN,US,CITY,1,CASES
1917,22,FORT WAYNE,IN,US,CITY,1,CASES
1917,23,FORT WAYNE,IN,US,CITY,1,CASES
1917,33,FORT WAYNE,IN,US,CITY,1,CASES
1917,37,FORT WAYNE,IN,US,CITY,1,CASES
1917,41,FORT WAYNE,IN,US,CITY,1,CASES
1918,7,FORT WAYNE,IN,US,CITY,1,CASES
1918,12,FORT WAYNE,IN,US,CITY,1,CASES
1918,16,FORT WAYNE,IN,US,CITY,1,CASES
1919,40,FORT WAYNE,IN,US,CITY,1,CASES
1919,52,FORT WAYNE,IN,US,CITY,1,CASES
1920,4,FORT WAYNE,IN,US,CITY,1,CASES
1920,9,FORT WAYNE,IN,US,CITY,1,CASES
1922,20,FORT WAYNE,IN,US,CITY,1,CASES
1924,9,FORT WAYNE,IN,US,CITY,1,CASES
1924,30,FORT WAYNE,IN,US,CITY,0,CASES
1924,34,FORT WAYNE,IN,US,CITY,0,CASES
1924,35,FORT WAYNE,IN,US,CITY,0,CASES
1924,38,FORT WAYNE,IN,US,CITY,0,CASES
1925,9,FORT WAYNE,IN,US,CITY,0,CASES
1925,10,FORT WAYNE,IN,US,CITY,1,CASES
