year,week,loc,state,country,loc_type,number,event
1918,46,FRANKFORT,IN,US,CITY,1,CASES
1920,44,FRANKFORT,IN,US,CITY,2,CASES
1920,49,FRANKFORT,IN,US,CITY,3,CASES
1920,50,FRANKFORT,IN,US,CITY,6,CASES
1920,51,FRANKFORT,IN,US,CITY,3,CASES
1920,52,FRANKFORT,IN,US,CITY,3,CASES
1921,1,FRANKFORT,IN,US,CITY,8,CASES
1921,2,FRANKFORT,IN,US,CITY,5,CASES
1921,3,FRANKFORT,IN,US,CITY,13,CASES
1921,4,FRANKFORT,IN,US,CITY,1,CASES
1921,5,FRANKFORT,IN,US,CITY,7,CASES
1921,6,FRANKFORT,IN,US,CITY,5,CASES
1921,7,FRANKFORT,IN,US,CITY,1,CASES
1921,8,FRANKFORT,IN,US,CITY,3,CASES
1921,9,FRANKFORT,IN,US,CITY,5,CASES
1921,12,FRANKFORT,IN,US,CITY,3,CASES
1921,13,FRANKFORT,IN,US,CITY,1,CASES
1921,14,FRANKFORT,IN,US,CITY,1,CASES
1921,16,FRANKFORT,IN,US,CITY,1,CASES
1922,29,FRANKFORT,IN,US,CITY,1,CASES
1922,31,FRANKFORT,IN,US,CITY,1,CASES
1923,19,FRANKFORT,IN,US,CITY,1,CASES
1923,21,FRANKFORT,IN,US,CITY,1,CASES
