year,week,loc,state,country,loc_type,number,event
1907,4,FREEPORT,IL,US,CITY,1,CASES
1907,5,FREEPORT,IL,US,CITY,1,CASES
1909,48,FREEPORT,IL,US,CITY,3,CASES
1909,50,FREEPORT,IL,US,CITY,1,CASES
1909,51,FREEPORT,IL,US,CITY,50,CASES
1910,2,FREEPORT,IL,US,CITY,10,CASES
1910,5,FREEPORT,IL,US,CITY,1,CASES
1910,6,FREEPORT,IL,US,CITY,2,CASES
1910,7,FREEPORT,IL,US,CITY,2,CASES
1910,10,FREEPORT,IL,US,CITY,1,CASES
1910,12,FREEPORT,IL,US,CITY,2,CASES
1910,13,FREEPORT,IL,US,CITY,3,CASES
1910,15,FREEPORT,IL,US,CITY,1,CASES
1910,18,FREEPORT,IL,US,CITY,1,CASES
1910,26,FREEPORT,IL,US,CITY,1,CASES
1910,28,FREEPORT,IL,US,CITY,1,CASES
1910,36,FREEPORT,IL,US,CITY,1,CASES
1911,1,FREEPORT,IL,US,CITY,2,CASES
1911,2,FREEPORT,IL,US,CITY,1,CASES
1911,15,FREEPORT,IL,US,CITY,1,CASES
1911,17,FREEPORT,IL,US,CITY,3,CASES
1911,18,FREEPORT,IL,US,CITY,1,CASES
1919,2,FREEPORT,IL,US,CITY,2,CASES
1919,5,FREEPORT,IL,US,CITY,1,CASES
1919,43,FREEPORT,IL,US,CITY,2,CASES
1919,48,FREEPORT,IL,US,CITY,2,CASES
1919,52,FREEPORT,IL,US,CITY,1,CASES
1920,1,FREEPORT,IL,US,CITY,2,CASES
1920,6,FREEPORT,IL,US,CITY,2,CASES
1920,7,FREEPORT,IL,US,CITY,1,CASES
1920,8,FREEPORT,IL,US,CITY,1,CASES
1920,14,FREEPORT,IL,US,CITY,1,CASES
1920,44,FREEPORT,IL,US,CITY,4,CASES
1920,45,FREEPORT,IL,US,CITY,1,CASES
1920,46,FREEPORT,IL,US,CITY,2,CASES
1920,49,FREEPORT,IL,US,CITY,1,CASES
1920,52,FREEPORT,IL,US,CITY,2,CASES
1921,2,FREEPORT,IL,US,CITY,1,CASES
1921,6,FREEPORT,IL,US,CITY,3,CASES
1921,8,FREEPORT,IL,US,CITY,1,CASES
1921,11,FREEPORT,IL,US,CITY,1,CASES
1921,13,FREEPORT,IL,US,CITY,1,CASES
1921,18,FREEPORT,IL,US,CITY,2,CASES
1921,19,FREEPORT,IL,US,CITY,3,CASES
1921,20,FREEPORT,IL,US,CITY,1,CASES
1921,21,FREEPORT,IL,US,CITY,4,CASES
1921,24,FREEPORT,IL,US,CITY,2,CASES
1921,26,FREEPORT,IL,US,CITY,1,CASES
1921,28,FREEPORT,IL,US,CITY,3,CASES
1921,30,FREEPORT,IL,US,CITY,2,CASES
1921,34,FREEPORT,IL,US,CITY,1,CASES
1921,35,FREEPORT,IL,US,CITY,1,CASES
1921,37,FREEPORT,IL,US,CITY,1,CASES
1921,38,FREEPORT,IL,US,CITY,2,CASES
1921,39,FREEPORT,IL,US,CITY,3,CASES
1921,40,FREEPORT,IL,US,CITY,9,CASES
1921,41,FREEPORT,IL,US,CITY,6,CASES
1921,42,FREEPORT,IL,US,CITY,5,CASES
1921,44,FREEPORT,IL,US,CITY,5,CASES
1921,45,FREEPORT,IL,US,CITY,9,CASES
1921,49,FREEPORT,IL,US,CITY,6,CASES
1921,50,FREEPORT,IL,US,CITY,2,CASES
1921,51,FREEPORT,IL,US,CITY,5,CASES
1921,52,FREEPORT,IL,US,CITY,6,CASES
1922,1,FREEPORT,IL,US,CITY,6,CASES
1922,2,FREEPORT,IL,US,CITY,5,CASES
1922,3,FREEPORT,IL,US,CITY,5,CASES
1922,4,FREEPORT,IL,US,CITY,10,CASES
1922,5,FREEPORT,IL,US,CITY,2,CASES
1922,6,FREEPORT,IL,US,CITY,1,CASES
1922,7,FREEPORT,IL,US,CITY,5,CASES
1922,9,FREEPORT,IL,US,CITY,1,CASES
1922,11,FREEPORT,IL,US,CITY,1,CASES
1922,12,FREEPORT,IL,US,CITY,2,CASES
1922,14,FREEPORT,IL,US,CITY,1,CASES
1922,16,FREEPORT,IL,US,CITY,1,CASES
1922,19,FREEPORT,IL,US,CITY,1,CASES
1922,22,FREEPORT,IL,US,CITY,1,CASES
1922,25,FREEPORT,IL,US,CITY,2,CASES
1922,31,FREEPORT,IL,US,CITY,1,CASES
1922,32,FREEPORT,IL,US,CITY,1,CASES
1922,34,FREEPORT,IL,US,CITY,1,CASES
1922,35,FREEPORT,IL,US,CITY,1,CASES
1922,36,FREEPORT,IL,US,CITY,3,CASES
1922,37,FREEPORT,IL,US,CITY,1,CASES
1922,38,FREEPORT,IL,US,CITY,1,CASES
1922,40,FREEPORT,IL,US,CITY,10,CASES
1922,41,FREEPORT,IL,US,CITY,3,CASES
1922,42,FREEPORT,IL,US,CITY,3,CASES
1922,43,FREEPORT,IL,US,CITY,3,CASES
1922,44,FREEPORT,IL,US,CITY,5,CASES
1922,45,FREEPORT,IL,US,CITY,6,CASES
1922,46,FREEPORT,IL,US,CITY,5,CASES
1922,47,FREEPORT,IL,US,CITY,4,CASES
1922,49,FREEPORT,IL,US,CITY,6,CASES
1923,1,FREEPORT,IL,US,CITY,7,CASES
1923,2,FREEPORT,IL,US,CITY,2,CASES
1923,3,FREEPORT,IL,US,CITY,5,CASES
1923,4,FREEPORT,IL,US,CITY,4,CASES
1923,5,FREEPORT,IL,US,CITY,3,CASES
1923,6,FREEPORT,IL,US,CITY,2,CASES
1923,11,FREEPORT,IL,US,CITY,3,CASES
1923,21,FREEPORT,IL,US,CITY,1,CASES
1923,29,FREEPORT,IL,US,CITY,1,CASES
1923,34,FREEPORT,IL,US,CITY,1,CASES
1923,39,FREEPORT,IL,US,CITY,1,CASES
1923,41,FREEPORT,IL,US,CITY,2,CASES
1923,43,FREEPORT,IL,US,CITY,1,CASES
1923,46,FREEPORT,IL,US,CITY,1,CASES
1923,47,FREEPORT,IL,US,CITY,3,CASES
1923,48,FREEPORT,IL,US,CITY,1,CASES
1923,52,FREEPORT,IL,US,CITY,1,CASES
