year,week,loc,state,country,loc_type,number,event
1906,40,GALESBURG,IL,US,CITY,1,CASES
1906,42,GALESBURG,IL,US,CITY,1,CASES
1906,43,GALESBURG,IL,US,CITY,1,CASES
1906,44,GALESBURG,IL,US,CITY,1,CASES
1906,45,GALESBURG,IL,US,CITY,1,CASES
1906,46,GALESBURG,IL,US,CITY,1,CASES
1906,47,GALESBURG,IL,US,CITY,1,CASES
1906,51,GALESBURG,IL,US,CITY,1,CASES
1906,52,GALESBURG,IL,US,CITY,3,CASES
1907,1,GALESBURG,IL,US,CITY,3,CASES
1907,2,GALESBURG,IL,US,CITY,6,CASES
1907,3,GALESBURG,IL,US,CITY,11,CASES
1907,4,GALESBURG,IL,US,CITY,1,CASES
1907,5,GALESBURG,IL,US,CITY,2,CASES
1907,6,GALESBURG,IL,US,CITY,1,CASES
1907,7,GALESBURG,IL,US,CITY,2,CASES
1907,8,GALESBURG,IL,US,CITY,3,CASES
1907,10,GALESBURG,IL,US,CITY,2,CASES
1907,11,GALESBURG,IL,US,CITY,4,CASES
1907,12,GALESBURG,IL,US,CITY,2,CASES
1907,14,GALESBURG,IL,US,CITY,2,CASES
1907,15,GALESBURG,IL,US,CITY,2,CASES
1907,16,GALESBURG,IL,US,CITY,5,CASES
1907,17,GALESBURG,IL,US,CITY,6,CASES
1907,18,GALESBURG,IL,US,CITY,7,CASES
1907,19,GALESBURG,IL,US,CITY,8,CASES
1907,20,GALESBURG,IL,US,CITY,4,CASES
1907,21,GALESBURG,IL,US,CITY,1,CASES
1907,22,GALESBURG,IL,US,CITY,5,CASES
1907,23,GALESBURG,IL,US,CITY,1,CASES
1907,26,GALESBURG,IL,US,CITY,3,CASES
1907,27,GALESBURG,IL,US,CITY,3,CASES
1907,28,GALESBURG,IL,US,CITY,3,CASES
1907,29,GALESBURG,IL,US,CITY,5,CASES
1907,30,GALESBURG,IL,US,CITY,5,CASES
1907,43,GALESBURG,IL,US,CITY,1,CASES
1907,44,GALESBURG,IL,US,CITY,1,CASES
1908,3,GALESBURG,IL,US,CITY,1,CASES
1908,4,GALESBURG,IL,US,CITY,1,CASES
1908,6,GALESBURG,IL,US,CITY,1,CASES
1908,7,GALESBURG,IL,US,CITY,2,CASES
1908,8,GALESBURG,IL,US,CITY,2,CASES
1908,9,GALESBURG,IL,US,CITY,1,CASES
1908,10,GALESBURG,IL,US,CITY,3,CASES
1908,11,GALESBURG,IL,US,CITY,3,CASES
1908,12,GALESBURG,IL,US,CITY,3,CASES
1908,13,GALESBURG,IL,US,CITY,2,CASES
1908,15,GALESBURG,IL,US,CITY,1,CASES
1908,16,GALESBURG,IL,US,CITY,3,CASES
1908,17,GALESBURG,IL,US,CITY,3,CASES
1908,18,GALESBURG,IL,US,CITY,1,CASES
1908,19,GALESBURG,IL,US,CITY,2,CASES
1908,20,GALESBURG,IL,US,CITY,3,CASES
1908,21,GALESBURG,IL,US,CITY,2,CASES
1908,22,GALESBURG,IL,US,CITY,1,CASES
1908,28,GALESBURG,IL,US,CITY,1,CASES
1908,29,GALESBURG,IL,US,CITY,1,CASES
1908,37,GALESBURG,IL,US,CITY,1,CASES
1908,37,GALESBURG,IL,US,CITY,1,CASES
1908,38,GALESBURG,IL,US,CITY,1,CASES
1908,39,GALESBURG,IL,US,CITY,1,CASES
1908,36,GALESBURG,IL,US,CITY,1,CASES
1908,40,GALESBURG,IL,US,CITY,1,CASES
1908,41,GALESBURG,IL,US,CITY,1,CASES
1908,42,GALESBURG,IL,US,CITY,2,CASES
1908,43,GALESBURG,IL,US,CITY,3,CASES
1908,44,GALESBURG,IL,US,CITY,2,CASES
1908,45,GALESBURG,IL,US,CITY,4,CASES
1908,46,GALESBURG,IL,US,CITY,4,CASES
1908,47,GALESBURG,IL,US,CITY,4,CASES
1908,48,GALESBURG,IL,US,CITY,3,CASES
1908,49,GALESBURG,IL,US,CITY,2,CASES
1908,53,GALESBURG,IL,US,CITY,1,CASES
1909,1,GALESBURG,IL,US,CITY,1,CASES
1909,2,GALESBURG,IL,US,CITY,1,CASES
1909,3,GALESBURG,IL,US,CITY,1,CASES
1909,5,GALESBURG,IL,US,CITY,2,CASES
1909,6,GALESBURG,IL,US,CITY,2,CASES
1909,8,GALESBURG,IL,US,CITY,4,CASES
1909,8,GALESBURG,IL,US,CITY,2,CASES
1909,9,GALESBURG,IL,US,CITY,2,CASES
1909,10,GALESBURG,IL,US,CITY,1,CASES
1909,11,GALESBURG,IL,US,CITY,1,CASES
1909,14,GALESBURG,IL,US,CITY,1,CASES
1909,18,GALESBURG,IL,US,CITY,1,CASES
1909,19,GALESBURG,IL,US,CITY,1,CASES
1909,21,GALESBURG,IL,US,CITY,3,CASES
1909,22,GALESBURG,IL,US,CITY,1,CASES
1909,23,GALESBURG,IL,US,CITY,2,CASES
1909,33,GALESBURG,IL,US,CITY,1,CASES
1909,36,GALESBURG,IL,US,CITY,2,CASES
1909,37,GALESBURG,IL,US,CITY,5,CASES
1909,38,GALESBURG,IL,US,CITY,4,CASES
1909,47,GALESBURG,IL,US,CITY,1,CASES
1909,49,GALESBURG,IL,US,CITY,1,CASES
1909,51,GALESBURG,IL,US,CITY,1,CASES
1909,48,GALESBURG,IL,US,CITY,1,CASES
1909,51,GALESBURG,IL,US,CITY,1,CASES
1910,1,GALESBURG,IL,US,CITY,7,CASES
1910,2,GALESBURG,IL,US,CITY,3,CASES
1910,3,GALESBURG,IL,US,CITY,1,CASES
1910,9,GALESBURG,IL,US,CITY,1,CASES
1910,10,GALESBURG,IL,US,CITY,2,CASES
1910,11,GALESBURG,IL,US,CITY,2,CASES
1910,13,GALESBURG,IL,US,CITY,3,CASES
1910,16,GALESBURG,IL,US,CITY,4,CASES
1910,17,GALESBURG,IL,US,CITY,8,CASES
1910,18,GALESBURG,IL,US,CITY,2,CASES
1910,19,GALESBURG,IL,US,CITY,2,CASES
1910,20,GALESBURG,IL,US,CITY,5,CASES
1910,21,GALESBURG,IL,US,CITY,2,CASES
1910,22,GALESBURG,IL,US,CITY,5,CASES
