year,week,loc,state,country,loc_type,number,event
1919,1,GLOVERSVILLE,NY,US,CITY,1,CASES
1919,15,GLOVERSVILLE,NY,US,CITY,1,CASES
1919,16,GLOVERSVILLE,NY,US,CITY,4,CASES
1919,17,GLOVERSVILLE,NY,US,CITY,4,CASES
1919,21,GLOVERSVILLE,NY,US,CITY,1,CASES
1919,22,GLOVERSVILLE,NY,US,CITY,15,CASES
1919,23,GLOVERSVILLE,NY,US,CITY,29,CASES
1919,24,GLOVERSVILLE,NY,US,CITY,23,CASES
1919,27,GLOVERSVILLE,NY,US,CITY,14,CASES
1919,28,GLOVERSVILLE,NY,US,CITY,18,CASES
1919,29,GLOVERSVILLE,NY,US,CITY,10,CASES
1919,36,GLOVERSVILLE,NY,US,CITY,3,CASES
