year,week,loc,state,country,loc_type,number,event
1918,22,GREENFIELD,MA,US,CITY,1,CASES
1918,32,GREENFIELD,MA,US,CITY,2,CASES
1918,33,GREENFIELD,MA,US,CITY,3,CASES
1918,34,GREENFIELD,MA,US,CITY,2,CASES
1918,38,GREENFIELD,MA,US,CITY,2,CASES
1918,43,GREENFIELD,MA,US,CITY,1,CASES
1918,44,GREENFIELD,MA,US,CITY,1,CASES
1918,45,GREENFIELD,MA,US,CITY,2,CASES
1918,47,GREENFIELD,MA,US,CITY,3,CASES
1918,48,GREENFIELD,MA,US,CITY,1,CASES
1918,49,GREENFIELD,MA,US,CITY,1,CASES
1918,50,GREENFIELD,MA,US,CITY,3,CASES
1919,1,GREENFIELD,MA,US,CITY,1,CASES
1919,2,GREENFIELD,MA,US,CITY,1,CASES
1919,3,GREENFIELD,MA,US,CITY,1,CASES
1919,4,GREENFIELD,MA,US,CITY,1,CASES
1919,6,GREENFIELD,MA,US,CITY,1,CASES
1919,7,GREENFIELD,MA,US,CITY,1,CASES
1919,8,GREENFIELD,MA,US,CITY,1,CASES
1919,14,GREENFIELD,MA,US,CITY,1,CASES
1919,18,GREENFIELD,MA,US,CITY,2,CASES
1919,22,GREENFIELD,MA,US,CITY,2,CASES
1919,27,GREENFIELD,MA,US,CITY,1,CASES
1919,30,GREENFIELD,MA,US,CITY,1,CASES
1919,35,GREENFIELD,MA,US,CITY,1,CASES
1919,44,GREENFIELD,MA,US,CITY,1,CASES
1919,46,GREENFIELD,MA,US,CITY,3,CASES
1919,47,GREENFIELD,MA,US,CITY,1,CASES
1919,50,GREENFIELD,MA,US,CITY,1,CASES
1919,52,GREENFIELD,MA,US,CITY,1,CASES
1919,53,GREENFIELD,MA,US,CITY,1,CASES
1920,7,GREENFIELD,MA,US,CITY,6,CASES
1920,8,GREENFIELD,MA,US,CITY,6,CASES
1920,9,GREENFIELD,MA,US,CITY,2,CASES
1920,10,GREENFIELD,MA,US,CITY,2,CASES
1920,12,GREENFIELD,MA,US,CITY,3,CASES
1920,14,GREENFIELD,MA,US,CITY,1,CASES
1920,15,GREENFIELD,MA,US,CITY,1,CASES
1920,16,GREENFIELD,MA,US,CITY,3,CASES
1920,17,GREENFIELD,MA,US,CITY,3,CASES
1920,18,GREENFIELD,MA,US,CITY,1,CASES
1920,21,GREENFIELD,MA,US,CITY,1,CASES
1920,25,GREENFIELD,MA,US,CITY,2,CASES
1920,26,GREENFIELD,MA,US,CITY,1,CASES
1920,29,GREENFIELD,MA,US,CITY,1,CASES
1920,37,GREENFIELD,MA,US,CITY,1,CASES
1920,40,GREENFIELD,MA,US,CITY,1,CASES
1920,42,GREENFIELD,MA,US,CITY,2,CASES
1920,43,GREENFIELD,MA,US,CITY,2,CASES
1920,44,GREENFIELD,MA,US,CITY,4,CASES
1920,45,GREENFIELD,MA,US,CITY,3,CASES
1920,46,GREENFIELD,MA,US,CITY,6,CASES
1920,47,GREENFIELD,MA,US,CITY,7,CASES
1920,48,GREENFIELD,MA,US,CITY,5,CASES
1920,49,GREENFIELD,MA,US,CITY,6,CASES
1920,50,GREENFIELD,MA,US,CITY,6,CASES
1920,51,GREENFIELD,MA,US,CITY,7,CASES
1920,52,GREENFIELD,MA,US,CITY,5,CASES
1921,1,GREENFIELD,MA,US,CITY,1,CASES
1921,2,GREENFIELD,MA,US,CITY,5,CASES
1921,3,GREENFIELD,MA,US,CITY,8,CASES
1921,4,GREENFIELD,MA,US,CITY,5,CASES
1921,5,GREENFIELD,MA,US,CITY,8,CASES
1921,6,GREENFIELD,MA,US,CITY,3,CASES
1921,7,GREENFIELD,MA,US,CITY,5,CASES
1921,8,GREENFIELD,MA,US,CITY,2,CASES
1921,9,GREENFIELD,MA,US,CITY,10,CASES
1921,10,GREENFIELD,MA,US,CITY,6,CASES
1921,11,GREENFIELD,MA,US,CITY,7,CASES
1921,12,GREENFIELD,MA,US,CITY,12,CASES
1921,14,GREENFIELD,MA,US,CITY,3,CASES
1921,16,GREENFIELD,MA,US,CITY,2,CASES
1921,17,GREENFIELD,MA,US,CITY,5,CASES
1921,18,GREENFIELD,MA,US,CITY,2,CASES
1921,20,GREENFIELD,MA,US,CITY,1,CASES
1921,22,GREENFIELD,MA,US,CITY,1,CASES
1921,23,GREENFIELD,MA,US,CITY,1,CASES
1921,25,GREENFIELD,MA,US,CITY,1,CASES
1921,29,GREENFIELD,MA,US,CITY,1,CASES
1921,32,GREENFIELD,MA,US,CITY,1,CASES
1921,33,GREENFIELD,MA,US,CITY,2,CASES
1921,35,GREENFIELD,MA,US,CITY,1,CASES
1921,39,GREENFIELD,MA,US,CITY,1,CASES
1921,40,GREENFIELD,MA,US,CITY,1,CASES
1921,41,GREENFIELD,MA,US,CITY,1,CASES
1921,42,GREENFIELD,MA,US,CITY,3,CASES
1921,43,GREENFIELD,MA,US,CITY,4,CASES
1921,44,GREENFIELD,MA,US,CITY,1,CASES
1921,45,GREENFIELD,MA,US,CITY,3,CASES
1921,46,GREENFIELD,MA,US,CITY,4,CASES
1921,47,GREENFIELD,MA,US,CITY,2,CASES
1921,48,GREENFIELD,MA,US,CITY,2,CASES
1921,49,GREENFIELD,MA,US,CITY,1,CASES
1921,51,GREENFIELD,MA,US,CITY,1,CASES
1922,2,GREENFIELD,MA,US,CITY,2,CASES
1922,3,GREENFIELD,MA,US,CITY,3,CASES
1922,5,GREENFIELD,MA,US,CITY,1,CASES
1922,6,GREENFIELD,MA,US,CITY,1,CASES
1922,7,GREENFIELD,MA,US,CITY,3,CASES
1922,9,GREENFIELD,MA,US,CITY,5,CASES
1922,11,GREENFIELD,MA,US,CITY,1,CASES
1922,14,GREENFIELD,MA,US,CITY,2,CASES
1922,15,GREENFIELD,MA,US,CITY,1,CASES
1922,17,GREENFIELD,MA,US,CITY,2,CASES
1922,26,GREENFIELD,MA,US,CITY,1,CASES
1922,30,GREENFIELD,MA,US,CITY,1,CASES
1922,37,GREENFIELD,MA,US,CITY,1,CASES
1922,38,GREENFIELD,MA,US,CITY,1,CASES
1922,49,GREENFIELD,MA,US,CITY,1,CASES
1922,51,GREENFIELD,MA,US,CITY,2,CASES
1923,3,GREENFIELD,MA,US,CITY,3,CASES
1923,4,GREENFIELD,MA,US,CITY,1,CASES
1923,8,GREENFIELD,MA,US,CITY,1,CASES
1923,10,GREENFIELD,MA,US,CITY,3,CASES
1923,13,GREENFIELD,MA,US,CITY,3,CASES
1923,16,GREENFIELD,MA,US,CITY,1,CASES
1923,20,GREENFIELD,MA,US,CITY,1,CASES
1923,24,GREENFIELD,MA,US,CITY,1,CASES
1923,29,GREENFIELD,MA,US,CITY,1,CASES
1923,39,GREENFIELD,MA,US,CITY,1,CASES
1923,41,GREENFIELD,MA,US,CITY,1,CASES
1923,42,GREENFIELD,MA,US,CITY,1,CASES
1923,47,GREENFIELD,MA,US,CITY,1,CASES
1923,49,GREENFIELD,MA,US,CITY,4,CASES
1923,51,GREENFIELD,MA,US,CITY,1,CASES
