year,week,loc,state,country,loc_type,number,event
1906,40,GREENSBORO,NC,US,CITY,1,CASES
1906,41,GREENSBORO,NC,US,CITY,1,CASES
1906,42,GREENSBORO,NC,US,CITY,3,CASES
1906,44,GREENSBORO,NC,US,CITY,1,CASES
1906,45,GREENSBORO,NC,US,CITY,1,CASES
1906,49,GREENSBORO,NC,US,CITY,1,CASES
1906,51,GREENSBORO,NC,US,CITY,1,CASES
1907,2,GREENSBORO,NC,US,CITY,1,CASES
1907,7,GREENSBORO,NC,US,CITY,1,CASES
1907,9,GREENSBORO,NC,US,CITY,1,CASES
1907,11,GREENSBORO,NC,US,CITY,2,CASES
1907,12,GREENSBORO,NC,US,CITY,1,CASES
1907,36,GREENSBORO,NC,US,CITY,1,CASES
1907,38,GREENSBORO,NC,US,CITY,3,CASES
1907,39,GREENSBORO,NC,US,CITY,1,CASES
1907,42,GREENSBORO,NC,US,CITY,1,CASES
1907,43,GREENSBORO,NC,US,CITY,1,CASES
1907,44,GREENSBORO,NC,US,CITY,1,CASES
1907,47,GREENSBORO,NC,US,CITY,1,CASES
1908,2,GREENSBORO,NC,US,CITY,1,CASES
1908,3,GREENSBORO,NC,US,CITY,1,CASES
1908,4,GREENSBORO,NC,US,CITY,1,CASES
1908,7,GREENSBORO,NC,US,CITY,1,CASES
1908,11,GREENSBORO,NC,US,CITY,1,CASES
1908,12,GREENSBORO,NC,US,CITY,3,CASES
1908,30,GREENSBORO,NC,US,CITY,1,CASES
1908,32,GREENSBORO,NC,US,CITY,1,CASES
1908,33,GREENSBORO,NC,US,CITY,2,CASES
1908,36,GREENSBORO,NC,US,CITY,1,CASES
1908,39,GREENSBORO,NC,US,CITY,1,CASES
1908,42,GREENSBORO,NC,US,CITY,1,CASES
1908,45,GREENSBORO,NC,US,CITY,1,CASES
1908,47,GREENSBORO,NC,US,CITY,2,CASES
1908,49,GREENSBORO,NC,US,CITY,3,CASES
1908,50,GREENSBORO,NC,US,CITY,1,CASES
1908,52,GREENSBORO,NC,US,CITY,1,CASES
1908,53,GREENSBORO,NC,US,CITY,1,CASES
1909,3,GREENSBORO,NC,US,CITY,1,CASES
1909,12,GREENSBORO,NC,US,CITY,1,CASES
1909,21,GREENSBORO,NC,US,CITY,1,CASES
1909,29,GREENSBORO,NC,US,CITY,1,CASES
1909,33,GREENSBORO,NC,US,CITY,3,CASES
1909,35,GREENSBORO,NC,US,CITY,1,CASES
1909,36,GREENSBORO,NC,US,CITY,4,CASES
1909,37,GREENSBORO,NC,US,CITY,4,CASES
1909,38,GREENSBORO,NC,US,CITY,4,CASES
1909,39,GREENSBORO,NC,US,CITY,3,CASES
1909,41,GREENSBORO,NC,US,CITY,5,CASES
1909,43,GREENSBORO,NC,US,CITY,5,CASES
1909,52,GREENSBORO,NC,US,CITY,1,CASES
1910,2,GREENSBORO,NC,US,CITY,1,CASES
1910,3,GREENSBORO,NC,US,CITY,3,CASES
1910,4,GREENSBORO,NC,US,CITY,2,CASES
1910,7,GREENSBORO,NC,US,CITY,1,CASES
1910,22,GREENSBORO,NC,US,CITY,1,CASES
1910,26,GREENSBORO,NC,US,CITY,1,CASES
1910,28,GREENSBORO,NC,US,CITY,1,CASES
1910,30,GREENSBORO,NC,US,CITY,1,CASES
1910,31,GREENSBORO,NC,US,CITY,1,CASES
1910,32,GREENSBORO,NC,US,CITY,1,CASES
1910,33,GREENSBORO,NC,US,CITY,1,CASES
1910,34,GREENSBORO,NC,US,CITY,2,CASES
1910,35,GREENSBORO,NC,US,CITY,1,CASES
1910,36,GREENSBORO,NC,US,CITY,1,CASES
1910,37,GREENSBORO,NC,US,CITY,1,CASES
1910,51,GREENSBORO,NC,US,CITY,1,CASES
1911,4,GREENSBORO,NC,US,CITY,1,CASES
1911,32,GREENSBORO,NC,US,CITY,6,CASES
1911,38,GREENSBORO,NC,US,CITY,1,CASES
1911,39,GREENSBORO,NC,US,CITY,1,CASES
1911,42,GREENSBORO,NC,US,CITY,2,CASES
1911,43,GREENSBORO,NC,US,CITY,1,CASES
1911,48,GREENSBORO,NC,US,CITY,2,CASES
1914,43,GREENSBORO,NC,US,CITY,4,CASES
1918,16,GREENSBORO,NC,US,CITY,1,CASES
1918,23,GREENSBORO,NC,US,CITY,2,CASES
1918,32,GREENSBORO,NC,US,CITY,1,CASES
1918,33,GREENSBORO,NC,US,CITY,1,CASES
1918,52,GREENSBORO,NC,US,CITY,2,CASES
1923,9,GREENSBORO,NC,US,CITY,1,CASES
1923,13,GREENSBORO,NC,US,CITY,1,CASES
1923,14,GREENSBORO,NC,US,CITY,1,CASES
1923,15,GREENSBORO,NC,US,CITY,1,CASES
1923,18,GREENSBORO,NC,US,CITY,1,CASES
1923,33,GREENSBORO,NC,US,CITY,1,CASES
1923,36,GREENSBORO,NC,US,CITY,1,CASES
1923,38,GREENSBORO,NC,US,CITY,7,CASES
1923,39,GREENSBORO,NC,US,CITY,6,CASES
1923,40,GREENSBORO,NC,US,CITY,6,CASES
1923,41,GREENSBORO,NC,US,CITY,5,CASES
1923,42,GREENSBORO,NC,US,CITY,8,CASES
1923,43,GREENSBORO,NC,US,CITY,7,CASES
1923,44,GREENSBORO,NC,US,CITY,2,CASES
1923,45,GREENSBORO,NC,US,CITY,6,CASES
1923,47,GREENSBORO,NC,US,CITY,3,CASES
1923,50,GREENSBORO,NC,US,CITY,1,CASES
1923,51,GREENSBORO,NC,US,CITY,2,CASES
1923,52,GREENSBORO,NC,US,CITY,1,CASES
1909,13,GREENSBORO,NC,US,CITY,1,CASES
