year,week,loc,state,country,loc_type,number,event
1911,26,GREENSBORO,NC,US,CITY,1,CASES
1911,22,GREENSBORO,NC,US,CITY,1,CASES
1911,19,GREENSBORO,NC,US,CITY,3,CASES
1911,18,GREENSBORO,NC,US,CITY,3,CASES
1911,17,GREENSBORO,NC,US,CITY,1,CASES
1911,13,GREENSBORO,NC,US,CITY,2,CASES
1909,52,GREENSBORO,NC,US,CITY,1,CASES
1907,51,GREENSBORO,NC,US,CITY,1,CASES
1907,36,GREENSBORO,NC,US,CITY,1,CASES
1911,36,GREENSBORO,NC,US,CITY,1,CASES
1907,35,GREENSBORO,NC,US,CITY,2,CASES
1907,33,GREENSBORO,NC,US,CITY,1,CASES
1907,29,GREENSBORO,NC,US,CITY,12,CASES
1911,32,GREENSBORO,NC,US,CITY,3,CASES
1907,22,GREENSBORO,NC,US,CITY,3,CASES
1907,21,GREENSBORO,NC,US,CITY,2,CASES
1907,20,GREENSBORO,NC,US,CITY,8,CASES
1907,19,GREENSBORO,NC,US,CITY,6,CASES
1907,18,GREENSBORO,NC,US,CITY,3,CASES
1907,17,GREENSBORO,NC,US,CITY,5,CASES
1907,16,GREENSBORO,NC,US,CITY,2,CASES
1907,13,GREENSBORO,NC,US,CITY,3,CASES
1907,11,GREENSBORO,NC,US,CITY,1,CASES
1907,3,GREENSBORO,NC,US,CITY,1,CASES
1906,52,GREENSBORO,NC,US,CITY,1,CASES
1906,50,GREENSBORO,NC,US,CITY,7,CASES
1906,48,GREENSBORO,NC,US,CITY,1,CASES
1906,47,GREENSBORO,NC,US,CITY,5,CASES
1906,46,GREENSBORO,NC,US,CITY,3,CASES
1906,44,GREENSBORO,NC,US,CITY,1,CASES
1918,52,GREENSBORO,NC,US,CITY,6,CASES
1923,9,GREENSBORO,NC,US,CITY,7,CASES
1923,10,GREENSBORO,NC,US,CITY,2,CASES
1923,11,GREENSBORO,NC,US,CITY,2,CASES
1923,12,GREENSBORO,NC,US,CITY,14,CASES
1923,13,GREENSBORO,NC,US,CITY,9,CASES
1923,14,GREENSBORO,NC,US,CITY,11,CASES
1923,15,GREENSBORO,NC,US,CITY,15,CASES
1923,16,GREENSBORO,NC,US,CITY,12,CASES
1923,17,GREENSBORO,NC,US,CITY,5,CASES
1923,18,GREENSBORO,NC,US,CITY,5,CASES
1923,19,GREENSBORO,NC,US,CITY,6,CASES
1923,20,GREENSBORO,NC,US,CITY,6,CASES
1923,21,GREENSBORO,NC,US,CITY,3,CASES
1923,22,GREENSBORO,NC,US,CITY,6,CASES
1923,23,GREENSBORO,NC,US,CITY,3,CASES
1923,24,GREENSBORO,NC,US,CITY,2,CASES
1923,25,GREENSBORO,NC,US,CITY,2,CASES
1923,42,GREENSBORO,NC,US,CITY,1,CASES
1923,44,GREENSBORO,NC,US,CITY,1,CASES
1923,47,GREENSBORO,NC,US,CITY,2,CASES
1923,50,GREENSBORO,NC,US,CITY,3,CASES
1923,51,GREENSBORO,NC,US,CITY,3,CASES
1923,52,GREENSBORO,NC,US,CITY,6,CASES
1911,9,GREENSBORO,NC,US,CITY,2,CASES
1906,51,GREENSBORO,NC,US,CITY,1,CASES
1907,26,GREENSBORO,NC,US,CITY,1,CASES
