year,week,loc,state,country,loc_type,number,event
1919,5,GREENSBURG,PA,US,CITY,1,CASES
1919,7,GREENSBURG,PA,US,CITY,3,CASES
1919,13,GREENSBURG,PA,US,CITY,1,CASES
1919,14,GREENSBURG,PA,US,CITY,1,CASES
1919,15,GREENSBURG,PA,US,CITY,1,CASES
1919,20,GREENSBURG,PA,US,CITY,1,CASES
1919,23,GREENSBURG,PA,US,CITY,1,CASES
1919,27,GREENSBURG,PA,US,CITY,1,CASES
1919,44,GREENSBURG,PA,US,CITY,1,CASES
1919,45,GREENSBURG,PA,US,CITY,1,CASES
1919,46,GREENSBURG,PA,US,CITY,1,CASES
1919,47,GREENSBURG,PA,US,CITY,1,CASES
1919,49,GREENSBURG,PA,US,CITY,1,CASES
1919,52,GREENSBURG,PA,US,CITY,1,CASES
1920,5,GREENSBURG,PA,US,CITY,2,CASES
1920,14,GREENSBURG,PA,US,CITY,1,CASES
1920,15,GREENSBURG,PA,US,CITY,1,CASES
1920,22,GREENSBURG,PA,US,CITY,1,CASES
1920,25,GREENSBURG,PA,US,CITY,1,CASES
1920,27,GREENSBURG,PA,US,CITY,1,CASES
1920,29,GREENSBURG,PA,US,CITY,1,CASES
1920,40,GREENSBURG,PA,US,CITY,1,CASES
1920,43,GREENSBURG,PA,US,CITY,2,CASES
1920,48,GREENSBURG,PA,US,CITY,2,CASES
1921,3,GREENSBURG,PA,US,CITY,1,CASES
1921,9,GREENSBURG,PA,US,CITY,2,CASES
1921,16,GREENSBURG,PA,US,CITY,2,CASES
1921,29,GREENSBURG,PA,US,CITY,2,CASES
1921,37,GREENSBURG,PA,US,CITY,1,CASES
1921,38,GREENSBURG,PA,US,CITY,1,CASES
1921,40,GREENSBURG,PA,US,CITY,2,CASES
1921,42,GREENSBURG,PA,US,CITY,1,CASES
1921,43,GREENSBURG,PA,US,CITY,1,CASES
1921,45,GREENSBURG,PA,US,CITY,3,CASES
1921,46,GREENSBURG,PA,US,CITY,2,CASES
1921,51,GREENSBURG,PA,US,CITY,1,CASES
1922,5,GREENSBURG,PA,US,CITY,1,CASES
1922,14,GREENSBURG,PA,US,CITY,1,CASES
1922,23,GREENSBURG,PA,US,CITY,1,CASES
1922,25,GREENSBURG,PA,US,CITY,3,CASES
1922,37,GREENSBURG,PA,US,CITY,1,CASES
1922,39,GREENSBURG,PA,US,CITY,1,CASES
1922,41,GREENSBURG,PA,US,CITY,1,CASES
1922,42,GREENSBURG,PA,US,CITY,1,CASES
1922,46,GREENSBURG,PA,US,CITY,1,CASES
1923,1,GREENSBURG,PA,US,CITY,2,CASES
1923,2,GREENSBURG,PA,US,CITY,1,CASES
1923,6,GREENSBURG,PA,US,CITY,2,CASES
1923,7,GREENSBURG,PA,US,CITY,2,CASES
1923,10,GREENSBURG,PA,US,CITY,1,CASES
1923,12,GREENSBURG,PA,US,CITY,1,CASES
1923,13,GREENSBURG,PA,US,CITY,1,CASES
1923,14,GREENSBURG,PA,US,CITY,1,CASES
1923,15,GREENSBURG,PA,US,CITY,1,CASES
1923,22,GREENSBURG,PA,US,CITY,1,CASES
1923,30,GREENSBURG,PA,US,CITY,2,CASES
1923,33,GREENSBURG,PA,US,CITY,1,CASES
1923,37,GREENSBURG,PA,US,CITY,2,CASES
1923,39,GREENSBURG,PA,US,CITY,2,CASES
1923,40,GREENSBURG,PA,US,CITY,5,CASES
1923,41,GREENSBURG,PA,US,CITY,1,CASES
1923,43,GREENSBURG,PA,US,CITY,1,CASES
1923,44,GREENSBURG,PA,US,CITY,4,CASES
1923,45,GREENSBURG,PA,US,CITY,1,CASES
1923,46,GREENSBURG,PA,US,CITY,1,CASES
1923,48,GREENSBURG,PA,US,CITY,2,CASES
1923,50,GREENSBURG,PA,US,CITY,1,CASES
