year,week,loc,state,country,loc_type,number,event
1920,43,GREENVILLE,SC,US,CITY,1,CASES
1922,11,GREENVILLE,SC,US,CITY,2,CASES
1922,12,GREENVILLE,SC,US,CITY,15,CASES
1922,13,GREENVILLE,SC,US,CITY,37,CASES
1922,14,GREENVILLE,SC,US,CITY,12,CASES
1922,15,GREENVILLE,SC,US,CITY,6,CASES
1923,1,GREENVILLE,SC,US,CITY,53,CASES
1923,2,GREENVILLE,SC,US,CITY,19,CASES
1923,3,GREENVILLE,SC,US,CITY,4,CASES
1923,4,GREENVILLE,SC,US,CITY,1,CASES
1924,1,GREENVILLE,SC,US,CITY,0,CASES
1924,2,GREENVILLE,SC,US,CITY,0,CASES
1924,3,GREENVILLE,SC,US,CITY,0,CASES
1924,4,GREENVILLE,SC,US,CITY,0,CASES
1924,5,GREENVILLE,SC,US,CITY,0,CASES
1924,6,GREENVILLE,SC,US,CITY,0,CASES
1924,7,GREENVILLE,SC,US,CITY,0,CASES
1924,8,GREENVILLE,SC,US,CITY,0,CASES
1924,9,GREENVILLE,SC,US,CITY,0,CASES
1924,10,GREENVILLE,SC,US,CITY,0,CASES
1924,11,GREENVILLE,SC,US,CITY,0,CASES
1924,12,GREENVILLE,SC,US,CITY,0,CASES
1924,13,GREENVILLE,SC,US,CITY,0,CASES
1924,14,GREENVILLE,SC,US,CITY,0,CASES
1924,15,GREENVILLE,SC,US,CITY,0,CASES
1924,16,GREENVILLE,SC,US,CITY,0,CASES
1924,17,GREENVILLE,SC,US,CITY,0,CASES
1924,18,GREENVILLE,SC,US,CITY,0,CASES
1924,19,GREENVILLE,SC,US,CITY,0,CASES
1924,20,GREENVILLE,SC,US,CITY,0,CASES
1924,21,GREENVILLE,SC,US,CITY,0,CASES
1924,22,GREENVILLE,SC,US,CITY,0,CASES
1924,23,GREENVILLE,SC,US,CITY,0,CASES
1924,24,GREENVILLE,SC,US,CITY,0,CASES
1924,25,GREENVILLE,SC,US,CITY,0,CASES
1924,26,GREENVILLE,SC,US,CITY,0,CASES
1924,27,GREENVILLE,SC,US,CITY,0,CASES
1924,28,GREENVILLE,SC,US,CITY,0,CASES
1924,29,GREENVILLE,SC,US,CITY,0,CASES
1924,30,GREENVILLE,SC,US,CITY,0,CASES
1924,31,GREENVILLE,SC,US,CITY,0,CASES
1924,33,GREENVILLE,SC,US,CITY,0,CASES
1924,34,GREENVILLE,SC,US,CITY,0,CASES
1924,35,GREENVILLE,SC,US,CITY,0,CASES
1924,36,GREENVILLE,SC,US,CITY,0,CASES
1924,37,GREENVILLE,SC,US,CITY,0,CASES
1924,38,GREENVILLE,SC,US,CITY,0,CASES
1924,39,GREENVILLE,SC,US,CITY,0,CASES
1924,40,GREENVILLE,SC,US,CITY,0,CASES
1924,41,GREENVILLE,SC,US,CITY,0,CASES
1924,42,GREENVILLE,SC,US,CITY,0,CASES
1924,43,GREENVILLE,SC,US,CITY,0,CASES
1924,44,GREENVILLE,SC,US,CITY,0,CASES
1924,45,GREENVILLE,SC,US,CITY,0,CASES
1924,46,GREENVILLE,SC,US,CITY,0,CASES
1924,47,GREENVILLE,SC,US,CITY,0,CASES
1924,48,GREENVILLE,SC,US,CITY,0,CASES
1924,49,GREENVILLE,SC,US,CITY,0,CASES
1924,50,GREENVILLE,SC,US,CITY,0,CASES
1924,51,GREENVILLE,SC,US,CITY,0,CASES
1924,52,GREENVILLE,SC,US,CITY,0,CASES
1924,53,GREENVILLE,SC,US,CITY,0,CASES
1925,1,GREENVILLE,SC,US,CITY,0,CASES
1925,2,GREENVILLE,SC,US,CITY,0,CASES
1925,3,GREENVILLE,SC,US,CITY,0,CASES
1925,4,GREENVILLE,SC,US,CITY,0,CASES
1925,5,GREENVILLE,SC,US,CITY,0,CASES
