year,week,loc,state,country,loc_type,number,event
1918,12,HACKENSACK,NJ,US,CITY,1,CASES
1918,14,HACKENSACK,NJ,US,CITY,1,CASES
1918,15,HACKENSACK,NJ,US,CITY,1,CASES
1918,16,HACKENSACK,NJ,US,CITY,1,CASES
1918,18,HACKENSACK,NJ,US,CITY,1,CASES
1918,19,HACKENSACK,NJ,US,CITY,1,CASES
1918,21,HACKENSACK,NJ,US,CITY,2,CASES
1918,22,HACKENSACK,NJ,US,CITY,1,CASES
1918,23,HACKENSACK,NJ,US,CITY,1,CASES
1918,24,HACKENSACK,NJ,US,CITY,2,CASES
1918,25,HACKENSACK,NJ,US,CITY,1,CASES
1918,29,HACKENSACK,NJ,US,CITY,2,CASES
1918,34,HACKENSACK,NJ,US,CITY,1,CASES
1918,35,HACKENSACK,NJ,US,CITY,1,CASES
1918,36,HACKENSACK,NJ,US,CITY,1,CASES
1918,37,HACKENSACK,NJ,US,CITY,1,CASES
1918,47,HACKENSACK,NJ,US,CITY,1,CASES
1918,49,HACKENSACK,NJ,US,CITY,1,CASES
1919,5,HACKENSACK,NJ,US,CITY,1,CASES
1919,7,HACKENSACK,NJ,US,CITY,1,CASES
1919,8,HACKENSACK,NJ,US,CITY,2,CASES
1919,9,HACKENSACK,NJ,US,CITY,1,CASES
1919,13,HACKENSACK,NJ,US,CITY,1,CASES
1919,17,HACKENSACK,NJ,US,CITY,2,CASES
1919,18,HACKENSACK,NJ,US,CITY,2,CASES
1919,19,HACKENSACK,NJ,US,CITY,2,CASES
1919,22,HACKENSACK,NJ,US,CITY,1,CASES
1919,26,HACKENSACK,NJ,US,CITY,1,CASES
1919,31,HACKENSACK,NJ,US,CITY,1,CASES
1919,33,HACKENSACK,NJ,US,CITY,1,CASES
1919,36,HACKENSACK,NJ,US,CITY,1,CASES
1919,37,HACKENSACK,NJ,US,CITY,1,CASES
1919,43,HACKENSACK,NJ,US,CITY,1,CASES
1919,50,HACKENSACK,NJ,US,CITY,3,CASES
1919,51,HACKENSACK,NJ,US,CITY,1,CASES
1920,3,HACKENSACK,NJ,US,CITY,1,CASES
1920,5,HACKENSACK,NJ,US,CITY,1,CASES
1920,7,HACKENSACK,NJ,US,CITY,2,CASES
1920,8,HACKENSACK,NJ,US,CITY,4,CASES
1920,10,HACKENSACK,NJ,US,CITY,1,CASES
1920,11,HACKENSACK,NJ,US,CITY,1,CASES
1920,14,HACKENSACK,NJ,US,CITY,1,CASES
1920,17,HACKENSACK,NJ,US,CITY,3,CASES
1920,18,HACKENSACK,NJ,US,CITY,2,CASES
1920,19,HACKENSACK,NJ,US,CITY,2,CASES
1920,23,HACKENSACK,NJ,US,CITY,1,CASES
1920,24,HACKENSACK,NJ,US,CITY,1,CASES
1920,25,HACKENSACK,NJ,US,CITY,1,CASES
1920,27,HACKENSACK,NJ,US,CITY,1,CASES
1920,28,HACKENSACK,NJ,US,CITY,1,CASES
1920,29,HACKENSACK,NJ,US,CITY,3,CASES
1920,30,HACKENSACK,NJ,US,CITY,1,CASES
1920,33,HACKENSACK,NJ,US,CITY,1,CASES
1920,34,HACKENSACK,NJ,US,CITY,3,CASES
1920,37,HACKENSACK,NJ,US,CITY,1,CASES
1920,39,HACKENSACK,NJ,US,CITY,3,CASES
1920,40,HACKENSACK,NJ,US,CITY,1,CASES
1920,41,HACKENSACK,NJ,US,CITY,5,CASES
