year,week,loc,state,country,loc_type,number,event
1916,32,HAGERSTOWN,MD,US,CITY,2,CASES
1916,37,HAGERSTOWN,MD,US,CITY,5,CASES
1916,40,HAGERSTOWN,MD,US,CITY,1,CASES
1916,41,HAGERSTOWN,MD,US,CITY,1,CASES
1917,33,HAGERSTOWN,MD,US,CITY,1,CASES
1917,36,HAGERSTOWN,MD,US,CITY,3,CASES
1917,37,HAGERSTOWN,MD,US,CITY,1,CASES
1917,38,HAGERSTOWN,MD,US,CITY,3,CASES
1917,39,HAGERSTOWN,MD,US,CITY,3,CASES
1917,42,HAGERSTOWN,MD,US,CITY,3,CASES
1917,43,HAGERSTOWN,MD,US,CITY,2,CASES
1917,45,HAGERSTOWN,MD,US,CITY,5,CASES
1917,46,HAGERSTOWN,MD,US,CITY,1,CASES
1917,47,HAGERSTOWN,MD,US,CITY,1,CASES
1917,48,HAGERSTOWN,MD,US,CITY,4,CASES
1918,1,HAGERSTOWN,MD,US,CITY,1,CASES
1918,2,HAGERSTOWN,MD,US,CITY,1,CASES
1918,6,HAGERSTOWN,MD,US,CITY,3,CASES
1918,7,HAGERSTOWN,MD,US,CITY,2,CASES
1918,12,HAGERSTOWN,MD,US,CITY,1,CASES
