year,week,loc,state,country,loc_type,number,event
1921,7,HAMTRAMCK,MI,US,CITY,1,CASES
1921,8,HAMTRAMCK,MI,US,CITY,1,CASES
1921,11,HAMTRAMCK,MI,US,CITY,1,CASES
1921,12,HAMTRAMCK,MI,US,CITY,1,CASES
1921,13,HAMTRAMCK,MI,US,CITY,1,CASES
1921,18,HAMTRAMCK,MI,US,CITY,2,CASES
1921,23,HAMTRAMCK,MI,US,CITY,1,CASES
1921,24,HAMTRAMCK,MI,US,CITY,4,CASES
1921,26,HAMTRAMCK,MI,US,CITY,3,CASES
1921,27,HAMTRAMCK,MI,US,CITY,2,CASES
1921,31,HAMTRAMCK,MI,US,CITY,2,CASES
1921,38,HAMTRAMCK,MI,US,CITY,1,CASES
1921,46,HAMTRAMCK,MI,US,CITY,1,CASES
1921,47,HAMTRAMCK,MI,US,CITY,1,CASES
1921,48,HAMTRAMCK,MI,US,CITY,1,CASES
1922,1,HAMTRAMCK,MI,US,CITY,1,CASES
1922,16,HAMTRAMCK,MI,US,CITY,2,CASES
1922,17,HAMTRAMCK,MI,US,CITY,1,CASES
1922,20,HAMTRAMCK,MI,US,CITY,2,CASES
1922,29,HAMTRAMCK,MI,US,CITY,2,CASES
1922,30,HAMTRAMCK,MI,US,CITY,2,CASES
1922,33,HAMTRAMCK,MI,US,CITY,1,CASES
1922,34,HAMTRAMCK,MI,US,CITY,2,CASES
1922,37,HAMTRAMCK,MI,US,CITY,1,CASES
1922,38,HAMTRAMCK,MI,US,CITY,1,CASES
1922,39,HAMTRAMCK,MI,US,CITY,1,CASES
1922,40,HAMTRAMCK,MI,US,CITY,1,CASES
1922,47,HAMTRAMCK,MI,US,CITY,1,CASES
1922,50,HAMTRAMCK,MI,US,CITY,1,CASES
1923,4,HAMTRAMCK,MI,US,CITY,1,CASES
1923,5,HAMTRAMCK,MI,US,CITY,1,CASES
1923,6,HAMTRAMCK,MI,US,CITY,3,CASES
1923,13,HAMTRAMCK,MI,US,CITY,1,CASES
1923,14,HAMTRAMCK,MI,US,CITY,1,CASES
1923,16,HAMTRAMCK,MI,US,CITY,1,CASES
1923,17,HAMTRAMCK,MI,US,CITY,1,CASES
1923,24,HAMTRAMCK,MI,US,CITY,1,CASES
1923,35,HAMTRAMCK,MI,US,CITY,3,CASES
1923,37,HAMTRAMCK,MI,US,CITY,1,CASES
1923,38,HAMTRAMCK,MI,US,CITY,2,CASES
1923,44,HAMTRAMCK,MI,US,CITY,3,CASES
1923,46,HAMTRAMCK,MI,US,CITY,1,CASES
1923,47,HAMTRAMCK,MI,US,CITY,3,CASES
1923,49,HAMTRAMCK,MI,US,CITY,2,CASES
1923,50,HAMTRAMCK,MI,US,CITY,2,CASES
1923,51,HAMTRAMCK,MI,US,CITY,2,CASES
1923,52,HAMTRAMCK,MI,US,CITY,2,CASES
