year,week,loc,state,country,loc_type,number,event
1912,28,HARRISBURG,PA,US,CITY,1,CASES
1917,15,HARRISBURG,PA,US,CITY,1,CASES
1917,25,HARRISBURG,PA,US,CITY,1,CASES
1917,28,HARRISBURG,PA,US,CITY,1,CASES
1917,49,HARRISBURG,PA,US,CITY,1,CASES
1918,5,HARRISBURG,PA,US,CITY,1,CASES
1918,32,HARRISBURG,PA,US,CITY,1,CASES
1919,17,HARRISBURG,PA,US,CITY,1,CASES
1920,13,HARRISBURG,PA,US,CITY,1,CASES
1922,5,HARRISBURG,PA,US,CITY,1,CASES
1923,11,HARRISBURG,PA,US,CITY,1,CASES
1923,13,HARRISBURG,PA,US,CITY,1,CASES
