year,week,loc,state,country,loc_type,number,event
1924,21,HARTFORD,CT,US,CITY,0,CASES
1924,24,HARTFORD,CT,US,CITY,0,CASES
1924,26,HARTFORD,CT,US,CITY,0,CASES
1924,27,HARTFORD,CT,US,CITY,0,CASES
1924,29,HARTFORD,CT,US,CITY,0,CASES
1924,30,HARTFORD,CT,US,CITY,0,CASES
1924,31,HARTFORD,CT,US,CITY,0,CASES
1924,32,HARTFORD,CT,US,CITY,0,CASES
1924,33,HARTFORD,CT,US,CITY,0,CASES
1924,34,HARTFORD,CT,US,CITY,0,CASES
1924,35,HARTFORD,CT,US,CITY,0,CASES
1924,36,HARTFORD,CT,US,CITY,0,CASES
1924,37,HARTFORD,CT,US,CITY,0,CASES
1924,38,HARTFORD,CT,US,CITY,0,CASES
1924,39,HARTFORD,CT,US,CITY,0,CASES
1924,40,HARTFORD,CT,US,CITY,0,CASES
1924,41,HARTFORD,CT,US,CITY,0,CASES
1924,42,HARTFORD,CT,US,CITY,0,CASES
1924,44,HARTFORD,CT,US,CITY,0,CASES
1924,50,HARTFORD,CT,US,CITY,0,CASES
1925,1,HARTFORD,CT,US,CITY,0,CASES
1925,4,HARTFORD,CT,US,CITY,0,CASES
1925,10,HARTFORD,CT,US,CITY,0,CASES
1925,32,HARTFORD,CT,US,CITY,0,CASES
1925,35,HARTFORD,CT,US,CITY,0,CASES
1925,36,HARTFORD,CT,US,CITY,0,CASES
1925,39,HARTFORD,CT,US,CITY,0,CASES
1925,40,HARTFORD,CT,US,CITY,0,CASES
1925,41,HARTFORD,CT,US,CITY,0,CASES
1926,3,HARTFORD,CT,US,CITY,0,CASES
1926,11,HARTFORD,CT,US,CITY,0,CASES
1926,21,HARTFORD,CT,US,CITY,0,CASES
1926,22,HARTFORD,CT,US,CITY,0,CASES
1926,24,HARTFORD,CT,US,CITY,0,CASES
1926,36,HARTFORD,CT,US,CITY,0,CASES
1926,38,HARTFORD,CT,US,CITY,0,CASES
1926,43,HARTFORD,CT,US,CITY,0,CASES
1926,46,HARTFORD,CT,US,CITY,0,CASES
1926,48,HARTFORD,CT,US,CITY,0,CASES
1926,51,HARTFORD,CT,US,CITY,0,CASES
1927,2,HARTFORD,CT,US,CITY,0,CASES
1927,6,HARTFORD,CT,US,CITY,0,CASES
1927,8,HARTFORD,CT,US,CITY,0,CASES
1927,15,HARTFORD,CT,US,CITY,0,CASES
1927,24,HARTFORD,CT,US,CITY,0,CASES
1927,28,HARTFORD,CT,US,CITY,0,CASES
1927,31,HARTFORD,CT,US,CITY,0,CASES
1927,32,HARTFORD,CT,US,CITY,0,CASES
1927,33,HARTFORD,CT,US,CITY,0,CASES
1927,35,HARTFORD,CT,US,CITY,0,CASES
1927,36,HARTFORD,CT,US,CITY,0,CASES
1927,37,HARTFORD,CT,US,CITY,0,CASES
1927,40,HARTFORD,CT,US,CITY,0,CASES
1927,41,HARTFORD,CT,US,CITY,0,CASES
1927,45,HARTFORD,CT,US,CITY,0,CASES
1928,3,HARTFORD,CT,US,CITY,0,CASES
1928,9,HARTFORD,CT,US,CITY,0,CASES
1928,23,HARTFORD,CT,US,CITY,0,CASES
1928,28,HARTFORD,CT,US,CITY,0,CASES
1928,33,HARTFORD,CT,US,CITY,0,CASES
1928,34,HARTFORD,CT,US,CITY,1,CASES
1928,36,HARTFORD,CT,US,CITY,4,CASES
1928,37,HARTFORD,CT,US,CITY,0,CASES
1928,38,HARTFORD,CT,US,CITY,0,CASES
1928,40,HARTFORD,CT,US,CITY,0,CASES
1928,45,HARTFORD,CT,US,CITY,0,CASES
1928,46,HARTFORD,CT,US,CITY,0,CASES
1928,47,HARTFORD,CT,US,CITY,0,CASES
1929,5,HARTFORD,CT,US,CITY,0,CASES
1929,6,HARTFORD,CT,US,CITY,0,CASES
1929,10,HARTFORD,CT,US,CITY,0,CASES
1929,11,HARTFORD,CT,US,CITY,0,CASES
1929,14,HARTFORD,CT,US,CITY,0,CASES
1929,22,HARTFORD,CT,US,CITY,0,CASES
1929,34,HARTFORD,CT,US,CITY,1,CASES
1929,40,HARTFORD,CT,US,CITY,0,CASES
1929,45,HARTFORD,CT,US,CITY,0,CASES
1929,51,HARTFORD,CT,US,CITY,0,CASES
1930,2,HARTFORD,CT,US,CITY,0,CASES
1930,4,HARTFORD,CT,US,CITY,0,CASES
1930,6,HARTFORD,CT,US,CITY,0,CASES
1930,9,HARTFORD,CT,US,CITY,0,CASES
1930,10,HARTFORD,CT,US,CITY,0,CASES
1930,11,HARTFORD,CT,US,CITY,0,CASES
1930,14,HARTFORD,CT,US,CITY,0,CASES
1930,16,HARTFORD,CT,US,CITY,0,CASES
1930,18,HARTFORD,CT,US,CITY,0,CASES
1930,21,HARTFORD,CT,US,CITY,0,CASES
1930,25,HARTFORD,CT,US,CITY,0,CASES
1930,39,HARTFORD,CT,US,CITY,0,CASES
1930,40,HARTFORD,CT,US,CITY,0,CASES
1930,41,HARTFORD,CT,US,CITY,0,CASES
1930,42,HARTFORD,CT,US,CITY,0,CASES
1930,46,HARTFORD,CT,US,CITY,0,CASES
1930,47,HARTFORD,CT,US,CITY,0,CASES
1930,50,HARTFORD,CT,US,CITY,0,CASES
1931,1,HARTFORD,CT,US,CITY,0,CASES
1931,3,HARTFORD,CT,US,CITY,0,CASES
1931,5,HARTFORD,CT,US,CITY,0,CASES
1931,8,HARTFORD,CT,US,CITY,0,CASES
1931,16,HARTFORD,CT,US,CITY,0,CASES
1931,19,HARTFORD,CT,US,CITY,0,CASES
1931,20,HARTFORD,CT,US,CITY,0,CASES
1931,27,HARTFORD,CT,US,CITY,0,CASES
1931,29,HARTFORD,CT,US,CITY,0,CASES
1931,30,HARTFORD,CT,US,CITY,0,CASES
1931,31,HARTFORD,CT,US,CITY,0,CASES
1931,32,HARTFORD,CT,US,CITY,0,CASES
1931,33,HARTFORD,CT,US,CITY,0,CASES
1931,35,HARTFORD,CT,US,CITY,0,CASES
1931,36,HARTFORD,CT,US,CITY,0,CASES
1931,37,HARTFORD,CT,US,CITY,0,CASES
1931,38,HARTFORD,CT,US,CITY,0,CASES
1931,39,HARTFORD,CT,US,CITY,0,CASES
1931,40,HARTFORD,CT,US,CITY,0,CASES
1931,41,HARTFORD,CT,US,CITY,0,CASES
1931,42,HARTFORD,CT,US,CITY,0,CASES
1931,44,HARTFORD,CT,US,CITY,0,CASES
1931,45,HARTFORD,CT,US,CITY,0,CASES
1931,47,HARTFORD,CT,US,CITY,0,CASES
1931,49,HARTFORD,CT,US,CITY,0,CASES
1931,50,HARTFORD,CT,US,CITY,0,CASES
1931,52,HARTFORD,CT,US,CITY,0,CASES
1932,2,HARTFORD,CT,US,CITY,0,CASES
1932,4,HARTFORD,CT,US,CITY,0,CASES
1932,7,HARTFORD,CT,US,CITY,0,CASES
1932,10,HARTFORD,CT,US,CITY,0,CASES
1932,14,HARTFORD,CT,US,CITY,0,CASES
1932,26,HARTFORD,CT,US,CITY,0,CASES
1932,29,HARTFORD,CT,US,CITY,0,CASES
