year,week,loc,state,country,loc_type,number,event
1918,1,HATTIESBURG,MS,US,CITY,2,CASES
1918,3,HATTIESBURG,MS,US,CITY,2,CASES
1918,4,HATTIESBURG,MS,US,CITY,9,CASES
1918,5,HATTIESBURG,MS,US,CITY,6,CASES
1918,6,HATTIESBURG,MS,US,CITY,19,CASES
1918,7,HATTIESBURG,MS,US,CITY,17,CASES
1918,8,HATTIESBURG,MS,US,CITY,5,CASES
1918,10,HATTIESBURG,MS,US,CITY,3,CASES
1918,11,HATTIESBURG,MS,US,CITY,2,CASES
1918,12,HATTIESBURG,MS,US,CITY,1,CASES
1918,13,HATTIESBURG,MS,US,CITY,1,CASES
1918,15,HATTIESBURG,MS,US,CITY,3,CASES
1918,19,HATTIESBURG,MS,US,CITY,1,CASES
1918,22,HATTIESBURG,MS,US,CITY,1,CASES
1918,24,HATTIESBURG,MS,US,CITY,6,CASES
