year,week,loc,state,country,loc_type,number,event
1924,37,HELENA,MT,US,CITY,1,CASES
1924,39,HELENA,MT,US,CITY,0,CASES
1924,40,HELENA,MT,US,CITY,0,CASES
1924,41,HELENA,MT,US,CITY,0,CASES
1924,42,HELENA,MT,US,CITY,0,CASES
1924,43,HELENA,MT,US,CITY,0,CASES
1924,45,HELENA,MT,US,CITY,0,CASES
1924,46,HELENA,MT,US,CITY,0,CASES
1924,51,HELENA,MT,US,CITY,0,CASES
1924,52,HELENA,MT,US,CITY,0,CASES
1925,3,HELENA,MT,US,CITY,0,CASES
1925,22,HELENA,MT,US,CITY,0,CASES
1927,1,HELENA,MT,US,CITY,0,CASES
1927,2,HELENA,MT,US,CITY,3,CASES
1927,3,HELENA,MT,US,CITY,2,CASES
1927,4,HELENA,MT,US,CITY,1,CASES
1927,5,HELENA,MT,US,CITY,0,CASES
1927,8,HELENA,MT,US,CITY,0,CASES
