year,week,loc,state,country,loc_type,number,event
1907,13,HOBOKEN,NJ,US,CITY,1,CASES
1907,14,HOBOKEN,NJ,US,CITY,3,CASES
1907,15,HOBOKEN,NJ,US,CITY,1,CASES
1907,18,HOBOKEN,NJ,US,CITY,2,CASES
1907,22,HOBOKEN,NJ,US,CITY,1,CASES
1907,23,HOBOKEN,NJ,US,CITY,1,CASES
1907,24,HOBOKEN,NJ,US,CITY,2,CASES
1907,26,HOBOKEN,NJ,US,CITY,1,CASES
1907,31,HOBOKEN,NJ,US,CITY,1,CASES
1907,39,HOBOKEN,NJ,US,CITY,1,CASES
1907,40,HOBOKEN,NJ,US,CITY,2,CASES
1907,41,HOBOKEN,NJ,US,CITY,5,CASES
1907,42,HOBOKEN,NJ,US,CITY,8,CASES
1907,43,HOBOKEN,NJ,US,CITY,4,CASES
1907,44,HOBOKEN,NJ,US,CITY,5,CASES
1907,45,HOBOKEN,NJ,US,CITY,3,CASES
1907,46,HOBOKEN,NJ,US,CITY,2,CASES
1907,47,HOBOKEN,NJ,US,CITY,3,CASES
1907,48,HOBOKEN,NJ,US,CITY,4,CASES
1907,49,HOBOKEN,NJ,US,CITY,1,CASES
1907,50,HOBOKEN,NJ,US,CITY,2,CASES
1907,51,HOBOKEN,NJ,US,CITY,3,CASES
1907,52,HOBOKEN,NJ,US,CITY,1,CASES
1908,1,HOBOKEN,NJ,US,CITY,2,CASES
1908,3,HOBOKEN,NJ,US,CITY,3,CASES
1908,4,HOBOKEN,NJ,US,CITY,6,CASES
1908,5,HOBOKEN,NJ,US,CITY,2,CASES
1908,6,HOBOKEN,NJ,US,CITY,10,CASES
1908,7,HOBOKEN,NJ,US,CITY,5,CASES
1908,8,HOBOKEN,NJ,US,CITY,15,CASES
1908,9,HOBOKEN,NJ,US,CITY,11,CASES
1908,10,HOBOKEN,NJ,US,CITY,16,CASES
1908,11,HOBOKEN,NJ,US,CITY,33,CASES
1908,12,HOBOKEN,NJ,US,CITY,16,CASES
1908,13,HOBOKEN,NJ,US,CITY,9,CASES
1908,14,HOBOKEN,NJ,US,CITY,8,CASES
1908,15,HOBOKEN,NJ,US,CITY,12,CASES
1908,16,HOBOKEN,NJ,US,CITY,16,CASES
1908,17,HOBOKEN,NJ,US,CITY,12,CASES
1908,18,HOBOKEN,NJ,US,CITY,8,CASES
1908,19,HOBOKEN,NJ,US,CITY,7,CASES
1908,20,HOBOKEN,NJ,US,CITY,5,CASES
1908,21,HOBOKEN,NJ,US,CITY,2,CASES
1908,22,HOBOKEN,NJ,US,CITY,1,CASES
1908,23,HOBOKEN,NJ,US,CITY,3,CASES
1908,24,HOBOKEN,NJ,US,CITY,2,CASES
1908,25,HOBOKEN,NJ,US,CITY,1,CASES
1908,32,HOBOKEN,NJ,US,CITY,1,CASES
1908,39,HOBOKEN,NJ,US,CITY,1,CASES
1908,40,HOBOKEN,NJ,US,CITY,2,CASES
1908,43,HOBOKEN,NJ,US,CITY,1,CASES
1908,44,HOBOKEN,NJ,US,CITY,2,CASES
1908,45,HOBOKEN,NJ,US,CITY,4,CASES
1908,46,HOBOKEN,NJ,US,CITY,6,CASES
