year,week,loc,state,country,loc_type,number,event
1920,3,HOT SPRINGS,AR,US,CITY,8,CASES
1920,4,HOT SPRINGS,AR,US,CITY,30,CASES
1920,5,HOT SPRINGS,AR,US,CITY,135,CASES
1920,6,HOT SPRINGS,AR,US,CITY,211,CASES
1920,10,HOT SPRINGS,AR,US,CITY,35,CASES
1920,11,HOT SPRINGS,AR,US,CITY,20,CASES
1920,12,HOT SPRINGS,AR,US,CITY,20,CASES
1920,13,HOT SPRINGS,AR,US,CITY,1,CASES
1920,26,HOT SPRINGS,AR,US,CITY,1,CASES
1920,45,HOT SPRINGS,AR,US,CITY,1,CASES
1921,1,HOT SPRINGS,AR,US,CITY,1,CASES
1923,5,HOT SPRINGS,AR,US,CITY,6,CASES
1923,6,HOT SPRINGS,AR,US,CITY,15,CASES
1923,7,HOT SPRINGS,AR,US,CITY,4,CASES
