year,week,loc,state,country,loc_type,number,event
1920,7,INDEPENDENCE,MO,US,CITY,11,CASES
1920,10,INDEPENDENCE,MO,US,CITY,1,CASES
1920,16,INDEPENDENCE,MO,US,CITY,2,CASES
1920,17,INDEPENDENCE,MO,US,CITY,1,CASES
1921,4,INDEPENDENCE,MO,US,CITY,1,CASES
1921,5,INDEPENDENCE,MO,US,CITY,1,CASES
1921,43,INDEPENDENCE,MO,US,CITY,1,CASES
1923,8,INDEPENDENCE,MO,US,CITY,73,CASES
1923,9,INDEPENDENCE,MO,US,CITY,20,CASES
1923,10,INDEPENDENCE,MO,US,CITY,20,CASES
1923,11,INDEPENDENCE,MO,US,CITY,8,CASES
1923,12,INDEPENDENCE,MO,US,CITY,1,CASES
1923,14,INDEPENDENCE,MO,US,CITY,5,CASES
1923,45,INDEPENDENCE,MO,US,CITY,4,CASES
