year,week,loc,state,country,loc_type,number,event
1918,16,INDEPENDENCE,MO,US,CITY,4,CASES
1918,20,INDEPENDENCE,MO,US,CITY,4,CASES
1918,21,INDEPENDENCE,MO,US,CITY,4,CASES
1918,23,INDEPENDENCE,MO,US,CITY,1,CASES
1918,24,INDEPENDENCE,MO,US,CITY,1,CASES
1918,26,INDEPENDENCE,MO,US,CITY,1,CASES
1918,27,INDEPENDENCE,MO,US,CITY,1,CASES
1918,40,INDEPENDENCE,MO,US,CITY,1,CASES
1919,2,INDEPENDENCE,MO,US,CITY,1,CASES
1919,3,INDEPENDENCE,MO,US,CITY,1,CASES
1919,5,INDEPENDENCE,MO,US,CITY,1,CASES
1919,8,INDEPENDENCE,MO,US,CITY,3,CASES
1919,42,INDEPENDENCE,MO,US,CITY,1,CASES
1919,45,INDEPENDENCE,MO,US,CITY,1,CASES
1919,48,INDEPENDENCE,MO,US,CITY,2,CASES
1919,49,INDEPENDENCE,MO,US,CITY,1,CASES
1919,53,INDEPENDENCE,MO,US,CITY,1,CASES
1920,1,INDEPENDENCE,MO,US,CITY,1,CASES
1920,2,INDEPENDENCE,MO,US,CITY,1,CASES
1920,8,INDEPENDENCE,MO,US,CITY,4,CASES
1920,11,INDEPENDENCE,MO,US,CITY,3,CASES
1920,13,INDEPENDENCE,MO,US,CITY,2,CASES
1920,16,INDEPENDENCE,MO,US,CITY,2,CASES
1920,17,INDEPENDENCE,MO,US,CITY,1,CASES
1920,29,INDEPENDENCE,MO,US,CITY,1,CASES
1920,45,INDEPENDENCE,MO,US,CITY,3,CASES
1920,49,INDEPENDENCE,MO,US,CITY,2,CASES
1920,50,INDEPENDENCE,MO,US,CITY,2,CASES
1920,51,INDEPENDENCE,MO,US,CITY,1,CASES
1920,52,INDEPENDENCE,MO,US,CITY,2,CASES
1921,1,INDEPENDENCE,MO,US,CITY,1,CASES
1921,2,INDEPENDENCE,MO,US,CITY,2,CASES
1921,3,INDEPENDENCE,MO,US,CITY,1,CASES
1921,4,INDEPENDENCE,MO,US,CITY,1,CASES
1921,5,INDEPENDENCE,MO,US,CITY,3,CASES
1921,12,INDEPENDENCE,MO,US,CITY,3,CASES
1921,20,INDEPENDENCE,MO,US,CITY,1,CASES
1921,44,INDEPENDENCE,MO,US,CITY,1,CASES
1921,45,INDEPENDENCE,MO,US,CITY,1,CASES
1921,46,INDEPENDENCE,MO,US,CITY,4,CASES
1921,47,INDEPENDENCE,MO,US,CITY,2,CASES
1921,48,INDEPENDENCE,MO,US,CITY,1,CASES
1921,50,INDEPENDENCE,MO,US,CITY,2,CASES
1922,1,INDEPENDENCE,MO,US,CITY,1,CASES
1922,2,INDEPENDENCE,MO,US,CITY,2,CASES
1922,5,INDEPENDENCE,MO,US,CITY,1,CASES
1922,14,INDEPENDENCE,MO,US,CITY,4,CASES
1923,12,INDEPENDENCE,MO,US,CITY,2,CASES
1923,14,INDEPENDENCE,MO,US,CITY,2,CASES
1923,31,INDEPENDENCE,MO,US,CITY,1,CASES
1923,36,INDEPENDENCE,MO,US,CITY,4,CASES
1923,37,INDEPENDENCE,MO,US,CITY,2,CASES
1923,38,INDEPENDENCE,MO,US,CITY,6,CASES
1923,39,INDEPENDENCE,MO,US,CITY,4,CASES
1923,40,INDEPENDENCE,MO,US,CITY,4,CASES
1923,41,INDEPENDENCE,MO,US,CITY,4,CASES
1923,42,INDEPENDENCE,MO,US,CITY,2,CASES
1923,46,INDEPENDENCE,MO,US,CITY,8,CASES
1923,47,INDEPENDENCE,MO,US,CITY,2,CASES
1923,48,INDEPENDENCE,MO,US,CITY,2,CASES
1923,49,INDEPENDENCE,MO,US,CITY,2,CASES
1923,50,INDEPENDENCE,MO,US,CITY,2,CASES
1923,51,INDEPENDENCE,MO,US,CITY,2,CASES
1923,52,INDEPENDENCE,MO,US,CITY,4,CASES
