year,week,loc,state,country,loc_type,number,event
1924,4,INDIANAPOLIS,IN,US,CITY,0,CASES
1924,18,INDIANAPOLIS,IN,US,CITY,0,CASES
1924,37,INDIANAPOLIS,IN,US,CITY,0,CASES
1924,43,INDIANAPOLIS,IN,US,CITY,0,CASES
1925,7,INDIANAPOLIS,IN,US,CITY,0,CASES
1925,19,INDIANAPOLIS,IN,US,CITY,0,CASES
1925,28,INDIANAPOLIS,IN,US,CITY,0,CASES
1925,31,INDIANAPOLIS,IN,US,CITY,0,CASES
1925,32,INDIANAPOLIS,IN,US,CITY,0,CASES
1925,38,INDIANAPOLIS,IN,US,CITY,0,CASES
1925,40,INDIANAPOLIS,IN,US,CITY,0,CASES
1925,41,INDIANAPOLIS,IN,US,CITY,0,CASES
1925,42,INDIANAPOLIS,IN,US,CITY,0,CASES
1925,44,INDIANAPOLIS,IN,US,CITY,0,CASES
1925,45,INDIANAPOLIS,IN,US,CITY,0,CASES
1925,47,INDIANAPOLIS,IN,US,CITY,0,CASES
1925,49,INDIANAPOLIS,IN,US,CITY,0,CASES
1926,4,INDIANAPOLIS,IN,US,CITY,0,CASES
1926,11,INDIANAPOLIS,IN,US,CITY,0,CASES
1926,23,INDIANAPOLIS,IN,US,CITY,0,CASES
1926,39,INDIANAPOLIS,IN,US,CITY,0,CASES
1926,40,INDIANAPOLIS,IN,US,CITY,0,CASES
1926,46,INDIANAPOLIS,IN,US,CITY,0,CASES
1927,31,INDIANAPOLIS,IN,US,CITY,0,CASES
1927,40,INDIANAPOLIS,IN,US,CITY,0,CASES
1927,41,INDIANAPOLIS,IN,US,CITY,0,CASES
1927,42,INDIANAPOLIS,IN,US,CITY,0,CASES
1927,43,INDIANAPOLIS,IN,US,CITY,0,CASES
1927,46,INDIANAPOLIS,IN,US,CITY,0,CASES
1927,49,INDIANAPOLIS,IN,US,CITY,0,CASES
1927,50,INDIANAPOLIS,IN,US,CITY,0,CASES
1927,51,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,2,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,4,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,5,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,7,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,10,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,14,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,15,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,16,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,17,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,18,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,19,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,20,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,22,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,23,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,24,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,25,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,23,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,28,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,29,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,31,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,36,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,37,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,38,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,39,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,40,INDIANAPOLIS,IN,US,CITY,0,CASES
1928,52,INDIANAPOLIS,IN,US,CITY,0,CASES
1929,1,INDIANAPOLIS,IN,US,CITY,0,CASES
1929,2,INDIANAPOLIS,IN,US,CITY,0,CASES
1929,3,INDIANAPOLIS,IN,US,CITY,0,CASES
