year,week,loc,state,country,loc_type,number,event
1911,27,JACKSONVILLE,FL,US,CITY,7,CASES
1911,26,JACKSONVILLE,FL,US,CITY,6,CASES
1911,25,JACKSONVILLE,FL,US,CITY,2,CASES
1911,24,JACKSONVILLE,FL,US,CITY,13,CASES
1911,23,JACKSONVILLE,FL,US,CITY,2,CASES
1911,22,JACKSONVILLE,FL,US,CITY,11,CASES
1911,21,JACKSONVILLE,FL,US,CITY,18,CASES
1911,20,JACKSONVILLE,FL,US,CITY,14,CASES
1912,14,JACKSONVILLE,FL,US,CITY,5,CASES
1912,13,JACKSONVILLE,FL,US,CITY,5,CASES
1912,12,JACKSONVILLE,FL,US,CITY,3,CASES
1911,18,JACKSONVILLE,FL,US,CITY,10,CASES
1911,17,JACKSONVILLE,FL,US,CITY,22,CASES
1911,15,JACKSONVILLE,FL,US,CITY,16,CASES
1911,14,JACKSONVILLE,FL,US,CITY,15,CASES
1911,13,JACKSONVILLE,FL,US,CITY,12,CASES
1911,12,JACKSONVILLE,FL,US,CITY,11,CASES
1911,11,JACKSONVILLE,FL,US,CITY,7,CASES
1911,8,JACKSONVILLE,FL,US,CITY,5,CASES
1911,7,JACKSONVILLE,FL,US,CITY,8,CASES
1911,6,JACKSONVILLE,FL,US,CITY,12,CASES
1911,5,JACKSONVILLE,FL,US,CITY,21,CASES
1911,4,JACKSONVILLE,FL,US,CITY,8,CASES
1910,52,JACKSONVILLE,FL,US,CITY,1,CASES
1910,5,JACKSONVILLE,FL,US,CITY,1,CASES
1909,46,JACKSONVILLE,FL,US,CITY,1,CASES
1908,41,JACKSONVILLE,FL,US,CITY,1,CASES
1908,11,JACKSONVILLE,FL,US,CITY,1,CASES
1911,42,JACKSONVILLE,FL,US,CITY,2,CASES
1911,41,JACKSONVILLE,FL,US,CITY,5,CASES
1911,39,JACKSONVILLE,FL,US,CITY,2,CASES
1911,33,JACKSONVILLE,FL,US,CITY,8,CASES
1911,32,JACKSONVILLE,FL,US,CITY,3,CASES
1907,19,JACKSONVILLE,FL,US,CITY,1,CASES
1907,18,JACKSONVILLE,FL,US,CITY,1,CASES
1907,14,JACKSONVILLE,FL,US,CITY,1,CASES
1907,13,JACKSONVILLE,FL,US,CITY,1,CASES
1907,8,JACKSONVILLE,FL,US,CITY,1,CASES
1906,48,JACKSONVILLE,FL,US,CITY,1,CASES
1905,51,JACKSONVILLE,FL,US,CITY,4,CASES
1904,51,JACKSONVILLE,FL,US,CITY,1,CASES
1904,24,JACKSONVILLE,FL,US,CITY,1,CASES
1911,31,JACKSONVILLE,FL,US,CITY,4,CASES
1911,30,JACKSONVILLE,FL,US,CITY,5,CASES
1903,41,JACKSONVILLE,FL,US,CITY,1,CASES
1911,28,JACKSONVILLE,FL,US,CITY,10,CASES
1900,51,JACKSONVILLE,FL,US,CITY,1,CASES
1900,27,JACKSONVILLE,FL,US,CITY,1,CASES
1900,2,JACKSONVILLE,FL,US,CITY,2,CASES
1899,7,JACKSONVILLE,FL,US,CITY,1,CASES
1898,12,JACKSONVILLE,FL,US,CITY,1,CASES
1918,4,JACKSONVILLE,FL,US,CITY,4,CASES
1918,5,JACKSONVILLE,FL,US,CITY,2,CASES
1918,6,JACKSONVILLE,FL,US,CITY,2,CASES
1918,7,JACKSONVILLE,FL,US,CITY,1,CASES
1918,11,JACKSONVILLE,FL,US,CITY,1,CASES
1918,12,JACKSONVILLE,FL,US,CITY,1,CASES
1918,14,JACKSONVILLE,FL,US,CITY,2,CASES
1918,48,JACKSONVILLE,FL,US,CITY,1,CASES
1911,9,JACKSONVILLE,FL,US,CITY,8,CASES
