year,week,loc,state,country,loc_type,number,event
1921,2,JEANNETTE,PA,US,CITY,2,CASES
1921,10,JEANNETTE,PA,US,CITY,1,CASES
1921,19,JEANNETTE,PA,US,CITY,1,CASES
1921,22,JEANNETTE,PA,US,CITY,1,CASES
1921,37,JEANNETTE,PA,US,CITY,2,CASES
1921,38,JEANNETTE,PA,US,CITY,2,CASES
1921,40,JEANNETTE,PA,US,CITY,1,CASES
1921,41,JEANNETTE,PA,US,CITY,1,CASES
1921,46,JEANNETTE,PA,US,CITY,1,CASES
1921,47,JEANNETTE,PA,US,CITY,5,CASES
1921,50,JEANNETTE,PA,US,CITY,2,CASES
1922,1,JEANNETTE,PA,US,CITY,1,CASES
1922,4,JEANNETTE,PA,US,CITY,1,CASES
1922,6,JEANNETTE,PA,US,CITY,1,CASES
1922,12,JEANNETTE,PA,US,CITY,1,CASES
1922,25,JEANNETTE,PA,US,CITY,1,CASES
1922,31,JEANNETTE,PA,US,CITY,1,CASES
1922,40,JEANNETTE,PA,US,CITY,1,CASES
1922,42,JEANNETTE,PA,US,CITY,1,CASES
1922,48,JEANNETTE,PA,US,CITY,1,CASES
1923,22,JEANNETTE,PA,US,CITY,1,CASES
1923,25,JEANNETTE,PA,US,CITY,1,CASES
1923,52,JEANNETTE,PA,US,CITY,4,CASES
