year,week,loc,state,country,loc_type,number,event
1912,19,JOHNSTOWN,PA,US,CITY,1,CASES
1912,20,JOHNSTOWN,PA,US,CITY,1,CASES
1913,9,JOHNSTOWN,PA,US,CITY,1,CASES
1913,23,JOHNSTOWN,PA,US,CITY,1,CASES
1915,42,JOHNSTOWN,PA,US,CITY,1,CASES
1916,13,JOHNSTOWN,PA,US,CITY,1,CASES
1916,15,JOHNSTOWN,PA,US,CITY,1,CASES
1917,28,JOHNSTOWN,PA,US,CITY,1,CASES
1918,6,JOHNSTOWN,PA,US,CITY,1,CASES
1918,14,JOHNSTOWN,PA,US,CITY,1,CASES
1918,27,JOHNSTOWN,PA,US,CITY,1,CASES
1918,48,JOHNSTOWN,PA,US,CITY,1,CASES
1919,3,JOHNSTOWN,PA,US,CITY,1,CASES
1920,39,JOHNSTOWN,PA,US,CITY,1,CASES
1921,5,JOHNSTOWN,PA,US,CITY,1,CASES
1922,7,JOHNSTOWN,PA,US,CITY,1,CASES
1922,9,JOHNSTOWN,PA,US,CITY,1,CASES
1922,25,JOHNSTOWN,PA,US,CITY,1,CASES
1923,33,JOHNSTOWN,PA,US,CITY,1,CASES
